l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.008012533187866211
1,2,0,0.0,1,0.010069608688354492
1,3,0,0.0,1,0.006514072418212891
1,4,0,0.0,1,0.008132219314575195
1,5,0,0.0,1,0.008041143417358398
1,6,0,0.0,1,0.008204221725463867
1,7,0,0.0,1,0.007411956787109375
1,8,0,0.0,1,0.0007677078247070312
1,9,0,0.0,1,0.00911855697631836
1,10,0,0.0,1,0.013831138610839844
2,1,0,0.0,1,0.0
2,2,0,0.0,1,0.00806117057800293
2,3,0,0.0,1,0.008067131042480469
2,4,0,0.0,1,0.0
2,5,0,0.0,1,0.008877038955688477
2,6,0,0.0,1,0.0076329708099365234
2,7,0,0.0,1,0.00807046890258789
2,8,0,0.0,1,0.009816408157348633
2,9,0,0.0,1,0.006575107574462891
2,10,0,0.0,1,0.016198158264160156
3,1,0,0.0,1,0.00810861587524414
3,2,0,0.0,1,0.008061647415161133
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.008748292922973633
3,5,0,0.0,1,0.007509946823120117
3,6,0,0.0,1,0.008063554763793945
3,7,0,0.0,1,0.008008480072021484
3,8,0,0.0,1,0.009405136108398438
3,9,0,0.0,1,0.007048606872558594
3,10,0,0.0,1,0.009816169738769531
4,1,0,0.0,1,0.006509542465209961
4,2,0,0.0,1,0.00800776481628418
4,3,0,0.0020532608032226562,1,0.00639796257019043
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.010144233703613281
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.01299428939819336
4,8,0,0.0,1,0.003513813018798828
4,9,0,0.0,1,0.016416072845458984
4,10,0,0.0,1,0.008934736251831055
5,1,0,0.0,1,0.007415056228637695
5,2,0,0.0,1,0.0
5,3,0,0.0,1,0.0035691261291503906
5,4,0,0.0,1,0.0045146942138671875
5,5,0,0.0,1,0.0
5,6,0,0.0,1,0.008044958114624023
5,7,0,0.0,1,0.006440162658691406
5,8,0,0.0,1,0.0020513534545898438
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.009408712387084961
6,1,0,0.003790616989135742,1,0.003010988235473633
6,2,0,0.0,1,0.0
6,3,0,0.0,1,0.008086919784545898
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.0038650035858154297
6,6,0,0.0,1,0.0
6,7,0,0.0,1,0.008043050765991211
6,8,0,0.0,1,0.008243322372436523
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.008056402206420898
7,1,0,0.0,1,0.005712032318115234
7,2,0,0.0,1,0.0025484561920166016
7,3,0,0.0,1,0.008011817932128906
7,4,0,0.0,1,0.008387088775634766
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.007054328918457031
7,7,0,0.0,1,0.0
7,8,0,0.0,1,0.008237600326538086
7,9,0,0.0,1,0.0075473785400390625
7,10,0,0.0,1,0.008951663970947266
8,1,0,0.0,1,0.00751042366027832
8,2,0,0.0,1,0.0
8,3,0,0.0,1,0.008820056915283203
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0075762271881103516
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.009139299392700195
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.00700831413269043
9,1,0,0.0,1,0.0
9,2,0,0.0,1,0.0
9,3,0,0.0,1,0.010129690170288086
9,4,0,0.0,1,0.006548643112182617
9,5,0,0.0,1,0.0
9,6,0,0.0,1,0.008488893508911133
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.008013248443603516
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.00800466537475586
10,1,0,0.0,1,0.0
10,2,0,0.0,1,0.007991552352905273
10,3,0,0.0,1,0.007999420166015625
10,4,0,0.0,1,0.0
10,5,0,0.0,1,0.008060455322265625
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.007941484451293945
10,8,0,0.0,1,0.0
10,9,0,0.0,1,0.0
10,10,0,0.0,1,0.007999897003173828
