l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.015633344650268555
1,7,1,0.0,1,0.0029535293579101562
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.01216578483581543
2,3,1,0.0,1,0.0019989013671875
2,4,1,7.700920104980469e-05,1,0.0020029544830322266
2,5,1,0.0,1,0.0020067691802978516
2,6,1,0.00011086463928222656,1,0.0004949569702148438
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.006489753723144531
2,9,1,0.001010894775390625,1,0.00359344482421875
2,10,1,0.0,1,0.002789020538330078
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.010162830352783203
3,6,1,0.0,1,0.0019369125366210938
3,7,1,0.0,1,0.0019998550415039062
3,8,1,0.0,1,0.002998828887939453
3,9,1,0.0,1,0.0029997825622558594
3,10,1,0.0,1,0.002000093460083008
4,1,1,0.0010001659393310547,1,0.0030128955841064453
4,2,1,0.0,1,0.0019876956939697266
4,3,1,0.0,1,0.002000093460083008
4,4,1,0.0,1,0.0019996166229248047
4,5,1,0.0,1,0.0019998550415039062
4,6,1,0.0,1,0.0019998550415039062
4,7,1,0.0,1,0.002000093460083008
4,8,1,0.0,1,0.0026483535766601562
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.015017986297607422
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.015703439712524414
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.015610694885253906
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.015647411346435547
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.011083126068115234
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.006148576736450195
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0040435791015625,1,0.0010988712310791016
9,2,1,0.000965118408203125,1,0.0013267993927001953
9,3,1,0.0,1,0.0015463829040527344
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.015572547912597656
10,2,1,0.0,1,0.0015680789947509766
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.01456451416015625
