l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.00185394287109375
1,2,1,0.0,1,0.0016632080078125
1,3,1,0.0,1,0.001997709274291992
1,4,1,0.0,1,0.002005338668823242
1,5,1,0.0,1,0.0019986629486083984
1,6,1,0.0,1,0.002000570297241211
1,7,1,0.0,1,0.002897024154663086
1,8,1,0.0,1,0.0029823780059814453
1,9,1,0.0,1,0.0020074844360351562
1,10,1,0.0,1,0.0020868778228759766
2,1,1,0.0,1,0.0030007362365722656
2,2,1,0.0,1,0.002000093460083008
2,3,1,0.0,1,0.0019998550415039062
2,4,1,0.0,1,0.002041339874267578
2,5,1,0.0,1,0.0033922195434570312
2,6,1,0.0,1,0.0019974708557128906
2,7,1,0.0010004043579101562,1,0.003997802734375
2,8,1,0.0,1,0.0029959678649902344
2,9,1,0.0,1,0.0028715133666992188
2,10,1,0.0,1,0.0023496150970458984
3,1,1,0.0,1,0.0025446414947509766
3,2,1,0.0,1,0.002005338668823242
3,3,1,0.0,1,0.0019767284393310547
3,4,1,0.0,1,0.0019919872283935547
3,5,1,0.0,1,0.0012886524200439453
3,6,1,0.0,1,0.00200653076171875
3,7,1,0.0,1,0.0017886161804199219
3,8,1,0.0,1,0.003000020980834961
3,9,1,0.0,1,0.003996133804321289
3,10,1,0.0,1,0.003551959991455078
4,1,1,0.001020669937133789,1,0.0009970664978027344
4,2,1,0.0,1,0.001383066177368164
4,3,1,0.0,1,0.001997709274291992
4,4,1,0.0,1,0.0020003318786621094
4,5,1,0.0,1,0.00099945068359375
4,6,1,0.0,1,0.0019969940185546875
4,7,1,0.0,1,0.000989675521850586
4,8,1,0.0010094642639160156,1,0.0021812915802001953
4,9,1,0.0,1,0.002000093460083008
4,10,1,0.0,1,0.0023708343505859375
5,1,1,0.0,1,0.0019991397857666016
5,2,1,0.0,1,0.002000570297241211
5,3,1,0.0,1,0.003000497817993164
5,4,1,0.0,1,0.002000093460083008
5,5,1,0.0,1,0.001999378204345703
5,6,1,0.0,1,0.0027875900268554688
5,7,1,0.0,1,0.0010347366333007812
5,8,1,0.0,1,0.0009996891021728516
5,9,1,0.0,1,0.002001047134399414
5,10,1,0.0,1,0.0019991397857666016
6,1,1,0.0,1,0.0019969940185546875
6,2,1,0.0,1,0.002009868621826172
6,3,1,0.0,1,0.001995086669921875
6,4,1,0.0,1,0.0019953250885009766
6,5,1,0.0,1,0.0019989013671875
6,6,1,0.0,1,0.0020012855529785156
6,7,1,0.0,1,0.0020041465759277344
6,8,1,0.0,1,0.0019996166229248047
6,9,1,0.0,1,0.0030202865600585938
6,10,1,0.0,1,0.0019762516021728516
7,1,1,0.0,1,0.0029997825622558594
7,2,1,0.0009984970092773438,1,0.002005338668823242
7,3,1,0.0,1,0.0019998550415039062
7,4,1,0.0,1,0.002000093460083008
7,5,1,0.0,1,0.0009999275207519531
7,6,1,0.0009999275207519531,1,0.003555774688720703
7,7,1,0.0,1,0.001569509506225586
7,8,1,0.0,1,0.0014247894287109375
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.008528470993041992
8,4,1,0.0,1,0.0053141117095947266
8,5,1,0.0,1,0.0022470951080322266
8,6,1,0.0,1,0.0010499954223632812
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.011597394943237305
9,2,1,0.0,1,0.002166271209716797
9,3,1,0.0,1,0.0010085105895996094
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.010527849197387695
9,9,1,0.0,1,0.0021605491638183594
9,10,1,0.0,1,0.002047300338745117
10,1,1,0.0003268718719482422,1,0.0004582405090332031
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.013228893280029297
10,7,1,0.0,1,0.0016407966613769531
10,8,1,0.0,1,0.0018968582153320312
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
