l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.015015125274658203,1,0.0030698776245117188
1,4,1,0.0,1,0.0030002593994140625
1,5,1,0.0,1,0.0006246566772460938
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.011026620864868164
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.016993045806884766
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.014461994171142578
2,8,1,0.0,1,0.002149820327758789
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.01208949089050293
3,5,1,0.0,1,0.003972530364990234
3,6,1,0.0,1,0.0030002593994140625
3,7,1,0.0,1,0.0019974708557128906
3,8,1,0.0,1,0.0025174617767333984
3,9,1,0.0,1,0.0019989013671875
3,10,1,0.0,1,0.001999378204345703
4,1,1,0.0009996891021728516,1,0.0018413066864013672
4,2,1,0.0,1,0.0019371509552001953
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.012019157409667969
4,10,1,0.0,1,0.0024826526641845703
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.015961170196533203
5,7,1,0.0,1,0.0009996891021728516
5,8,1,0.0,1,0.0019996166229248047
5,9,1,0.0,1,0.0009999275207519531
5,10,1,0.0,1,0.0010001659393310547
6,1,1,0.0,1,0.0017154216766357422
6,2,1,0.0,1,0.00218963623046875
6,3,1,0.002025127410888672,1,0.0
6,4,1,0.0,1,0.0037047863006591797
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.011348724365234375
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.005506277084350586
7,3,1,0.0017707347869873047,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.01470494270324707
8,1,1,0.0010008811950683594,1,0.0020003318786621094
8,2,1,0.0,1,0.002999544143676758
8,3,1,0.0,1,0.0019996166229248047
8,4,1,0.001001596450805664,1,0.0019981861114501953
8,5,1,0.0,1,0.0030028820037841797
8,6,1,0.0,1,0.0030574798583984375
8,7,1,0.0,1,0.0016176700592041016
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.010509014129638672
9,4,1,0.0,1,0.0016269683837890625
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.01699376106262207
10,4,1,0.0,1,0.00099945068359375
10,5,1,0.0010006427764892578,1,0.0009999275207519531
10,6,1,0.0,1,0.0019986629486083984
10,7,1,0.0,1,0.0013127326965332031
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
