l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.01503133773803711
1,4,1,0.0,1,0.005563020706176758
1,5,1,0.0,1,0.0037567615509033203
1,6,1,0.0,1,0.0009183883666992188
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.008407354354858398
1,10,1,0.0,1,0.0030012130737304688
2,1,1,0.0,1,0.001992940902709961
2,2,1,0.0,1,0.003610849380493164
2,3,1,0.0009927749633789062,1,0.00099945068359375
2,4,1,0.0,1,0.001001596450805664
2,5,1,0.0,1,0.0013980865478515625
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.01702117919921875
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.013022184371948242
4,2,1,0.0010228157043457031,1,0.0020766258239746094
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0005745887756347656
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.007219791412353516
4,9,1,0.0,1,0.0033049583435058594
4,10,1,0.0,1,0.0020062923431396484
5,1,1,0.0,1,0.0019991397857666016
5,2,1,0.0,1,0.002000570297241211
5,3,1,0.0,1,0.0005927085876464844
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.007468700408935547
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.016234874725341797
6,6,1,0.0,1,0.0020058155059814453
6,7,1,0.0,1,0.0019991397857666016
6,8,1,0.0,1,0.00099945068359375
6,9,1,0.0,1,0.0010004043579101562
6,10,1,0.0,1,0.0019989013671875
7,1,1,0.0,1,0.0010027885437011719
7,2,1,0.0,1,0.0009989738464355469
7,3,1,0.0,1,0.0020008087158203125
7,4,1,0.0,1,0.0009999275207519531
7,5,1,0.0,1,0.00099945068359375
7,6,1,0.0,1,0.002991199493408203
7,7,1,0.0,1,0.0009009838104248047
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.014011621475219727
8,4,1,0.0,1,0.00165557861328125
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.012077093124389648
9,1,1,0.0,1,0.0030128955841064453
9,2,1,0.0006866455078125,1,0.0017292499542236328
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.004205942153930664
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0054852962493896484
9,7,1,0.0,1,0.003630399703979492
9,8,1,0.0,1,0.0010004043579101562
9,9,1,0.0,1,0.0014948844909667969
9,10,1,0.0,1,0.0033462047576904297
10,1,1,0.0,1,0.003726482391357422
10,2,1,0.0,1,0.004070281982421875
10,3,1,0.0,1,0.003482341766357422
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.012512445449829102
10,10,1,0.0,1,0.0031545162200927734
