l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.002999544143676758,1,0.002000093460083008
1,2,0,0.0019979476928710938,1,0.0010688304901123047
1,3,0,0.0,1,0.006795167922973633
1,4,0,0.0,1,0.0
1,5,0,0.0,1,0.019167661666870117
1,6,0,0.0,1,0.006000041961669922
1,7,0,0.0,1,0.006114959716796875
1,8,0,0.0,1,0.0
1,9,0,0.0,1,0.015517234802246094
1,10,0,0.0,1,0.0005910396575927734
2,1,0,0.0,1,0.0
2,2,0,0.0,1,0.015027761459350586
2,3,0,0.0020647048950195312,1,0.0019953250885009766
2,4,0,0.0,1,0.0
2,5,0,0.0,1,0.0
2,6,0,0.0,1,0.0
2,7,0,0.0,1,0.0
2,8,0,0.0,1,0.013689756393432617
2,9,0,0.0,1,0.0030410289764404297
2,10,0,0.0,1,0.00299072265625
3,1,0,0.003952741622924805,1,0.0030002593994140625
3,2,0,0.0019981861114501953,1,0.0029997825622558594
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.0
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.0
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.0
4,1,0,0.0,1,0.01478123664855957
4,2,0,0.001924276351928711,1,0.0010137557983398438
4,3,0,0.0009958744049072266,1,0.0010013580322265625
4,4,0,0.0,1,0.0010106563568115234
4,5,0,0.0,1,0.0010194778442382812
4,6,0,0.0,1,0.0009975433349609375
4,7,0,0.0,1,0.0009937286376953125
4,8,0,0.0,1,0.002008199691772461
4,9,0,0.0,1,0.001996278762817383
4,10,0,0.0,1,0.0012483596801757812
5,1,0,0.0007555484771728516,1,0.0
5,2,0,0.00595545768737793,1,0.0020105838775634766
5,3,0,0.0010406970977783203,1,0.001003265380859375
5,4,0,0.0010051727294921875,1,0.0009877681732177734
5,5,0,0.0,1,0.0010004043579101562
5,6,0,0.0,1,0.0010395050048828125
5,7,0,0.0,1,0.0009617805480957031
5,8,0,0.0,1,0.0019233226776123047
5,9,0,0.0,1,0.0013282299041748047
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.0
6,2,0,0.0,1,0.0
6,3,0,0.0,1,0.0
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.013376474380493164
6,6,0,0.0,1,0.0010421276092529297
6,7,0,0.0,1,0.0019669532775878906
6,8,0,0.0,1,0.0009984970092773438
6,9,0,0.0,1,0.0010378360748291016
6,10,0,0.0,1,0.0010004043579101562
7,1,0,0.0029599666595458984,1,0.0010006427764892578
7,2,0,0.0009996891021728516,1,0.0009999275207519531
7,3,0,0.0010001659393310547,1,0.0010001659393310547
7,4,0,0.0009996891021728516,1,0.0010004043579101562
7,5,0,0.0,1,0.0010001659393310547
7,6,0,0.0,1,0.0010001659393310547
7,7,0,0.0,1,0.000980377197265625
7,8,0,0.0,1,0.0010001659393310547
7,9,0,0.0,1,0.0009946823120117188
7,10,0,0.0,1,0.0009877681732177734
8,1,0,0.002001523971557617,1,0.001009225845336914
8,2,0,0.001987457275390625,1,0.0010085105895996094
8,3,0,0.0009908676147460938,1,0.0020046234130859375
8,4,0,0.0009930133819580078,1,0.0020096302032470703
8,5,0,0.0,1,0.001954793930053711
8,6,0,0.0,1,0.001043558120727539
8,7,0,0.0,1,0.0009894371032714844
8,8,0,0.0,1,0.0010004043579101562
8,9,0,0.0,1,0.001008749008178711
8,10,0,0.0,1,0.0010988712310791016
9,1,0,0.0,1,0.0
9,2,0,0.005274295806884766,1,0.0021200180053710938
9,3,0,0.0010001659393310547,1,0.0010025501251220703
9,4,0,0.0,1,0.0010004043579101562
9,5,0,0.0,1,0.0010042190551757812
9,6,0,0.0,1,0.0009984970092773438
9,7,0,0.0,1,0.0009982585906982422
9,8,0,0.0,1,0.0010035037994384766
9,9,0,0.0,1,0.000997304916381836
9,10,0,0.0,1,0.0010008811950683594
10,1,0,0.0019996166229248047,1,0.0
10,2,0,0.0019941329956054688,1,0.0010128021240234375
10,3,0,0.0,1,0.0
10,4,0,0.0,1,0.0
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0
10,8,0,0.0,1,0.0
10,9,0,0.0,1,0.0
10,10,0,0.0,1,0.0
