l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.00842738151550293,1,0.0
1,2,1,0.0,1,0.01642894744873047
1,3,1,0.0,1,0.0
1,4,1,0.016521453857421875,1,0.0
1,5,1,0.016680240631103516,1,0.00862264633178711
1,6,1,0.0,1,0.025246143341064453
1,7,1,0.002457141876220703,1,0.014121532440185547
1,8,1,0.0,1,0.016362428665161133
1,9,1,0.0,1,0.017395734786987305
1,10,1,0.0,1,0.03448200225830078
2,1,1,0.0,1,0.014814615249633789
2,2,1,0.0,1,0.0
2,3,1,0.01818060874938965,1,0.0
2,4,1,0.0,1,0.010509014129638672
2,5,1,0.005605936050415039,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0150604248046875,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.029146194458007812
2,10,1,0.0010001659393310547,1,0.014632940292358398
3,1,1,0.004151105880737305,1,0.0
3,2,1,0.0,1,0.01704263687133789
3,3,1,0.001634836196899414,1,0.0
3,4,1,0.01564621925354004,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0157778263092041,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0023288726806640625,1,0.006299257278442383
3,10,1,0.0,1,0.0
4,1,1,0.014961719512939453,1,0.0050051212310791016
4,2,1,0.003999233245849609,1,0.0031125545501708984
4,3,1,0.0,1,0.0
4,4,1,0.016786575317382812,1,0.0
4,5,1,0.0,1,0.015032529830932617
4,6,1,0.008847475051879883,1,0.006931304931640625
4,7,1,0.003142833709716797,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.015247821807861328
4,10,1,0.0009999275207519531,1,0.003999471664428711
5,1,1,0.005007743835449219,1,0.003991365432739258
5,2,1,0.007001161575317383,1,0.00544428825378418
5,3,1,0.004079103469848633,1,0.0
5,4,1,0.015009641647338867,1,0.004326581954956055
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.013934612274169922
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.01652669906616211
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.02385115623474121,1,0.00400233268737793
6,3,1,0.007201194763183594,1,0.0
6,4,1,0.0,1,0.01636981964111328
6,5,1,0.0030045509338378906,1,0.004161357879638672
6,6,1,0.0,1,0.011181831359863281
6,7,1,0.004964113235473633,1,0.0
6,8,1,0.010774612426757812,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0018451213836669922,1,0.00241851806640625
7,1,1,0.008517742156982422,1,0.0040280818939208984
7,2,1,0.0062983036041259766,1,0.0030007362365722656
7,3,1,0.005999326705932617,1,0.002885103225708008
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.01930546760559082,1,0.004001140594482422
7,7,1,0.0,1,0.0
7,8,1,0.00899815559387207,1,0.005156755447387695
7,9,1,0.0,1,0.010689496994018555
7,10,1,0.0012209415435791016,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.017163991928100586,1,0.0
8,3,1,0.0,1,0.01859569549560547
8,4,1,0.006000041961669922,1,0.0052013397216796875
8,5,1,0.001035451889038086,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.01648569107055664
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.015008687973022461,1,0.003808259963989258
9,1,1,0.00641179084777832,1,0.0
9,2,1,0.007857084274291992,1,0.0
9,3,1,0.015009164810180664,1,0.005339145660400391
9,4,1,0.0,1,0.012325048446655273
9,5,1,0.003000974655151367,1,0.003999233245849609
9,6,1,0.0030014514923095703,1,0.0030002593994140625
9,7,1,0.0019998550415039062,1,0.002071380615234375
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.015007734298706055,1,0.003679037094116211
10,1,1,0.0,1,0.0
10,2,1,0.01777935028076172,1,0.0
10,3,1,0.018485546112060547,1,0.004857540130615234
10,4,1,0.00616002082824707,1,0.006071567535400391
10,5,1,0.008266687393188477,1,0.008865594863891602
10,6,1,0.004998445510864258,1,0.005169391632080078
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.01654195785522461
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.01832723617553711
