l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0019996166229248047,1,0.004176616668701172
1,2,1,0.0010068416595458984,1,0.002215147018432617
1,3,1,0.0,1,0.005118608474731445
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.02113509178161621
1,6,1,0.0010001659393310547,1,0.0070018768310546875
1,7,1,0.0,1,0.008648395538330078
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.013451099395751953
1,10,1,0.0,1,0.009620904922485352
2,1,1,0.0,1,0.0072329044342041016
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.017233848571777344
2,5,1,0.0,1,0.003998756408691406
2,6,1,0.001001596450805664,1,0.010065317153930664
2,7,1,0.0,1,0.0018723011016845703
2,8,1,0.0,1,0.011517047882080078
2,9,1,0.0,1,0.00503849983215332
2,10,1,0.0,1,0.00551915168762207
3,1,1,0.0030050277709960938,1,0.0038051605224609375
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.018613815307617188
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.014614105224609375
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.013017892837524414
4,3,1,0.0,1,0.0035643577575683594
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.016991615295410156
4,10,1,0.0,1,0.0020012855529785156
5,1,1,0.002000093460083008,1,0.0009996891021728516
5,2,1,0.0009999275207519531,1,0.0016553401947021484
5,3,1,0.0,1,0.0059549808502197266
5,4,1,0.0,1,0.0035855770111083984
5,5,1,0.0010006427764892578,1,0.002005338668823242
5,6,1,0.0,1,0.0009996891021728516
5,7,1,0.0,1,0.0009999275207519531
5,8,1,0.0,1,0.0019998550415039062
5,9,1,0.0,1,0.0009996891021728516
5,10,1,0.0,1,0.0009982585906982422
6,1,1,0.0010004043579101562,1,0.0027375221252441406
6,2,1,0.0016765594482421875,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.01473855972290039
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.018532276153564453,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.013509511947631836,1,0.0037741661071777344
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0167844295501709
8,3,1,0.0019998550415039062,1,0.0029993057250976562
8,4,1,0.0010004043579101562,1,0.0025560855865478516
8,5,1,0.0,1,0.0054318904876708984
8,6,1,0.0013341903686523438,1,0.0013191699981689453
8,7,1,0.0,1,0.0014925003051757812
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.010404825210571289
9,2,1,0.0020012855529785156,1,0.003000497817993164
9,3,1,0.0009999275207519531,1,0.004001140594482422
9,4,1,0.0009984970092773438,1,0.0019996166229248047
9,5,1,0.0010004043579101562,1,0.0033087730407714844
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0010437965393066406,1,0.0015668869018554688
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.014993429183959961
10,10,1,0.0,1,0.0
