l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0019998550415039062,1,0.00599980354309082
1,2,1,0.001188039779663086,1,0.0
1,3,1,0.0005757808685302734,1,0.0040035247802734375
1,4,1,0.0010006427764892578,1,0.0029993057250976562
1,5,1,0.001001119613647461,1,0.003999233245849609
1,6,1,0.0012764930725097656,1,0.002985239028930664
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.016817331314086914
1,9,1,0.0,1,0.016731739044189453
1,10,1,0.0,1,0.0006041526794433594
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.01342916488647461
2,3,1,0.0025234222412109375,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.01403951644897461,1,0.0016274452209472656
2,7,1,0.0,1,0.0044384002685546875
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.012885808944702148
2,10,1,0.0,1,0.006535053253173828
3,1,1,0.00610041618347168,1,0.0007138252258300781
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.015008926391601562,1,0.006155490875244141
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.010511636734008789,1,0.004406929016113281
3,8,1,0.0006549358367919922,1,0.0013740062713623047
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.012485980987548828
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.014254093170166016
4,3,1,0.002660989761352539,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.009514331817626953
4,6,1,0.0,1,0.004465818405151367
4,7,1,0.0009980201721191406,1,0.0030012130737304688
4,8,1,0.0,1,0.0033779144287109375
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.003079652786254883
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.01622176170349121
5,3,1,0.0,1,0.005009889602661133
5,4,1,0.0,1,0.008008003234863281
5,5,1,0.0017693042755126953,1,0.006462574005126953
5,6,1,0.0008530616760253906,1,0.0
5,7,1,0.0,1,0.010876178741455078
5,8,1,0.0009987354278564453,1,0.002005338668823242
5,9,1,0.0,1,0.0033104419708251953
5,10,1,0.0,1,0.0019867420196533203
6,1,1,0.0010001659393310547,1,0.0029103755950927734
6,2,1,0.001787424087524414,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0010020732879638672,1,0.003998517990112305
6,5,1,0.0,1,0.006274223327636719
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.01862311363220215
7,1,1,0.002733469009399414,1,0.0
7,2,1,0.0,1,0.011485576629638672
7,3,1,0.0016646385192871094,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.015956878662109375
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.003802061080932617
7,10,1,0.0,1,0.0
8,1,1,0.0063517093658447266,1,0.0
8,2,1,0.0,1,0.007901906967163086
8,3,1,0.001001596450805664,1,0.003000497817993164
8,4,1,0.0,1,0.0019981861114501953
8,5,1,0.0,1,0.0030007362365722656
8,6,1,0.0,1,0.0020008087158203125
8,7,1,0.0,1,0.002001047134399414
8,8,1,0.0012195110321044922,1,0.0021386146545410156
8,9,1,0.0010020732879638672,1,0.002999544143676758
8,10,1,0.0,1,0.002171754837036133
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.009200334548950195
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.018375635147094727
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.013521194458007812
9,10,1,0.0,1,0.0017583370208740234
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.014015436172485352
10,3,1,0.001374959945678711,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.015507698059082031
10,6,1,0.0008041858673095703,1,0.003038644790649414
10,7,1,0.001127481460571289,1,0.0020046234130859375
10,8,1,0.0,1,0.003000020980834961
10,9,1,0.0,1,0.0019996166229248047
10,10,1,0.0,1,0.0030002593994140625
