l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0032057762145996094
1,2,1,0.0006568431854248047,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.015007972717285156
1,7,1,0.0,1,0.0022683143615722656
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.01354527473449707
2,7,1,0.0,1,0.0013887882232666016
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.015508890151977539
3,8,1,0.0,1,0.001476287841796875
3,9,1,0.0,1,0.0017788410186767578
3,10,1,0.0,1,0.0011668205261230469
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0031299591064453125
4,3,1,0.0,1,0.002211332321166992
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.007494211196899414
4,10,1,0.0,1,0.0014319419860839844
5,1,1,0.0,1,0.0014679431915283203
5,2,1,0.0012371540069580078,1,0.0018780231475830078
5,3,1,0.0,1,0.0010075569152832031
5,4,1,0.0,1,0.0014481544494628906
5,5,1,0.0,1,0.0014865398406982422
5,6,1,0.0,1,0.0010044574737548828
5,7,1,0.0,1,0.0013980865478515625
5,8,1,0.0,1,0.0010018348693847656
5,9,1,0.0,1,0.0009989738464355469
5,10,1,0.0,1,0.0032608509063720703
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.013514041900634766
6,9,1,0.0,1,0.006201982498168945
6,10,1,0.0,1,0.00099945068359375
7,1,1,0.0,1,0.002128124237060547
7,2,1,0.0,1,0.0019176006317138672
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.005641937255859375
7,6,1,0.0,1,0.0021610260009765625
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.013495683670043945
8,6,1,0.0,1,0.0007245540618896484
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.015009880065917969
9,6,1,0.0,1,0.0018684864044189453
9,7,1,0.0,1,0.001905202865600586
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.014173269271850586
10,5,1,0.0,1,0.0010013580322265625
10,6,1,0.0,1,0.0009996891021728516
10,7,1,0.0,1,0.0010001659393310547
10,8,1,0.0,1,0.0010001659393310547
10,9,1,0.0,1,0.00099945068359375
10,10,1,0.0,1,0.001001119613647461
