l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0010001659393310547
1,2,0,0.0010004043579101562,1,0.0009996891021728516
1,3,0,0.0,1,0.0029053688049316406
1,4,0,0.0,1,0.0010006427764892578
1,5,0,0.0,1,0.0019989013671875
1,6,0,0.0,1,0.0010004043579101562
1,7,0,0.0,1,0.0010008811950683594
1,8,0,0.0,1,0.002001047134399414
1,9,0,0.0,1,0.002000093460083008
1,10,0,0.0,1,0.0010106563568115234
2,1,0,0.0009872913360595703,1,0.0020020008087158203
2,2,0,0.0,1,0.0
2,3,0,0.000982522964477539,1,0.0
2,4,0,0.0,1,0.001999378204345703
2,5,0,0.0,1,0.0019998550415039062
2,6,0,0.0,1,0.001024484634399414
2,7,0,0.0,1,0.0019757747650146484
2,8,0,0.0,1,0.0019996166229248047
2,9,0,0.0,1,0.0009999275207519531
2,10,0,0.0,1,0.002000093460083008
3,1,0,0.0,1,0.0010004043579101562
3,2,0,0.0,1,0.0009942054748535156
3,3,0,0.0,1,0.0009953975677490234
3,4,0,0.0,1,0.0
3,5,0,0.0,1,0.0010063648223876953
3,6,0,0.0,1,0.00099945068359375
3,7,0,0.0,1,0.0009982585906982422
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.0010035037994384766
4,1,0,0.0,1,0.00099945068359375
4,2,0,0.0010023117065429688,1,0.0
4,3,0,0.0,1,0.0009975433349609375
4,4,0,0.0,1,0.0010004043579101562
4,5,0,0.0,1,0.0009999275207519531
4,6,0,0.0,1,0.001003265380859375
4,7,0,0.0,1,0.0009996891021728516
4,8,0,0.0,1,0.0015647411346435547
4,9,0,0.0,1,0.0010445117950439453
4,10,0,0.0,1,0.001009225845336914
5,1,0,0.0009932518005371094,1,0.0
5,2,0,0.0009999275207519531,1,0.0
5,3,0,0.0,1,0.0009999275207519531
5,4,0,0.0,1,0.0010001659393310547
5,5,0,0.0,1,0.0010006427764892578
5,6,0,0.0,1,0.0009996891021728516
5,7,0,0.0,1,0.0
5,8,0,0.0,1,0.0009992122650146484
5,9,0,0.0,1,0.0010001659393310547
5,10,0,0.0,1,0.0010006427764892578
6,1,0,0.0,1,0.0009996891021728516
6,2,0,0.0,1,0.0009999275207519531
6,3,0,0.0,1,0.0009999275207519531
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.0019989013671875
6,6,0,0.0,1,0.0010173320770263672
6,7,0,0.0,1,0.0009827613830566406
6,8,0,0.0,1,0.0009968280792236328
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.0010097026824951172
7,1,0,0.001003265380859375,1,0.0
7,2,0,0.000989675521850586,1,0.0
7,3,0,0.0010120868682861328,1,0.0
7,4,0,0.0,1,0.000995635986328125
7,5,0,0.0,1,0.0010025501251220703
7,6,0,0.0,1,0.0010018348693847656
7,7,0,0.0,1,0.0
7,8,0,0.0,1,0.0
7,9,0,0.0,1,0.0009996891021728516
7,10,0,0.0,1,0.0009999275207519531
8,1,0,0.0,1,0.0010135173797607422
8,2,0,0.0,1,0.0009911060333251953
8,3,0,0.0,1,0.0019893646240234375
8,4,0,0.0,1,0.0010228157043457031
8,5,0,0.0,1,0.0009827613830566406
8,6,0,0.0,1,0.0010023117065429688
8,7,0,0.0,1,0.0010344982147216797
8,8,0,0.0,1,0.0009922981262207031
8,9,0,0.0,1,0.0010123252868652344
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.0009999275207519531
9,2,0,0.0,1,0.0009942054748535156
9,3,0,0.0,1,0.0009992122650146484
9,4,0,0.0,1,0.0009996891021728516
9,5,0,0.0,1,0.0010001659393310547
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.0009999275207519531
9,9,0,0.0,1,0.0010004043579101562
9,10,0,0.0,1,0.0010001659393310547
10,1,0,0.0009996891021728516,1,0.0
10,2,0,0.0009999275207519531,1,0.0
10,3,0,0.0,1,0.0
10,4,0,0.0,1,0.0015096664428710938
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0009999275207519531
10,8,0,0.0,1,0.0010001659393310547
10,9,0,0.0,1,0.0009999275207519531
10,10,0,0.0,1,0.0
