l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.01887345314025879
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.01597285270690918
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.01351165771484375
2,2,1,0.0007295608520507812,1,0.0015604496002197266
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.015403032302856445
2,10,1,0.0,1,0.0029997825622558594
3,1,1,0.0009999275207519531,1,0.0019989013671875
3,2,1,0.0,1,0.0009999275207519531
3,3,1,0.0,1,0.00334930419921875
3,4,1,0.0,1,0.004288434982299805
3,5,1,0.0,1,0.0010042190551757812
3,6,1,0.0,1,0.0010006427764892578
3,7,1,0.0,1,0.0020067691802978516
3,8,1,0.0,1,0.0009922981262207031
3,9,1,0.0,1,0.0010008811950683594
3,10,1,0.0,1,0.0019986629486083984
4,1,1,0.0,1,0.0010001659393310547
4,2,1,0.0,1,0.0009996891021728516
4,3,1,0.0009999275207519531,1,0.0009999275207519531
4,4,1,0.0,1,0.0009999275207519531
4,5,1,0.0,1,0.003314495086669922
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.01615118980407715
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.016002655029296875
6,2,1,0.0008983612060546875,1,0.001581430435180664
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.013010740280151367
7,1,1,0.002040863037109375,1,0.0021653175354003906
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.013566970825195312
7,9,1,0.0,1,0.0002460479736328125
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.017486572265625
8,6,1,0.0,1,0.0019989013671875
8,7,1,0.0,1,0.002001523971557617
8,8,1,0.0,1,0.0019989013671875
8,9,1,0.0,1,0.0023581981658935547
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.006062746047973633
9,2,1,0.0017199516296386719,1,0.002330303192138672
9,3,1,0.0,1,0.0015194416046142578
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.010389566421508789
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.016654014587402344
10,8,1,0.0,1,0.0008842945098876953
10,9,1,0.0,1,0.0020074844360351562
10,10,1,0.0,1,0.0
