l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0009961128234863281,1,0.0030066967010498047
1,2,0,0.000993967056274414,1,0.0020089149475097656
1,3,0,0.0,1,0.0019903182983398438
1,4,0,0.0,1,0.003000020980834961
1,5,0,0.0,1,0.005087137222290039
1,6,0,0.0,1,0.0069963932037353516
1,7,0,0.0,1,0.007001638412475586
1,8,0,0.0,1,0.006999492645263672
1,9,0,0.0,1,0.0071566104888916016
1,10,0,0.0,1,0.004845857620239258
2,1,0,0.0,1,0.0029973983764648438
2,2,0,0.00012373924255371094,1,0.0020058155059814453
2,3,0,0.0,1,0.0019943714141845703
2,4,0,0.0,1,0.003008604049682617
2,5,0,0.001007080078125,1,0.003997802734375
2,6,0,0.0,1,0.004000186920166016
2,7,0,0.0,1,0.005999088287353516
2,8,0,0.0,1,0.007364034652709961
2,9,0,0.0,1,0.005999565124511719
2,10,0,0.0,1,0.012555360794067383
3,1,0,0.0010006427764892578,1,0.007486104965209961
3,2,0,0.0012962818145751953,1,0.0048177242279052734
3,3,0,0.006568193435668945,1,0.008005142211914062
3,4,0,0.001313924789428711,1,0.00985860824584961
3,5,0,0.0,1,0.004999876022338867
3,6,0,0.0,1,0.005000591278076172
3,7,0,0.0,1,0.003998279571533203
3,8,0,0.0,1,0.004004716873168945
3,9,0,0.0,1,0.0019936561584472656
3,10,0,0.0,1,0.001001119613647461
4,1,0,0.0009992122650146484,1,0.004001617431640625
4,2,0,0.0019979476928710938,1,0.0029997825622558594
4,3,0,0.0009999275207519531,1,0.0050048828125
4,4,0,0.000997304916381836,1,0.003998994827270508
4,5,0,0.0,1,0.0051157474517822266
4,6,0,0.0,1,0.004004955291748047
4,7,0,0.0,1,0.0029952526092529297
4,8,0,0.0,1,0.004001617431640625
4,9,0,0.0,1,0.0029990673065185547
4,10,0,0.0,1,0.0020003318786621094
5,1,0,0.0010001659393310547,1,0.00500035285949707
5,2,0,0.0009999275207519531,1,0.004998922348022461
5,3,0,0.0010197162628173828,1,0.002980947494506836
5,4,0,0.0,1,0.0029840469360351562
5,5,0,0.00099945068359375,1,0.003999471664428711
5,6,0,0.0,1,0.0020017623901367188
5,7,0,0.0,1,0.002997875213623047
5,8,0,0.0,1,0.00400090217590332
5,9,0,0.0,1,0.003000020980834961
5,10,0,0.0,1,0.003001689910888672
6,1,0,0.0010001659393310547,1,0.0019991397857666016
6,2,0,0.0009996891021728516,1,0.002999544143676758
6,3,0,0.0,1,0.0020067691802978516
6,4,0,0.0,1,0.003002643585205078
6,5,0,0.0,1,0.00612187385559082
6,6,0,0.0,1,0.002998828887939453
6,7,0,0.0,1,0.0029947757720947266
6,8,0,0.0,1,0.006001472473144531
6,9,0,0.0,1,0.007159709930419922
6,10,0,0.0,1,0.00508570671081543
7,1,0,0.0,1,0.003997802734375
7,2,0,0.0009996891021728516,1,0.004000425338745117
7,3,0,0.0009996891021728516,1,0.005003213882446289
7,4,0,0.0,1,0.005010843276977539
7,5,0,0.0,1,0.0019989013671875
7,6,0,0.0,1,0.0019998550415039062
7,7,0,0.0,1,0.0020029544830322266
7,8,0,0.0,1,0.0019998550415039062
7,9,0,0.0,1,0.0019998550415039062
7,10,0,0.0,1,0.0050144195556640625
8,1,0,0.0010075569152832031,1,0.0019919872283935547
8,2,0,0.0015151500701904297,1,0.0020165443420410156
8,3,0,0.0009996891021728516,1,0.002000093460083008
8,4,0,0.0,1,0.001999378204345703
8,5,0,0.0010006427764892578,1,0.0020003318786621094
8,6,0,0.0,1,0.001998424530029297
8,7,0,0.0,1,0.002002239227294922
8,8,0,0.0,1,0.001991748809814453
8,9,0,0.0,1,0.0020055770874023438
8,10,0,0.0,1,0.0019986629486083984
9,1,0,0.000995635986328125,1,0.0030031204223632812
9,2,0,0.0009980201721191406,1,0.0020003318786621094
9,3,0,0.0,1,0.0020003318786621094
9,4,0,0.00099945068359375,1,0.0029985904693603516
9,5,0,0.0009996891021728516,1,0.003008604049682617
9,6,0,0.0,1,0.0029942989349365234
9,7,0,0.0,1,0.0019986629486083984
9,8,0,0.0,1,0.0019998550415039062
9,9,0,0.0,1,0.002000093460083008
9,10,0,0.0,1,0.0010006427764892578
10,1,0,0.0,1,0.0019996166229248047
10,2,0,0.0010025501251220703,1,0.001997709274291992
10,3,0,0.0,1,0.0030002593994140625
10,4,0,0.0010166168212890625,1,0.001981973648071289
10,5,0,0.0,1,0.002000093460083008
10,6,0,0.0,1,0.0020003318786621094
10,7,0,0.0,1,0.002000093460083008
10,8,0,0.0,1,0.0019996166229248047
10,9,0,0.0,1,0.002000093460083008
10,10,0,0.0,1,0.0019998550415039062
