l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0025751590728759766,1,0.004003047943115234
1,2,0,0.001003265380859375,1,0.0059986114501953125
1,3,0,0.0010066032409667969,1,0.004992008209228516
1,4,0,0.0009996891021728516,1,0.005000591278076172
1,5,0,0.0,1,0.006217241287231445
1,6,0,0.0009989738464355469,1,0.013873815536499023
1,7,0,0.0,1,0.009000539779663086
1,8,0,0.0,1,0.0065288543701171875
1,9,0,0.0,1,0.004998922348022461
1,10,0,0.0,1,0.005516529083251953
2,1,0,0.002001523971557617,1,0.0020074844360351562
2,2,0,0.0009958744049072266,1,0.0015418529510498047
2,3,0,0.0010132789611816406,1,0.0019943714141845703
2,4,0,0.0,1,0.0029981136322021484
2,5,0,0.0010004043579101562,1,0.0025675296783447266
2,6,0,0.0,1,0.0032749176025390625
2,7,0,0.0,1,0.0029990673065185547
2,8,0,0.0,1,0.0019996166229248047
2,9,0,0.0,1,0.0033571720123291016
2,10,0,0.0,1,0.002427339553833008
3,1,0,0.0,1,0.004578113555908203
3,2,0,0.0,1,0.0
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.007837533950805664
3,5,0,0.0009047985076904297,1,0.0005395412445068359
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.004511117935180664
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.005045652389526367
3,10,0,0.0,1,0.0
4,1,0,0.0,1,0.0045452117919921875
4,2,0,0.0010051727294921875,1,0.002000570297241211
4,3,0,0.0,1,0.001569509506225586
4,4,0,0.0010063648223876953,1,0.001001119613647461
4,5,0,0.0009989738464355469,1,0.0009989738464355469
4,6,0,0.0009996891021728516,1,0.0010008811950683594
4,7,0,0.0,1,0.0019996166229248047
4,8,0,0.0,1,0.0015714168548583984
4,9,0,0.0,1,0.002382516860961914
4,10,0,0.0,1,0.00299835205078125
5,1,0,0.0010921955108642578,1,0.002048969268798828
5,2,0,0.0,1,0.0025773048400878906
5,3,0,0.0,1,0.002289295196533203
5,4,0,0.0,1,0.001999378204345703
5,5,0,0.0010058879852294922,1,0.001992464065551758
5,6,0,0.0,1,0.0027832984924316406
5,7,0,0.0,1,0.0010700225830078125
5,8,0,0.0,1,0.0
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.0
6,1,0,0.008065223693847656,1,0.0
6,2,0,0.0,1,0.004555702209472656
6,3,0,0.0008664131164550781,1,0.002038240432739258
6,4,0,0.0,1,0.0015058517456054688
6,5,0,0.0,1,0.002040386199951172
6,6,0,0.0,1,0.0020003318786621094
6,7,0,0.0,1,0.0019996166229248047
6,8,0,0.0,1,0.0009999275207519531
6,9,0,0.0,1,0.0009970664978027344
6,10,0,0.0,1,0.0022170543670654297
7,1,0,0.0009975433349609375,1,0.0029993057250976562
7,2,0,0.0008592605590820312,1,0.0
7,3,0,0.003069162368774414,1,0.0
7,4,0,0.0,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.0
7,7,0,0.0,1,0.0007886886596679688
7,8,0,0.0,1,0.0025959014892578125
7,9,0,0.0,1,0.0009989738464355469
7,10,0,0.0,1,0.0009999275207519531
8,1,0,0.001999378204345703,1,0.0010004043579101562
8,2,0,0.0015056133270263672,1,0.0020356178283691406
8,3,0,0.0,1,0.0020024776458740234
8,4,0,0.0007755756378173828,1,0.0013492107391357422
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.00406956672668457
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.0
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.01117396354675293
9,2,0,0.0010340213775634766,1,0.0029718875885009766
9,3,0,0.0,1,0.0019996166229248047
9,4,0,0.0,1,0.0025305747985839844
9,5,0,0.0,1,0.0019974708557128906
9,6,0,0.0,1,0.0010004043579101562
9,7,0,0.0,1,0.0009996891021728516
9,8,0,0.0,1,0.0020020008087158203
9,9,0,0.0,1,0.0025587081909179688
9,10,0,0.0,1,0.002995014190673828
10,1,0,0.002001523971557617,1,0.001998424530029297
10,2,0,0.001001119613647461,1,0.0006022453308105469
10,3,0,0.0,1,0.0
10,4,0,0.00415349006652832,1,0.0016760826110839844
10,5,0,0.0,1,0.0009999275207519531
10,6,0,0.0,1,0.0010406970977783203
10,7,0,0.0,1,0.001009225845336914
10,8,0,0.0,1,0.0019981861114501953
10,9,0,0.0,1,0.0030007362365722656
10,10,0,0.0,1,0.0023856163024902344
