l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.001004934310913086
1,2,0,0.0,1,0.0
1,3,0,0.0,1,0.0009999275207519531
1,4,0,0.0,1,0.0009996891021728516
1,5,0,0.0,1,0.0010004043579101562
1,6,0,0.0,1,0.0009996891021728516
1,7,0,0.0,1,0.0010001659393310547
1,8,0,0.0,1,0.0015611648559570312
1,9,0,0.0,1,0.0010018348693847656
1,10,0,0.0,1,0.0
2,1,0,0.0,1,0.0
2,2,0,0.0,1,0.0010025501251220703
2,3,0,0.0,1,0.0009996891021728516
2,4,0,0.0,1,0.0
2,5,0,0.0,1,0.0010001659393310547
2,6,0,0.0,1,0.0009999275207519531
2,7,0,0.0,1,0.0
2,8,0,0.0,1,0.0010001659393310547
2,9,0,0.0,1,0.0011181831359863281
2,10,0,0.0,1,0.0006227493286132812
3,1,0,0.0,1,0.001619577407836914
3,2,0,0.0,1,0.0
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.0
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.0
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.0
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.0
4,3,0,0.0,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.0
4,6,0,0.0,1,0.010016441345214844
4,7,0,0.0,1,0.0
4,8,0,0.0,1,0.0
4,9,0,0.0,1,0.0
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.003509521484375
5,2,0,0.0,1,0.0007917881011962891
5,3,0,0.0,1,0.0010159015655517578
5,4,0,0.0,1,0.0
5,5,0,0.0,1,0.0009899139404296875
5,6,0,0.0,1,0.0009975433349609375
5,7,0,0.0,1,0.0
5,8,0,0.0,1,0.0
5,9,0,0.0,1,0.0026252269744873047
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.0
6,2,0,0.0,1,0.0
6,3,0,0.0,1,0.0
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.0
6,6,0,0.0,1,0.0
6,7,0,0.0,1,0.0050106048583984375
6,8,0,0.0,1,0.0005087852478027344
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.0
7,1,0,0.0,1,0.0
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.0
7,4,0,0.0,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.0014448165893554688
7,7,0,0.0,1,0.0
7,8,0,0.0,1,0.0
7,9,0,0.0,1,0.0
7,10,0,0.0,1,0.0
8,1,0,0.0,1,0.0
8,2,0,0.0,1,0.0
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.0
8,9,0,0.0,1,0.008582115173339844
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.0
9,2,0,0.0,1,0.0
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.0
9,5,0,0.0,1,0.0
9,6,0,0.0,1,0.004510641098022461
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.0
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.0025091171264648438
10,1,0,0.0006585121154785156,1,0.0005049705505371094
10,2,0,0.0,1,0.001110076904296875
10,3,0,0.0,1,0.0005831718444824219
10,4,0,0.0,1,0.0
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0
10,8,0,0.0,1,0.0
10,9,0,0.0,1,0.0
10,10,0,0.0,1,0.005013227462768555
