l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0
1,2,0,0.0,1,0.0
1,3,0,0.0,1,0.0
1,4,0,0.0,1,0.005116462707519531
1,5,0,0.0,1,0.0020117759704589844
1,6,0,0.0,1,0.0019996166229248047
1,7,0,0.0,1,0.0020215511322021484
1,8,0,0.0,1,0.000986337661743164
1,9,0,0.0,1,0.0
1,10,0,0.0,1,0.0016033649444580078
2,1,0,0.0,1,0.0010144710540771484
2,2,0,0.0,1,0.0009963512420654297
2,3,0,0.0,1,0.0
2,4,0,0.0,1,0.0010008811950683594
2,5,0,0.0,1,0.0009992122650146484
2,6,0,0.0,1,0.0
2,7,0,0.0,1,0.0009996891021728516
2,8,0,0.0,1,0.0009899139404296875
2,9,0,0.0,1,0.0
2,10,0,0.0,1,0.0010237693786621094
3,1,0,9.393692016601562e-05,1,0.0004668235778808594
3,2,0,0.0,1,0.0
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.0
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.0
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.0
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.0
4,3,0,0.0,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.0
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.0
4,8,0,0.0,1,0.010206937789916992
4,9,0,0.0,1,0.0
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.0
5,2,0,0.0,1,0.0
5,3,0,0.0,1,0.0035293102264404297
5,4,0,0.0,1,0.0008747577667236328
5,5,0,0.0,1,0.0007760524749755859
5,6,0,0.0,1,0.0
5,7,0,0.0,1,0.0
5,8,0,0.0,1,0.0
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.004602193832397461
6,2,0,0.0,1,0.0
6,3,0,0.0,1,0.0
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.0
6,6,0,0.0,1,0.0
6,7,0,0.0,1,0.0
6,8,0,0.0,1,0.0
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.0
7,1,0,0.0,1,0.0
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.0
7,4,0,0.0,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.0
7,7,0,0.0,1,0.01007390022277832
7,8,0,0.0,1,0.0011668205261230469
7,9,0,0.0,1,0.0010180473327636719
7,10,0,0.0,1,0.0
8,1,0,0.000997304916381836,1,0.0
8,2,0,0.0,1,0.001321554183959961
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.0
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.005594730377197266
9,1,0,0.0,1,0.0
9,2,0,0.0,1,0.0
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.0
9,5,0,0.0,1,0.0
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.0
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.0
10,1,0,0.0,1,0.0
10,2,0,0.0,1,0.008314371109008789
10,3,0,0.0,1,0.0010085105895996094
10,4,0,0.0,1,0.0005176067352294922
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0
10,8,0,0.0,1,0.0
10,9,0,0.0,1,0.0
10,10,0,0.0,1,0.0
