l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0018775463104248047,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.013527393341064453
1,4,1,0.0,1,0.0006949901580810547
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.015933752059936523
1,8,1,0.0,1,0.004002094268798828
1,9,1,0.0,1,0.002999544143676758
1,10,1,0.0,1,0.003999948501586914
2,1,1,0.0010006427764892578,1,0.0035653114318847656
2,2,1,0.0009980201721191406,1,0.002000093460083008
2,3,1,0.0,1,0.0022585391998291016
2,4,1,0.0009951591491699219,1,0.0011324882507324219
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.007384300231933594
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.016817331314086914
2,10,1,0.0,1,0.0007975101470947266
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0006518363952636719,1,0.0007119178771972656
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.01659369468688965
4,2,1,0.0005230903625488281,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.013354778289794922
4,10,1,0.0,1,0.0013959407806396484
5,1,1,0.0009984970092773438,1,0.001999378204345703
5,2,1,0.0010001659393310547,1,0.00099945068359375
5,3,1,0.0010004043579101562,1,0.0009996891021728516
5,4,1,0.0009999275207519531,1,0.0009987354278564453
5,5,1,0.0,1,0.002001523971557617
5,6,1,0.0,1,0.001998424530029297
5,7,1,0.0,1,0.005243062973022461
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.011510848999023438,1,0.002301931381225586
6,4,1,0.0,1,0.0019996166229248047
6,5,1,0.0,1,0.0020067691802978516
6,6,1,0.0,1,0.002000570297241211
6,7,1,0.0,1,0.00238037109375
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.006832599639892578
7,1,1,0.0,1,0.003016948699951172
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.01400613784790039
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.015645265579223633,1,0.0009241104125976562
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.012770891189575195
8,8,1,0.0,1,0.0034580230712890625
8,9,1,0.0,1,0.003000020980834961
8,10,1,0.0,1,0.0020339488983154297
9,1,1,0.002000570297241211,1,0.002000093460083008
9,2,1,0.0009953975677490234,1,0.0019991397857666016
9,3,1,0.0011296272277832031,1,0.0037300586700439453
9,4,1,0.0,1,0.002651214599609375
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.012254714965820312
9,9,1,0.0,1,0.0020034313201904297
9,10,1,0.0,1,0.0019996166229248047
10,1,1,0.00286102294921875,1,0.0010037422180175781
10,2,1,0.005827188491821289,1,0.002331972122192383
10,3,1,0.0,1,0.0011878013610839844
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.008434534072875977
10,7,1,0.0,1,0.005745887756347656
10,8,1,0.0,1,0.002634286880493164
10,9,1,0.0,1,0.0014958381652832031
10,10,1,0.0,1,0.0038306713104248047
