l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0008893013000488281,1,0.003916740417480469
1,2,1,0.0010001659393310547,1,0.002000093460083008
1,3,1,0.0009996891021728516,1,0.0030014514923095703
1,4,1,0.0009980201721191406,1,0.003000974655151367
1,5,1,0.0009989738464355469,1,0.005717277526855469
1,6,1,0.0010013580322265625,1,0.005995750427246094
1,7,1,0.0009989738464355469,1,0.00538182258605957
1,8,1,0.0,1,0.003999233245849609
1,9,1,0.0,1,0.00699925422668457
1,10,1,0.0,1,0.008544445037841797
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.011867046356201172
2,3,1,0.0010025501251220703,1,0.003997325897216797
2,4,1,0.0009944438934326172,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.009283065795898438
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.016721248626708984
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.016674280166625977
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.017548322677612305
4,1,1,0.0,1,0.002996683120727539
4,2,1,0.0,1,0.0020003318786621094
4,3,1,0.0,1,0.0020029544830322266
4,4,1,0.0,1,0.0020020008087158203
4,5,1,0.0009989738464355469,1,0.002796649932861328
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.015007495880126953
5,1,1,0.0010039806365966797,1,0.004001140594482422
5,2,1,0.0019981861114501953,1,0.004755258560180664
5,3,1,0.0,1,0.004853248596191406
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.016566991806030273
5,8,1,0.0,1,0.001009225845336914
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.013227224349975586
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.01845574378967285
6,8,1,0.0010004043579101562,1,0.002000093460083008
6,9,1,0.0,1,0.0019998550415039062
6,10,1,0.0,1,0.0030007362365722656
7,1,1,0.0009992122650146484,1,0.0019996166229248047
7,2,1,0.0009996891021728516,1,0.0033211708068847656
7,3,1,0.0009491443634033203,1,0.0036611557006835938
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.01197671890258789
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.008009672164916992
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.00981283187866211
8,2,1,0.0009949207305908203,1,0.004001140594482422
8,3,1,0.001001596450805664,1,0.0022444725036621094
8,4,1,0.0,1,0.010603189468383789
8,5,1,0.0,1,0.0042760372161865234
8,6,1,0.0009996891021728516,1,0.0030002593994140625
8,7,1,0.0,1,0.004003047943115234
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.01563715934753418
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.017772674560546875
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.014754295349121094
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.005509614944458008
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.010453939437866211
10,5,1,0.001007080078125,1,0.0019989013671875
10,6,1,0.0,1,0.0020003318786621094
10,7,1,0.0010001659393310547,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.010163068771362305
