l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016674041748046875,1,0.0
1,2,1,0.011898517608642578,1,0.010025978088378906
1,3,1,0.002999544143676758,1,0.010125875473022461
1,4,1,0.0050008296966552734,1,0.006998777389526367
1,5,1,0.004064083099365234,1,0.01555633544921875
1,6,1,0.0,1,0.02800726890563965
1,7,1,0.004008769989013672,1,0.02267599105834961
1,8,1,0.0,1,0.026051759719848633
1,9,1,0.0,1,0.01657557487487793
1,10,1,0.0,1,0.01966691017150879
2,1,1,0.013426542282104492,1,0.0
2,2,1,0.0,1,0.015010833740234375
2,3,1,0.001676321029663086,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.01789689064025879,1,0.002993345260620117
2,6,1,0.0009989738464355469,1,0.002298593521118164
2,7,1,0.0,1,0.009532690048217773
2,8,1,0.0,1,0.007259845733642578
2,9,1,0.0,1,0.007794380187988281
2,10,1,0.0,1,0.008509397506713867
3,1,1,0.0,1,0.008194208145141602
3,2,1,0.0,1,0.0
3,3,1,0.016796588897705078,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.020627975463867188,1,0.004961967468261719
3,6,1,0.0073010921478271484,1,0.005001544952392578
3,7,1,0.001999378204345703,1,0.005543947219848633
3,8,1,0.0010004043579101562,1,0.0035042762756347656
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.014367103576660156,1,0.0
4,2,1,0.0,1,0.01937699317932129
4,3,1,0.0,1,0.012928485870361328
4,4,1,0.0,1,0.0
4,5,1,0.015012264251708984,1,0.003832578659057617
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.012009859085083008
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.01563286781311035
5,1,1,0.007352590560913086,1,0.005999088287353516
5,2,1,0.008639812469482422,1,0.008967161178588867
5,3,1,0.017831802368164062,1,0.020578861236572266
5,4,1,0.01085972785949707,1,0.0
5,5,1,0.011705160140991211,1,0.005000591278076172
5,6,1,0.003000020980834961,1,0.007776498794555664
5,7,1,0.004424095153808594,1,0.012858152389526367
5,8,1,0.002000570297241211,1,0.006842374801635742
5,9,1,0.0023581981658935547,1,0.007489681243896484
5,10,1,0.0,1,0.003999471664428711
6,1,1,0.005322933197021484,1,0.0
6,2,1,0.022891998291015625,1,0.00551295280456543
6,3,1,0.006218671798706055,1,0.0
6,4,1,0.014591455459594727,1,0.0022356510162353516
6,5,1,0.0,1,0.0
6,6,1,0.015437841415405273,1,0.004999876022338867
6,7,1,0.0029997825622558594,1,0.0044939517974853516
6,8,1,0.004464864730834961,1,0.0
6,9,1,0.0,1,0.02137470245361328
6,10,1,0.0,1,0.0
7,1,1,0.016472578048706055,1,0.0033495426177978516
7,2,1,0.017217636108398438,1,0.003999471664428711
7,3,1,0.004167795181274414,1,0.0
7,4,1,0.0,1,0.015422344207763672
7,5,1,0.0055124759674072266,1,0.003000020980834961
7,6,1,0.0017459392547607422,1,0.006467342376708984
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.015008211135864258,1,0.0020143985748291016
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.016139984130859375,1,0.0
8,3,1,0.0,1,0.01614689826965332
8,4,1,0.002998828887939453,1,0.0030012130737304688
8,5,1,0.0020008087158203125,1,0.003998279571533203
8,6,1,0.004028797149658203,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.01796269416809082
8,9,1,0.00099945068359375,1,0.0055272579193115234
8,10,1,0.0,1,0.007996082305908203
9,1,1,0.0,1,0.0
9,2,1,0.016692161560058594,1,0.0
9,3,1,0.016766786575317383,1,0.0052869319915771484
9,4,1,0.0,1,0.0
9,5,1,0.012789249420166016,1,0.004000186920166016
9,6,1,0.003999471664428711,1,0.004000663757324219
9,7,1,0.003023862838745117,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.017877578735351562
10,1,1,0.004788398742675781,1,0.0
10,2,1,0.0009253025054931641,1,0.0069370269775390625
10,3,1,0.0,1,0.008007287979125977
10,4,1,0.0016722679138183594,1,0.0
10,5,1,0.0,1,0.018443822860717773
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.015454530715942383
10,8,1,0.00099945068359375,1,0.0039997100830078125
10,9,1,0.0,1,0.003999471664428711
10,10,1,0.0,1,0.004033088684082031
