l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.006409406661987305,1,0.005080223083496094
1,2,1,0.004474163055419922,1,0.006718635559082031
1,3,1,0.0007660388946533203,1,0.0
1,4,1,0.011904001235961914,1,0.002111196517944336
1,5,1,0.0,1,0.026602745056152344
1,6,1,0.000997781753540039,1,0.006043910980224609
1,7,1,0.0,1,0.01601696014404297
1,8,1,0.0,1,0.017181873321533203
1,9,1,0.0,1,0.013385772705078125
1,10,1,0.0,1,0.01576685905456543
2,1,1,0.0008139610290527344,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.017447233200073242
2,4,1,0.0020003318786621094,1,0.0029997825622558594
2,5,1,0.0019996166229248047,1,0.004004240036010742
2,6,1,0.0009999275207519531,1,0.00820159912109375
2,7,1,0.0,1,0.010545969009399414
2,8,1,0.0,1,0.008378028869628906
2,9,1,0.0,1,0.008457660675048828
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.016072988510131836
3,2,1,0.0029990673065185547,1,0.0020012855529785156
3,3,1,0.0027332305908203125,1,0.0
3,4,1,0.0055882930755615234,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.018336057662963867
3,9,1,0.0,1,0.004113912582397461
3,10,1,0.0,1,0.0019500255584716797
4,1,1,0.0,1,0.0
4,2,1,0.00950169563293457,1,0.0030035972595214844
4,3,1,0.0020024776458740234,1,0.003998756408691406
4,4,1,0.000995635986328125,1,0.002009868621826172
4,5,1,0.0009953975677490234,1,0.0024399757385253906
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.018036603927612305
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.015743017196655273,1,0.0030031204223632812
5,3,1,0.002001523971557617,1,0.0029981136322021484
5,4,1,0.0,1,0.008068561553955078
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.002725362777709961,1,0.0030035972595214844
6,2,1,0.0030035972595214844,1,0.0029976367950439453
6,3,1,0.0009992122650146484,1,0.0034377574920654297
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.018639087677001953
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.013660430908203125,1,0.002292633056640625
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.014405488967895508
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.018376827239990234
7,9,1,0.0,1,0.002001047134399414
7,10,1,0.0,1,0.0029289722442626953
8,1,1,0.0,1,0.009401082992553711
8,2,1,0.0029973983764648438,1,0.0030002593994140625
8,3,1,0.002001523971557617,1,0.0030024051666259766
8,4,1,0.0009975433349609375,1,0.0021533966064453125
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.014508485794067383
9,1,1,0.0021092891693115234,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.015543699264526367
9,4,1,0.0008981227874755859,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.01677417755126953
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.016768217086791992
10,4,1,0.002002239227294922,1,0.0029973983764648438
10,5,1,0.0009996891021728516,1,0.0022101402282714844
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0068552494049072266
10,8,1,0.0,1,0.003003835678100586
10,9,1,0.0,1,0.003000020980834961
10,10,1,0.0,1,0.0019998550415039062
