l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.015796661376953125
1,2,1,0.0009982585906982422,1,0.005000114440917969
1,3,1,0.00099945068359375,1,0.0055789947509765625
1,4,1,0.0,1,0.0034389495849609375
1,5,1,0.0,1,0.01671123504638672
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.008014917373657227
1,9,1,0.0,1,0.010133743286132812
1,10,1,0.0,1,0.005521059036254883
2,1,1,0.0009989738464355469,1,0.002000093460083008
2,2,1,0.0010008811950683594,1,0.0015172958374023438
2,3,1,0.0011749267578125,1,0.0008780956268310547
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.015689373016357422
2,8,1,0.0,1,0.0035088062286376953
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.001699686050415039,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.015028715133666992
3,10,1,0.0,1,0.0015308856964111328
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.016157865524291992
4,5,1,0.0,1,0.00099945068359375
4,6,1,0.0,1,0.0020012855529785156
4,7,1,0.0,1,0.0020003318786621094
4,8,1,0.0,1,0.0012028217315673828
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.007843494415283203
5,1,1,0.0029997825622558594,1,0.002000093460083008
5,2,1,0.0019998550415039062,1,0.003000497817993164
5,3,1,0.0010080337524414062,1,0.001997709274291992
5,4,1,0.0010027885437011719,1,0.0009982585906982422
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.004508256912231445,1,0.0014159679412841797
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.016144990921020508,1,0.0007364749908447266
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.015946149826049805
7,9,1,0.0,1,0.0006792545318603516
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.015007495880126953,1,0.0016942024230957031
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.017971277236938477,1,0.002000570297241211
9,2,1,0.0019986629486083984,1,0.002001047134399414
9,3,1,0.0004432201385498047,1,0.0013048648834228516
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0007054805755615234
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.01596522331237793,1,0.0030579566955566406
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.014384746551513672
10,7,1,0.0,1,0.004125356674194336
10,8,1,0.0,1,0.002132415771484375
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
