l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0010013580322265625,1,0.00099945068359375
1,2,1,0.0,1,0.0030341148376464844
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.012186765670776367
1,7,1,0.0,1,0.010879993438720703
1,8,1,0.0,1,0.0050945281982421875
1,9,1,0.0,1,0.003305196762084961
1,10,1,0.0,1,0.0065746307373046875
2,1,1,0.0,1,0.002636432647705078
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.006007194519042969
2,7,1,0.0,1,0.0008051395416259766
2,8,1,0.0,1,0.0018358230590820312
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.012511730194091797
4,2,1,0.0,1,0.0025849342346191406
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.005879878997802734
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.009058475494384766
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.015897512435913086
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.016010284423828125
8,4,1,0.0,1,0.0009987354278564453
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0014674663543701172
8,7,1,0.0,1,0.00099945068359375
8,8,1,0.0,1,0.00099945068359375
8,9,1,0.0,1,0.0010004043579101562
8,10,1,0.0,1,0.0020008087158203125
9,1,1,0.0,1,0.002587556838989258
9,2,1,0.0,1,0.001961946487426758
9,3,1,0.0,1,0.002279996871948242
9,4,1,0.0,1,0.0020411014556884766
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.014017105102539062
10,7,1,0.0,1,0.0007753372192382812
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
