l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.013581275939941406
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.01545405387878418
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.006701946258544922
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.014532804489135742
1,10,1,0.0,1,0.005836963653564453
2,1,1,0.0,1,0.0
2,2,1,0.005472898483276367,1,0.003005504608154297
2,3,1,0.00099945068359375,1,0.0030024051666259766
2,4,1,0.0,1,0.0029993057250976562
2,5,1,0.0,1,0.0030035972595214844
2,6,1,0.0,1,0.005706787109375
2,7,1,0.0,1,0.004336833953857422
2,8,1,0.0,1,0.0009419918060302734
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.011169910430908203
3,1,1,0.0010023117065429688,1,0.002997875213623047
3,2,1,0.0014464855194091797,1,0.002044200897216797
3,3,1,0.0,1,0.002001523971557617
3,4,1,0.0,1,0.001997709274291992
3,5,1,0.0,1,0.0030171871185302734
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.016777992248535156
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.015666723251342773
4,7,1,0.0,1,0.0020029544830322266
4,8,1,0.0,1,0.002001047134399414
4,9,1,0.0,1,0.002000093460083008
4,10,1,0.0,1,0.0020003318786621094
5,1,1,0.0010004043579101562,1,0.00099945068359375
5,2,1,0.0010006427764892578,1,0.0009992122650146484
5,3,1,0.0,1,0.00099945068359375
5,4,1,0.00099945068359375,1,0.0017311573028564453
5,5,1,0.0,1,0.0019991397857666016
5,6,1,0.0,1,0.002000570297241211
5,7,1,0.0,1,0.00099945068359375
5,8,1,0.0,1,0.002000093460083008
5,9,1,0.0,1,0.003396272659301758
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.005869150161743164
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.015007257461547852
6,7,1,0.0,1,0.0017731189727783203
6,8,1,0.0,1,0.0005123615264892578
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.014065027236938477
7,3,1,0.0009708404541015625,1,0.0014834403991699219
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.014234781265258789
8,1,1,0.0018045902252197266,1,0.0005147457122802734
8,2,1,0.0,1,0.006288051605224609
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.008504152297973633
8,5,1,0.0,1,0.002003908157348633
8,6,1,0.0,1,0.0019919872283935547
8,7,1,0.0,1,0.002002239227294922
8,8,1,0.0,1,0.0019981861114501953
8,9,1,0.0,1,0.001999378204345703
8,10,1,0.0,1,0.0010018348693847656
9,1,1,0.002331972122192383,1,0.003299236297607422
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.013319969177246094
9,7,1,0.0,1,0.001997232437133789
9,8,1,0.0,1,0.003000020980834961
9,9,1,0.0,1,0.002000570297241211
9,10,1,0.0,1,0.002118825912475586
10,1,1,0.0023965835571289062,1,0.0
10,2,1,0.0,1,0.005226612091064453
10,3,1,0.0018162727355957031,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.01466226577758789
