l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0020155906677246094
1,7,1,0.0,1,0.0007393360137939453
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.015007734298706055
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.00029277801513671875
3,10,1,0.0,1,0.0010519027709960938
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0009999275207519531
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0009999275207519531
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0010001659393310547
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0010004043579101562
4,10,1,0.0,1,0.0009992122650146484
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0009999275207519531
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0009996891021728516
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0009999275207519531
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.001003265380859375
5,10,1,0.0,1,0.0009951591491699219
6,1,1,0.0,1,0.0010030269622802734
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.00099945068359375
6,4,1,0.0,1,0.0014269351959228516
6,5,1,0.0,1,0.0006954669952392578
6,6,1,0.0,1,0.0015075206756591797
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.001005411148071289
8,1,1,0.0,1,0.0010004043579101562
8,2,1,0.0,1,0.0009987354278564453
8,3,1,0.0,1,0.001001119613647461
8,4,1,0.0,1,0.0009996891021728516
8,5,1,0.0,1,0.0009992122650146484
8,6,1,0.0,1,0.0010023117065429688
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0010004043579101562
8,10,1,0.0,1,0.0013020038604736328
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0064046382904052734
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0007455348968505859
10,6,1,0.0,1,0.0009298324584960938
10,7,1,0.0,1,0.0015079975128173828
10,8,1,0.0,1,0.0014338493347167969
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
