l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01500701904296875,1,0.001783132553100586
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.017299413681030273
1,6,1,0.0,1,0.003999233245849609
1,7,1,0.0,1,0.0039942264556884766
1,8,1,0.0,1,0.00600743293762207
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0009074211120605469,1,0.0030052661895751953
2,3,1,0.0010001659393310547,1,0.002000093460083008
2,4,1,0.0,1,0.002086639404296875
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.008358001708984375
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.01658344268798828
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.015007495880126953,1,0.0018768310546875
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.018071413040161133
4,4,1,0.0010001659393310547,1,0.0029990673065185547
4,5,1,0.0,1,0.0025076866149902344
4,6,1,0.0,1,0.0019998550415039062
4,7,1,0.0,1,0.0025086402893066406
4,8,1,0.0,1,0.003063201904296875
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.016607284545898438
5,3,1,0.0,1,0.0045087337493896484
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.011446475982666016
5,7,1,0.0,1,0.004010438919067383
5,8,1,0.0,1,0.0031685829162597656
5,9,1,0.0,1,0.0026192665100097656
5,10,1,0.0,1,0.0
6,1,1,0.006047964096069336,1,0.0025517940521240234
6,2,1,0.0,1,0.0030088424682617188
6,3,1,0.000997304916381836,1,0.0019936561584472656
6,4,1,0.0,1,0.0020003318786621094
6,5,1,0.0009989738464355469,1,0.00099945068359375
6,6,1,0.0009996891021728516,1,0.0017504692077636719
6,7,1,0.0,1,0.0029973983764648438
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.012997865676879883
7,3,1,0.0,1,0.003011941909790039
7,4,1,0.0,1,0.0019941329956054688
7,5,1,0.0009996891021728516,1,0.0010006427764892578
7,6,1,0.0,1,0.00549626350402832
7,7,1,0.0,1,0.003550291061401367
7,8,1,0.0,1,0.003003835678100586
7,9,1,0.0,1,0.0030002593994140625
7,10,1,0.0,1,0.002999544143676758
8,1,1,0.0,1,0.0020055770874023438
8,2,1,0.0010006427764892578,1,0.0010006427764892578
8,3,1,0.0,1,0.0029442310333251953
8,4,1,0.0,1,0.004178524017333984
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.010598897933959961
8,9,1,0.0,1,0.001474618911743164
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.016238927841186523
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.01632237434387207
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.01653146743774414
10,8,1,0.0,1,0.003002643585205078
10,9,1,0.0,1,0.0019986629486083984
10,10,1,0.0,1,0.004008293151855469
