l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0016410350799560547
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.016994237899780273
1,7,1,0.0,1,0.004998207092285156
1,8,1,0.0,1,0.002313375473022461
1,9,1,0.0,1,0.007930755615234375
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.01610255241394043
2,5,1,0.0,1,0.0007212162017822266
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.015007257461547852
3,2,1,0.0013530254364013672,1,0.001999378204345703
3,3,1,0.0,1,0.0020051002502441406
3,4,1,0.0,1,0.0019948482513427734
3,5,1,0.0,1,0.0010001659393310547
3,6,1,0.0,1,0.0009958744049072266
3,7,1,0.0,1,0.0020062923431396484
3,8,1,0.0,1,0.001992940902709961
3,9,1,0.0,1,0.0010058879852294922
3,10,1,0.0,1,0.0018928050994873047
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.015007495880126953,1,0.001706838607788086
5,2,1,0.0,1,0.0017654895782470703
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.013524532318115234
6,3,1,0.00069427490234375,1,0.0028450489044189453
6,4,1,0.0,1,0.0014297962188720703
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.003990650177001953
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.008423566818237305
7,2,1,0.0010042190551757812,1,0.0020008087158203125
7,3,1,0.0,1,0.002000570297241211
7,4,1,0.0,1,0.002003192901611328
7,5,1,0.0,1,0.0014362335205078125
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0006771087646484375,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.015008687973022461
8,10,1,0.0,1,0.002460956573486328
9,1,1,0.0010037422180175781,1,0.0019998550415039062
9,2,1,0.0010008811950683594,1,0.002001047134399414
9,3,1,0.0,1,0.0019991397857666016
9,4,1,0.0,1,0.0009987354278564453
9,5,1,0.0,1,0.0020093917846679688
9,6,1,0.0,1,0.0029060840606689453
9,7,1,0.0,1,0.000949859619140625
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.015844106674194336
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
