l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.015007257461547852,1,0.0047452449798583984
1,3,1,0.0010030269622802734,1,0.002996206283569336
1,4,1,0.0009992122650146484,1,0.007609367370605469
1,5,1,0.0,1,0.004011392593383789
1,6,1,0.0,1,0.007001161575317383
1,7,1,0.0,1,0.006732940673828125
1,8,1,0.0,1,0.0070002079010009766
1,9,1,0.0,1,0.0062677860260009766
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.015998363494873047,1,0.002485990524291992
2,3,1,0.0,1,0.0
2,4,1,0.007520198822021484,1,0.0
2,5,1,0.0,1,0.007475376129150391
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.015006065368652344
2,9,1,0.0,1,0.0008852481842041016
2,10,1,0.0,1,0.017888307571411133
3,1,1,0.0009963512420654297,1,0.003995656967163086
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.010352134704589844
3,4,1,0.0009996891021728516,1,0.003999948501586914
3,5,1,0.0010006427764892578,1,0.003004789352416992
3,6,1,0.0,1,0.004003763198852539
3,7,1,0.0,1,0.0030264854431152344
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.015008211135864258,1,0.00470423698425293
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.013146400451660156
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.015509843826293945,1,0.0013461112976074219
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.01601099967956543
5,5,1,0.0010004043579101562,1,0.002997875213623047
5,6,1,0.0010035037994384766,1,0.0015647411346435547
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.009002208709716797
5,9,1,0.0,1,0.0030012130737304688
5,10,1,0.0,1,0.0029997825622558594
6,1,1,0.0020017623901367188,1,0.00299835205078125
6,2,1,0.0010023117065429688,1,0.004223823547363281
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.016415834426879883
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.016661643981933594
6,10,1,0.0,1,0.0014443397521972656
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.016087770462036133
7,3,1,0.0011475086212158203,1,0.003384113311767578
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.013571977615356445
7,6,1,0.0009996891021728516,1,0.004757404327392578
7,7,1,0.0,1,0.008816242218017578
7,8,1,0.0,1,0.003999948501586914
7,9,1,0.0,1,0.0038862228393554688
7,10,1,0.0,1,0.003181934356689453
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.01562356948852539
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.015625715255737305
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.01631927490234375
9,1,1,0.0010008811950683594,1,0.0033087730407714844
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.011952877044677734
9,5,1,0.0009980201721191406,1,0.003999948501586914
9,6,1,0.0009999275207519531,1,0.003999233245849609
9,7,1,0.0,1,0.004059791564941406
9,8,1,0.0,1,0.00818490982055664
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.010162591934204102,1,0.0029866695404052734
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.015653371810913086
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0011401176452636719
10,10,1,0.0,1,0.0
