l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.01563096046447754
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.016665935516357422
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.010508537292480469
1,10,1,0.0,1,0.008485794067382812
2,1,1,0.0019996166229248047,1,0.002001523971557617
2,2,1,0.0009987354278564453,1,0.003006458282470703
2,3,1,0.0,1,0.0022935867309570312
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.004936933517456055
2,6,1,0.0,1,0.005011796951293945
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.010748624801635742
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0016312599182128906
3,6,1,0.0,1,0.0006649494171142578
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.013509750366210938
4,7,1,0.0,1,0.0014896392822265625
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.016367435455322266
5,5,1,0.0,1,0.001001596450805664
5,6,1,0.0,1,0.0009958744049072266
5,7,1,0.0,1,0.002000093460083008
5,8,1,0.0,1,0.001996755599975586
5,9,1,0.0,1,0.0010077953338623047
5,10,1,0.0,1,0.0009913444519042969
6,1,1,0.0010056495666503906,1,0.0010027885437011719
6,2,1,0.0009903907775878906,1,0.0010004043579101562
6,3,1,0.0,1,0.0019996166229248047
6,4,1,0.0,1,0.0020399093627929688
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.015009641647338867
7,6,1,0.0,1,0.0018172264099121094
7,7,1,0.0,1,0.0009996891021728516
7,8,1,0.0,1,0.0020051002502441406
7,9,1,0.0,1,0.001997709274291992
7,10,1,0.0,1,0.0021066665649414062
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.008555889129638672
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0020799636840820312
8,7,1,0.0,1,0.00125885009765625
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0060155391693115234,1,0.0015425682067871094
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.01700305938720703
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.01632833480834961
10,4,1,0.0,1,0.0020046234130859375
10,5,1,0.0,1,0.0010042190551757812
10,6,1,0.0,1,0.0010013580322265625
10,7,1,0.0,1,0.0010159015655517578
10,8,1,0.0,1,0.0009856224060058594
10,9,1,0.0,1,0.0019941329956054688
10,10,1,0.0,1,0.0010094642639160156
