l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.013509035110473633,1,0.005266666412353516
1,2,1,0.0020012855529785156,1,0.005894660949707031
1,3,1,0.004714488983154297,1,0.003006458282470703
1,4,1,0.0,1,0.004000186920166016
1,5,1,0.0019943714141845703,1,0.003998994827270508
1,6,1,0.0,1,0.0037567615509033203
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.01626443862915039
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.017307281494140625
2,3,1,0.0009860992431640625,1,0.003000974655151367
2,4,1,0.0010006427764892578,1,0.0029993057250976562
2,5,1,0.0010151863098144531,1,0.0029838085174560547
2,6,1,0.0,1,0.002104520797729492
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.015021800994873047,1,0.0030515193939208984
3,2,1,0.0010008811950683594,1,0.002000570297241211
3,3,1,0.0009984970092773438,1,0.0029566287994384766
3,4,1,0.002063274383544922,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.005519390106201172,1,0.003773212432861328
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.013702869415283203
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.015882492065429688
4,4,1,0.0,1,0.0032269954681396484
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.012964963912963867
4,8,1,0.0,1,0.0030477046966552734
4,9,1,0.0,1,0.0020003318786621094
4,10,1,0.0,1,0.0029997825622558594
5,1,1,0.001999378204345703,1,0.004369020462036133
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.01649761199951172
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.014531612396240234
5,8,1,0.0,1,0.0036993026733398438
5,9,1,0.0,1,0.0030069351196289062
5,10,1,0.0,1,0.004225969314575195
6,1,1,0.0027294158935546875,1,0.002241849899291992
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.015564680099487305
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.002004384994506836
6,8,1,0.0,1,0.0024497509002685547
6,9,1,0.0,1,0.002000093460083008
6,10,1,0.0,1,0.0019998550415039062
7,1,1,0.0009999275207519531,1,0.0019996166229248047
7,2,1,0.0010006427764892578,1,0.004515647888183594
7,3,1,0.002178668975830078,1,0.0025818347930908203
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.011992692947387695
7,7,1,0.0,1,0.003000497817993164
7,8,1,0.0,1,0.0020003318786621094
7,9,1,0.0,1,0.0030126571655273438
7,10,1,0.0,1,0.002003192901611328
8,1,1,0.0010008811950683594,1,0.002901315689086914
8,2,1,0.0020017623901367188,1,0.0030014514923095703
8,3,1,0.0014307498931884766,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.009196281433105469,1,0.0003993511199951172
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.00093841552734375,1,0.0006358623504638672
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.01500701904296875
9,8,1,0.0,1,0.002389669418334961
9,9,1,0.0,1,0.001999378204345703
9,10,1,0.0,1,0.0020055770874023438
10,1,1,0.0020012855529785156,1,0.002000093460083008
10,2,1,0.0009999275207519531,1,0.003416776657104492
10,3,1,0.0009999275207519531,1,0.0019998550415039062
10,4,1,0.0009992122650146484,1,0.0020020008087158203
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.010547161102294922
10,9,1,0.0,1,0.003000020980834961
10,10,1,0.0,1,0.003000497817993164
