l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.008875370025634766,1,0.007500886917114258
1,2,1,0.015228986740112305,1,0.012627840042114258
1,3,1,0.005228281021118164,1,0.0
1,4,1,0.017905235290527344,1,0.015073299407958984
1,5,1,0.0,1,0.0072002410888671875
1,6,1,0.010823965072631836,1,0.007643938064575195
1,7,1,0.007567167282104492,1,0.0
1,8,1,0.015007972717285156,1,0.013329267501831055
1,9,1,0.0009989738464355469,1,0.004635810852050781
1,10,1,0.0,1,0.015839338302612305
2,1,1,0.0,1,0.019256114959716797
2,2,1,0.0,1,0.014187812805175781
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.017995119094848633,1,0.005999565124511719
2,6,1,0.0,1,0.01236867904663086
2,7,1,0.0021941661834716797,1,0.009419441223144531
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.01632237434387207
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.01661205291748047
3,2,1,0.0,1,0.0
3,3,1,0.016655445098876953,1,0.006075143814086914
3,4,1,0.0,1,0.009828805923461914
3,5,1,0.0010006427764892578,1,0.003998279571533203
3,6,1,0.0020012855529785156,1,0.0010826587677001953
3,7,1,0.0,1,0.011475086212158203
3,8,1,0.0019965171813964844,1,0.0045168399810791016
3,9,1,0.0010023117065429688,1,0.003984689712524414
3,10,1,0.0,1,0.0
4,1,1,0.016326904296875,1,0.006597280502319336
4,2,1,0.0004467964172363281,1,0.0
4,3,1,0.0,1,0.01404118537902832
4,4,1,0.001999378204345703,1,0.007143974304199219
4,5,1,0.0063245296478271484,1,0.0
4,6,1,0.0,1,0.011812686920166016
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.015018701553344727
4,10,1,0.0,1,0.004006147384643555
5,1,1,0.0039997100830078125,1,0.002364635467529297
5,2,1,0.00695037841796875,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.015008926391601562,1,0.0018138885498046875
5,5,1,0.0,1,0.0
5,6,1,0.015007734298706055,1,0.0046041011810302734
5,7,1,0.0,1,0.0
5,8,1,0.013632774353027344,1,0.0011217594146728516
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.015517234802246094
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.019980192184448242
6,3,1,0.0030002593994140625,1,0.003232240676879883
6,4,1,0.006421566009521484,1,0.0008478164672851562
6,5,1,0.0,1,0.0
6,6,1,0.016760587692260742,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.016420841217041016
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.016785621643066406
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.01884746551513672,1,0.005390167236328125
7,5,1,0.0028128623962402344,1,0.006509065628051758
7,6,1,0.001998424530029297,1,0.0030002593994140625
7,7,1,0.002001523971557617,1,0.0039975643157958984
7,8,1,0.0009996891021728516,1,0.007569789886474609
7,9,1,0.0009818077087402344,1,0.004660844802856445
7,10,1,0.0,1,0.009942054748535156
8,1,1,0.0,1,0.014092445373535156
8,2,1,0.0,1,0.0
8,3,1,0.01668548583984375,1,0.0
8,4,1,0.0,1,0.01619267463684082
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.01879119873046875
8,8,1,0.0009996891021728516,1,0.00599980354309082
8,9,1,0.0010004043579101562,1,0.005679607391357422
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.018674373626708984
9,2,1,0.004999876022338867,1,0.0024938583374023438
9,3,1,0.00685572624206543,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.016564369201660156,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.01677083969116211
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.015030384063720703
10,1,1,0.006386518478393555,1,0.005002498626708984
10,2,1,0.004996538162231445,1,0.0029048919677734375
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.016005277633666992,1,0.005994319915771484
10,6,1,0.0019919872283935547,1,0.0012955665588378906
10,7,1,0.007056236267089844,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.01662278175354004
