l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0017330646514892578,1,0.0024950504302978516
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0015141963958740234
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0150146484375
2,2,1,0.0,1,0.0011780261993408203
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.014087200164794922
3,2,1,0.0,1,0.0014171600341796875
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0020220279693603516
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.013590812683105469
5,10,1,0.0,1,0.0005180835723876953
6,1,1,0.001016855239868164,1,0.0009999275207519531
6,2,1,0.0,1,0.00099945068359375
6,3,1,0.0,1,0.0010004043579101562
6,4,1,0.0,1,0.0010008811950683594
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0019981861114501953
6,8,1,0.0,1,0.0004303455352783203
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.008049964904785156
7,4,1,0.0,1,0.0009982585906982422
7,5,1,0.0,1,0.0010004043579101562
7,6,1,0.0,1,0.0010149478912353516
7,7,1,0.0,1,0.0009853839874267578
7,8,1,0.0,1,0.00099945068359375
7,9,1,0.0,1,0.0009999275207519531
7,10,1,0.0,1,0.0009984970092773438
8,1,1,0.00099945068359375,1,0.0010001659393310547
8,2,1,0.0010018348693847656,1,0.0010042190551757812
8,3,1,0.0,1,0.0010018348693847656
8,4,1,0.0,1,0.002147197723388672
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0020623207092285156
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.015930891036987305
10,7,1,0.0,1,0.0008876323699951172
10,8,1,0.0,1,0.003135204315185547
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
