l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.016419649124145508
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.015007257461547852,1,0.008676767349243164
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.01224374771118164
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.014590024948120117
2,3,1,0.0,1,0.003185749053955078
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.013054370880126953
2,6,1,0.0,1,0.0030279159545898438
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.01215362548828125
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.010937929153442383
3,2,1,0.0,1,0.005861520767211914
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.01957559585571289
3,6,1,0.0,1,0.003921985626220703
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.008270263671875
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.00992131233215332,1,0.006556987762451172
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.008017778396606445
4,4,1,0.0,1,0.0
4,5,1,0.0010039806365966797,1,0.0058672428131103516
4,6,1,0.0010013580322265625,1,0.0026705265045166016
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.009659767150878906
4,9,1,0.0,1,0.004341840744018555
4,10,1,0.0,1,0.005383968353271484
5,1,1,0.0019991397857666016,1,0.0022535324096679688
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.017549991607666016,1,0.006144285202026367
5,6,1,0.0,1,0.004999399185180664
5,7,1,0.0010001659393310547,1,0.004790306091308594
5,8,1,0.0,1,0.0040013790130615234
5,9,1,0.0,1,0.004266023635864258
5,10,1,0.0,1,0.0
6,1,1,0.00690150260925293,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.016921043395996094
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.015008211135864258
6,9,1,0.0,1,0.005481719970703125
6,10,1,0.0,1,0.002161741256713867
7,1,1,0.0021212100982666016,1,0.004540205001831055
7,2,1,0.0007476806640625,1,0.0031456947326660156
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.014234304428100586
7,6,1,0.001001596450805664,1,0.0040013790130615234
7,7,1,0.0009984970092773438,1,0.0030007362365722656
7,8,1,0.0009980201721191406,1,0.0030012130737304688
7,9,1,0.0,1,0.0046193599700927734
7,10,1,0.0,1,0.004227638244628906
8,1,1,0.0015294551849365234,1,0.0
8,2,1,0.007509708404541016,1,0.0007772445678710938
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.018819093704223633
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.013399839401245117
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.015889883041381836
9,5,1,0.0010023117065429688,1,0.0029952526092529297
9,6,1,0.0,1,0.00487971305847168
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.007767677307128906
9,9,1,0.0,1,0.002000093460083008
9,10,1,0.0,1,0.0050008296966552734
10,1,1,0.0020003318786621094,1,0.004378318786621094
10,2,1,0.0014662742614746094,1,0.0026154518127441406
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.01290273666381836
10,6,1,0.0007083415985107422,1,0.0023794174194335938
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
