l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0029985904693603516,1,0.003000497817993164
1,2,1,0.0018532276153564453,1,0.0
1,3,1,0.0,1,0.007756471633911133
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.01688075065612793
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.01652812957763672
1,10,1,0.0,1,0.0
2,1,1,0.017371416091918945,1,0.0020034313201904297
2,2,1,0.0019941329956054688,1,0.0020020008087158203
2,3,1,0.002006053924560547,1,0.0015192031860351562
2,4,1,0.0010120868682861328,1,0.002000093460083008
2,5,1,0.0,1,0.0035233497619628906
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.01796722412109375
2,9,1,0.0,1,0.0060062408447265625
2,10,1,0.0,1,0.0037484169006347656
3,1,1,0.0,1,0.004892826080322266
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.015506982803344727
3,8,1,0.0,1,0.0007126331329345703
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.012454748153686523
4,4,1,0.0008826255798339844,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.01665663719177246
5,1,1,0.0019996166229248047,1,0.001999378204345703
5,2,1,0.0009963512420654297,1,0.003000497817993164
5,3,1,0.0010020732879638672,1,0.0019996166229248047
5,4,1,0.0010001659393310547,1,0.0026924610137939453
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.01577138900756836
6,2,1,0.0036406517028808594,1,0.0035810470581054688
6,3,1,0.0009267330169677734,1,0.0039365291595458984
6,4,1,0.0,1,0.004045963287353516
6,5,1,0.0,1,0.00200653076171875
6,6,1,0.0,1,0.0019991397857666016
6,7,1,0.0,1,0.0020003318786621094
6,8,1,0.0,1,0.0019991397857666016
6,9,1,0.0,1,0.0037288665771484375
6,10,1,0.0,1,0.001977205276489258
7,1,1,0.0010004043579101562,1,0.002656221389770508
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.016959667205810547
7,9,1,0.0,1,0.0014939308166503906
7,10,1,0.0,1,0.006053447723388672
8,1,1,0.002905607223510742,1,0.0
8,2,1,0.0055980682373046875,1,0.0029993057250976562
8,3,1,0.0,1,0.0020012855529785156
8,4,1,0.0010051727294921875,1,0.0009930133819580078
8,5,1,0.0,1,0.0020041465759277344
8,6,1,0.0,1,0.0009970664978027344
8,7,1,0.0,1,0.0009832382202148438
8,8,1,0.0,1,0.001003265380859375
8,9,1,0.0,1,0.002239227294921875
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.014518499374389648,1,0.004853010177612305
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.013975858688354492
9,10,1,0.0,1,0.002999544143676758
10,1,1,0.001999378204345703,1,0.0030007362365722656
10,2,1,0.0022687911987304688,1,0.0
10,3,1,0.0,1,0.0071430206298828125
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0020308494567871094
10,9,1,0.0,1,0.0024776458740234375
10,10,1,0.0,1,0.0
