l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.012090444564819336
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0018944740295410156
1,6,1,0.0,1,0.006613731384277344
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.016809940338134766
2,1,1,0.0,1,0.0040149688720703125
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.012453317642211914
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.015013456344604492,1,0.00218963623046875
3,2,1,0.0010001659393310547,1,0.0009980201721191406
3,3,1,0.0010030269622802734,1,0.000942230224609375
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.011791706085205078
3,8,1,0.0,1,0.0009999275207519531
3,9,1,0.0,1,0.0009992122650146484
3,10,1,0.0,1,0.0019986629486083984
4,1,1,0.003000020980834961,1,0.0010058879852294922
4,2,1,0.0010001659393310547,1,0.0020017623901367188
4,3,1,0.0009930133819580078,1,0.0
4,4,1,0.0035767555236816406,1,0.0005424022674560547
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.016846656799316406
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.01662135124206543
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.015014171600341797
6,8,1,0.0,1,0.0015265941619873047
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.014046669006347656
7,3,1,0.0022895336151123047,1,0.001237630844116211
7,4,1,0.0010051727294921875,1,0.0009927749633789062
7,5,1,0.0,1,0.0009996891021728516
7,6,1,0.0,1,0.0010058879852294922
7,7,1,0.0,1,0.0019986629486083984
7,8,1,0.0,1,0.0019936561584472656
7,9,1,0.0,1,0.0009999275207519531
7,10,1,0.0,1,0.002005338668823242
8,1,1,0.0010001659393310547,1,0.002683401107788086
8,2,1,0.001005411148071289,1,0.0019927024841308594
8,3,1,0.0010035037994384766,1,0.0015671253204345703
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.009645700454711914
8,8,1,0.0,1,0.000728607177734375
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.015006303787231445,1,0.002127408981323242
9,3,1,0.0006413459777832031,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.014804840087890625
10,1,1,0.0007548332214355469,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.01602005958557129
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
