l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01490020751953125,1,0.02061629295349121
1,2,1,0.022081851959228516,1,0.01779794692993164
1,3,1,0.03687334060668945,1,0.020811080932617188
1,4,1,0.01795363426208496,1,0.01433253288269043
1,5,1,0.011122465133666992,1,0.046025753021240234
1,6,1,0.016907215118408203,1,0.029061555862426758
1,7,1,0.01653313636779785,1,0.03609943389892578
1,8,1,0.01194453239440918,1,0.03826618194580078
1,9,1,0.01396799087524414,1,0.04027819633483887
1,10,1,0.011716365814208984,1,0.043639183044433594
2,1,1,0.02458977699279785,1,0.01633453369140625
2,2,1,0.018342971801757812,1,0.012779712677001953
2,3,1,0.016119003295898438,1,0.010056018829345703
2,4,1,0.012454032897949219,1,0.010007858276367188
2,5,1,0.019117355346679688,1,0.016139745712280273
2,6,1,0.008116006851196289,1,0.016706466674804688
2,7,1,0.011855125427246094,1,0.01285409927368164
2,8,1,0.013091325759887695,1,0.013193368911743164
2,9,1,0.016272544860839844,1,0.020720243453979492
2,10,1,0.009057998657226562,1,0.028149127960205078
3,1,1,0.00882411003112793,1,0.021511316299438477
3,2,1,0.0182647705078125,1,0.012045860290527344
3,3,1,0.014741659164428711,1,0.008856773376464844
3,4,1,0.011913299560546875,1,0.011273860931396484
3,5,1,0.01799154281616211,1,0.012603044509887695
3,6,1,0.013972043991088867,1,0.0
3,7,1,0.021196365356445312,1,0.008999824523925781
3,8,1,0.0018873214721679688,1,0.013406991958618164
3,9,1,0.004834175109863281,1,0.012007474899291992
3,10,1,0.00665736198425293,1,0.01152658462524414
4,1,1,0.01787734031677246,1,0.00683283805847168
4,2,1,0.0086517333984375,1,0.005993366241455078
4,3,1,0.008212089538574219,1,0.003472566604614258
4,4,1,0.014978408813476562,1,0.0049550533294677734
4,5,1,0.011193275451660156,1,0.01350855827331543
4,6,1,0.001115560531616211,1,0.0
4,7,1,0.02057957649230957,1,0.012221097946166992
4,8,1,0.00919961929321289,1,0.006629228591918945
4,9,1,0.0,1,0.016388654708862305
4,10,1,0.0,1,0.0
5,1,1,0.01865696907043457,1,0.009018898010253906
5,2,1,0.0058116912841796875,1,0.0
5,3,1,0.01589059829711914,1,0.008009672164916992
5,4,1,0.010043859481811523,1,0.006153583526611328
5,5,1,0.0050008296966552734,1,0.003782510757446289
5,6,1,0.0,1,0.0
5,7,1,0.01670670509338379,1,0.0
5,8,1,0.01872420310974121,1,0.0008504390716552734
5,9,1,0.0,1,0.01408243179321289
5,10,1,0.0,1,0.0
6,1,1,0.01808023452758789,1,0.0
6,2,1,0.017394542694091797,1,0.004451274871826172
6,3,1,0.009688377380371094,1,0.0
6,4,1,0.0,1,0.016719818115234375
6,5,1,0.0,1,0.0
6,6,1,0.01827549934387207,1,0.0
6,7,1,0.015432119369506836,1,0.0
6,8,1,0.016560792922973633,1,0.0
6,9,1,0.0,1,0.022711753845214844
6,10,1,0.004570484161376953,1,0.009536027908325195
7,1,1,0.0,1,0.015434741973876953
7,2,1,0.0,1,0.012508153915405273
7,3,1,0.0014920234680175781,1,0.0
7,4,1,0.016802549362182617,1,0.0
7,5,1,0.017030954360961914,1,0.0
7,6,1,0.019102096557617188,1,0.004998922348022461
7,7,1,0.003999948501586914,1,0.0053310394287109375
7,8,1,0.004000425338745117,1,0.0037500858306884766
7,9,1,0.00858926773071289,1,0.0
7,10,1,0.0,1,0.016417980194091797
8,1,1,0.0,1,0.017696857452392578
8,2,1,0.0,1,0.01561284065246582
8,3,1,0.0,1,0.02352285385131836
8,4,1,0.008001327514648438,1,0.008327960968017578
8,5,1,0.0019249916076660156,1,0.008165121078491211
8,6,1,0.0,1,0.0
8,7,1,0.01682305335998535,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.019866466522216797,1,0.003753185272216797
8,10,1,0.009029150009155273,1,0.0007989406585693359
9,1,1,0.019360065460205078,1,0.005000114440917969
9,2,1,0.006049633026123047,1,0.0028688907623291016
9,3,1,0.0,1,0.0
9,4,1,0.01997065544128418,1,0.004858493804931641
9,5,1,0.007812976837158203,1,0.0019145011901855469
9,6,1,0.0,1,0.01550912857055664
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016425371170043945
9,9,1,0.0,1,0.016345739364624023
9,10,1,0.003034830093383789,1,0.00500035285949707
10,1,1,0.005999326705932617,1,0.0030753612518310547
10,2,1,0.0,1,0.0
10,3,1,0.02102184295654297,1,0.004461765289306641
10,4,1,0.00814366340637207,1,0.0
10,5,1,0.0,1,0.016476869583129883
10,6,1,0.0,1,0.0
10,7,1,0.01665663719177246,1,0.0
10,8,1,0.01822829246520996,1,0.007990598678588867
10,9,1,0.005999326705932617,1,0.0009036064147949219
10,10,1,0.0,1,0.0
