l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.015452146530151367,1,0.0
1,2,1,0.022518396377563477,1,0.004999637603759766
1,3,1,0.004901409149169922,1,0.0
1,4,1,0.018535375595092773,1,0.0
1,5,1,0.02027440071105957,1,0.011245965957641602
1,6,1,0.0,1,0.03386068344116211
1,7,1,0.0049915313720703125,1,0.010231494903564453
1,8,1,0.016594886779785156,1,0.018705129623413086
1,9,1,0.009514808654785156,1,0.021543025970458984
1,10,1,0.018857955932617188,1,0.020671367645263672
2,1,1,0.018707990646362305,1,0.008709192276000977
2,2,1,0.0,1,0.017126083374023438
2,3,1,0.008355855941772461,1,0.0070667266845703125
2,4,1,0.0,1,0.016440153121948242
2,5,1,0.0060002803802490234,1,0.00599980354309082
2,6,1,0.003603696823120117,1,0.0
2,7,1,0.0,1,0.018204927444458008
2,8,1,0.0,1,0.01660466194152832
2,9,1,0.016308307647705078,1,0.011368751525878906
2,10,1,0.00462651252746582,1,0.0
3,1,1,0.022362709045410156,1,0.007616519927978516
3,2,1,0.004914999008178711,1,0.013511419296264648
3,3,1,0.001596212387084961,1,0.01647186279296875
3,4,1,0.006414651870727539,1,0.010249853134155273
3,5,1,0.0,1,0.016928911209106445
3,6,1,0.006143331527709961,1,0.01203012466430664
3,7,1,0.006003379821777344,1,0.0060138702392578125
3,8,1,0.009470701217651367,1,0.0005090236663818359
3,9,1,0.010830402374267578,1,0.0060002803802490234
3,10,1,0.004000186920166016,1,0.006910085678100586
4,1,1,0.015914440155029297,1,0.0
4,2,1,0.02400803565979004,1,0.011354684829711914
4,3,1,0.008971214294433594,1,0.0068721771240234375
4,4,1,0.014724016189575195,1,0.0017375946044921875
4,5,1,0.014691591262817383,1,0.0
4,6,1,0.016807079315185547,1,0.0
4,7,1,0.022121429443359375,1,0.012109518051147461
4,8,1,0.00899958610534668,1,0.006919145584106445
4,9,1,0.0,1,0.016497373580932617
4,10,1,0.0,1,0.015016794204711914
5,1,1,0.0018763542175292969,1,0.0
5,2,1,0.015417337417602539,1,0.016047239303588867
5,3,1,0.0,1,0.019692420959472656
5,4,1,0.011670351028442383,1,0.0006239414215087891
5,5,1,0.0,1,0.01669931411743164
5,6,1,0.016689538955688477,1,0.0016601085662841797
5,7,1,0.0,1,0.014895915985107422
5,8,1,0.016885995864868164,1,0.0
5,9,1,0.0,1,0.025597572326660156
5,10,1,0.009893417358398438,1,0.0
6,1,1,0.014527320861816406,1,0.0
6,2,1,0.016532182693481445,1,0.016773462295532227
6,3,1,0.0,1,0.015180110931396484
6,4,1,0.0018677711486816406,1,0.019709110260009766
6,5,1,0.012000560760498047,1,0.011437416076660156
6,6,1,0.006687641143798828,1,0.01572418212890625
6,7,1,0.00013017654418945312,1,0.01991558074951172
6,8,1,0.005919218063354492,1,0.007577180862426758
6,9,1,0.0,1,0.018870830535888672
6,10,1,0.0050013065338134766,1,0.0060007572174072266
7,1,1,0.010408639907836914,1,0.009150028228759766
7,2,1,0.0,1,0.017168760299682617
7,3,1,0.0021135807037353516,1,0.01387929916381836
7,4,1,0.0,1,0.01704096794128418
7,5,1,0.011605024337768555,1,0.009022712707519531
7,6,1,0.009000062942504883,1,0.002996206283569336
7,7,1,0.01647806167602539,1,0.008092403411865234
7,8,1,0.008142471313476562,1,0.0016541481018066406
7,9,1,0.0,1,0.014912128448486328
7,10,1,0.0,1,0.0
8,1,1,0.016699790954589844,1,0.016134262084960938
8,2,1,0.014046430587768555,1,0.0029196739196777344
8,3,1,0.0,1,0.018021583557128906
8,4,1,0.003371000289916992,1,0.012463569641113281
8,5,1,0.0,1,0.014515161514282227
8,6,1,0.0,1,0.016438961029052734
8,7,1,0.0,1,0.021023988723754883
8,8,1,0.009001016616821289,1,0.002463817596435547
8,9,1,0.0,1,0.019231557846069336
8,10,1,0.005324840545654297,1,0.009044885635375977
9,1,1,0.0,1,0.016274690628051758
9,2,1,0.0,1,0.016796588897705078
9,3,1,0.0,1,0.018851518630981445
9,4,1,0.009999752044677734,1,0.004196643829345703
9,5,1,0.014281988143920898,1,0.0
9,6,1,0.018894433975219727,1,0.004962444305419922
9,7,1,0.009371757507324219,1,0.0
9,8,1,0.01666402816772461,1,0.0
9,9,1,0.0203399658203125,1,0.01000070571899414
9,10,1,0.0031719207763671875,1,0.0
10,1,1,0.018062591552734375,1,0.02374720573425293
10,2,1,0.008165121078491211,1,0.01659369468688965
10,3,1,0.0,1,0.021820783615112305
10,4,1,0.01176309585571289,1,0.00182342529296875
10,5,1,0.014437198638916016,1,0.0
10,6,1,0.0,1,0.01665210723876953
10,7,1,0.0,1,0.01741623878479004
10,8,1,0.004633665084838867,1,0.010561466217041016
10,9,1,0.0,1,0.01723003387451172
10,10,1,0.0039997100830078125,1,0.0060002803802490234
