l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0010342597961425781,1,0.002002239227294922
1,2,1,0.0,1,0.0009999275207519531
1,3,1,0.0,1,0.0019996166229248047
1,4,1,0.0,1,0.002000570297241211
1,5,1,0.0,1,0.001999378204345703
1,6,1,0.0,1,0.0009996891021728516
1,7,1,0.0,1,0.0010001659393310547
1,8,1,0.0,1,0.0009996891021728516
1,9,1,0.0,1,0.002352476119995117
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.015014171600341797
2,7,1,0.0,1,0.0014793872833251953
2,8,1,0.0,1,0.0017747879028320312
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.01507568359375
3,9,1,0.0,1,0.0021657943725585938
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.011974096298217773
4,7,1,0.0,1,0.0010030269622802734
4,8,1,0.0,1,0.00099945068359375
4,9,1,0.0,1,0.001998424530029297
4,10,1,0.0,1,0.001001596450805664
5,1,1,0.0009987354278564453,1,0.0020852088928222656
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0075266361236572266
5,7,1,0.0,1,0.0017483234405517578
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.013514280319213867
6,6,1,0.0,1,0.0022077560424804688
6,7,1,0.0,1,0.0010044574737548828
6,8,1,0.0,1,0.001007080078125
6,9,1,0.0,1,0.0010020732879638672
6,10,1,0.0,1,0.001992940902709961
7,1,1,0.0,1,0.0019979476928710938
7,2,1,0.0,1,0.0010099411010742188
7,3,1,0.0,1,0.0009987354278564453
7,4,1,0.0,1,0.0010013580322265625
7,5,1,0.0,1,0.0010001659393310547
7,6,1,0.0,1,0.0019195079803466797
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0015397071838378906
9,1,1,0.0,1,0.0019221305847167969
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.014066457748413086
9,9,1,0.0,1,0.0011336803436279297
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
