l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01994633674621582,1,0.0013685226440429688
1,2,1,0.018006324768066406,1,0.006009578704833984
1,3,1,0.002714872360229492,1,0.017215490341186523
1,4,1,0.017246723175048828,1,0.013813495635986328
1,5,1,0.0,1,0.01828742027282715
1,6,1,0.017526626586914062,1,0.0139007568359375
1,7,1,0.016128063201904297,1,0.02820110321044922
1,8,1,0.012555837631225586,1,0.03098773956298828
1,9,1,0.010533332824707031,1,0.017391681671142578
1,10,1,0.0,1,0.033204078674316406
2,1,1,0.015508174896240234,1,0.0030395984649658203
2,2,1,0.02268362045288086,1,0.010305643081665039
2,3,1,0.0065462589263916016,1,0.007894754409790039
2,4,1,0.016639232635498047,1,0.0
2,5,1,0.016370296478271484,1,0.0
2,6,1,0.021712064743041992,1,0.01343226432800293
2,7,1,0.0060007572174072266,1,0.005999088287353516
2,8,1,0.010942459106445312,1,0.008666276931762695
2,9,1,0.0,1,0.01600813865661621
2,10,1,0.0,1,0.017917156219482422
3,1,1,0.0,1,0.015398263931274414
3,2,1,0.016301870346069336,1,0.006037712097167969
3,3,1,0.008000850677490234,1,0.003111600875854492
3,4,1,0.019421100616455078,1,0.005745410919189453
3,5,1,0.01687932014465332,1,0.010939359664916992
3,6,1,0.006274223327636719,1,0.007744312286376953
3,7,1,0.0,1,0.021608829498291016
3,8,1,0.005998373031616211,1,0.005907773971557617
3,9,1,0.0,1,0.019896745681762695
3,10,1,0.005938291549682617,1,0.006327390670776367
4,1,1,0.016882658004760742,1,0.0
4,2,1,0.016508817672729492,1,0.021454334259033203
4,3,1,0.009998559951782227,1,0.001987934112548828
4,4,1,0.019022226333618164,1,0.0075604915618896484
4,5,1,0.009065628051757812,1,0.0
4,6,1,0.014580726623535156,1,0.01849675178527832
4,7,1,0.01733708381652832,1,0.008999824523925781
4,8,1,0.007762432098388672,1,0.014920711517333984
4,9,1,0.0,1,0.024837732315063477
4,10,1,0.006976604461669922,1,0.015678882598876953
5,1,1,0.005144834518432617,1,0.015610456466674805
5,2,1,0.014600276947021484,1,0.0
5,3,1,0.01469564437866211,1,0.015756845474243164
5,4,1,0.008085012435913086,1,0.009262323379516602
5,5,1,0.008331537246704102,1,0.012069463729858398
5,6,1,0.0,1,0.01676630973815918
5,7,1,0.007999897003173828,1,0.005242824554443359
5,8,1,0.0,1,0.015594244003295898
5,9,1,0.0,1,0.0
5,10,1,0.0198824405670166,1,0.0020835399627685547
6,1,1,0.011183738708496094,1,0.0
6,2,1,0.016845226287841797,1,0.0
6,3,1,0.025067567825317383,1,0.008045434951782227
6,4,1,0.0,1,0.017037391662597656
6,5,1,0.0,1,0.016434192657470703
6,6,1,0.0,1,0.016949892044067383
6,7,1,0.006999969482421875,1,0.009320735931396484
6,8,1,0.0,1,0.0
6,9,1,0.022357940673828125,1,0.009001016616821289
6,10,1,0.009913444519042969,1,0.007644176483154297
7,1,1,0.017391681671142578,1,0.0
7,2,1,0.02033543586730957,1,0.005065441131591797
7,3,1,0.00711512565612793,1,0.02085590362548828
7,4,1,0.010999917984008789,1,0.0017027854919433594
7,5,1,0.0,1,0.01953721046447754
7,6,1,0.013573884963989258,1,0.0
7,7,1,0.024182558059692383,1,0.008601903915405273
7,8,1,0.0,1,0.01612091064453125
7,9,1,0.007006168365478516,1,0.0059986114501953125
7,10,1,0.003972530364990234,1,0.0
8,1,1,0.01890707015991211,1,0.0
8,2,1,0.016080856323242188,1,0.014984607696533203
8,3,1,0.0,1,0.025007963180541992
8,4,1,0.01701664924621582,1,0.008050680160522461
8,5,1,0.0,1,0.017957210540771484
8,6,1,0.013512849807739258,1,0.003198385238647461
8,7,1,0.015609502792358398,1,0.0
8,8,1,0.018571138381958008,1,0.006295442581176758
8,9,1,0.010918855667114258,1,0.00599980354309082
8,10,1,0.006000041961669922,1,0.002001047134399414
9,1,1,0.01636028289794922,1,0.0
9,2,1,0.016655921936035156,1,0.0
9,3,1,0.016847610473632812,1,0.0
9,4,1,0.021784543991088867,1,0.017392396926879883
9,5,1,0.010748624801635742,1,0.0
9,6,1,0.01683974266052246,1,0.015846729278564453
9,7,1,0.0,1,0.01672053337097168
9,8,1,0.0,1,0.015010595321655273
9,9,1,0.0004937648773193359,1,0.0
9,10,1,0.019023656845092773,1,0.004363298416137695
10,1,1,0.008818626403808594,1,0.0
10,2,1,0.018136978149414062,1,0.0
10,3,1,0.0153350830078125,1,0.006517648696899414
10,4,1,0.011328935623168945,1,0.0
10,5,1,0.016891002655029297,1,0.0
10,6,1,0.015870332717895508,1,0.006012678146362305
10,7,1,0.008736371994018555,1,0.006002664566040039
10,8,1,0.0060007572174072266,1,0.007886648178100586
10,9,1,0.0,1,0.013115406036376953
10,10,1,0.0,1,0.016713857650756836
