l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.013687849044799805
1,2,1,0.0036306381225585938,1,0.005036592483520508
1,3,1,0.002000093460083008,1,0.004185199737548828
1,4,1,0.0010004043579101562,1,0.004998207092285156
1,5,1,0.0,1,0.01007080078125
1,6,1,0.0,1,0.016646862030029297
1,7,1,0.0,1,0.01735091209411621
1,8,1,0.0009982585906982422,1,0.007999897003173828
1,9,1,0.0,1,0.0061495304107666016
1,10,1,0.0,1,0.0
2,1,1,0.014509439468383789,1,0.002025604248046875
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.01550745964050293,1,0.003754854202270508
2,6,1,0.0009927749633789062,1,0.0034601688385009766
2,7,1,0.0,1,0.01028895378112793
2,8,1,0.0,1,0.016541242599487305
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.022504568099975586
3,1,1,0.0025115013122558594,1,0.0019979476928710938
3,2,1,0.0019998550415039062,1,0.0020096302032470703
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.016616106033325195
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.016366958618164062
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.01822376251220703,1,0.004002094268798828
4,2,1,0.00081634521484375,1,0.0
4,3,1,0.0,1,0.009701967239379883
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.016435623168945312,1,0.0030014514923095703
4,7,1,0.00099945068359375,1,0.004999637603759766
4,8,1,0.001001119613647461,1,0.0049991607666015625
4,9,1,0.001077890396118164,1,0.0009129047393798828
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.01573777198791504,1,0.0008330345153808594
5,3,1,0.0,1,0.0
5,4,1,0.01844000816345215,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.015177488327026367,1,0.003001689910888672
5,8,1,0.0,1,0.0031371116638183594
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.008863449096679688,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.017680883407592773
6,4,1,0.0019009113311767578,1,0.00238800048828125
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.010107040405273438
6,7,1,0.0010030269622802734,1,0.0029997825622558594
6,8,1,0.0,1,0.004004240036010742
6,9,1,0.0,1,0.0030002593994140625
6,10,1,0.0,1,0.0020003318786621094
7,1,1,0.003225088119506836,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.015834331512451172
7,4,1,0.0007290840148925781,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.01694488525390625
7,8,1,0.0010006427764892578,1,0.003998517990112305
7,9,1,0.0006835460662841797,1,0.0
7,10,1,0.0,1,0.007957696914672852
8,1,1,0.0030100345611572266,1,0.0020020008087158203
8,2,1,0.002000093460083008,1,0.0030002593994140625
8,3,1,0.0018737316131591797,1,0.005381345748901367
8,4,1,0.0010008811950683594,1,0.002999544143676758
8,5,1,0.002006053924560547,1,0.0029993057250976562
8,6,1,0.0019960403442382812,1,0.0030994415283203125
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.016731977462768555
9,1,1,0.0028107166290283203,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.01398921012878418
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.01674652099609375
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.015846729278564453
10,1,1,0.001995086669921875,1,0.003000974655151367
10,2,1,0.0002033710479736328,1,0.0
10,3,1,0.0,1,0.009807825088500977
10,4,1,0.002008199691772461,1,0.0029969215393066406
10,5,1,0.0010006427764892578,1,0.004000186920166016
10,6,1,0.000995635986328125,1,0.004218339920043945
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.004311084747314453
