l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016580820083618164
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.02083277702331543
1,6,1,0.001478433609008789,1,0.0
1,7,1,0.0,1,0.010737180709838867
1,8,1,0.0,1,0.005000114440917969
1,9,1,0.0,1,0.004998922348022461
1,10,1,0.0,1,0.0045092105865478516
2,1,1,0.0016417503356933594,1,0.0007185935974121094
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.01591944694519043
2,6,1,0.0006618499755859375,1,0.0034456253051757812
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.013319253921508789
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.015012502670288086
3,5,1,0.0005710124969482422,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.016829729080200195,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.01589179039001465
4,7,1,0.001009225845336914,1,0.001999378204345703
4,8,1,0.0,1,0.002997875213623047
4,9,1,0.0,1,0.0019981861114501953
4,10,1,0.0,1,0.0023796558380126953
5,1,1,0.0,1,0.0070230960845947266
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.01599431037902832
5,7,1,0.0,1,0.0011661052703857422
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.016396522521972656
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.019587039947509766
6,4,1,0.001146078109741211,1,0.002606630325317383
6,5,1,0.0013005733489990234,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.007732391357421875
6,8,1,0.0,1,0.0012006759643554688
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.015537500381469727
7,2,1,0.0009992122650146484,1,0.002001523971557617
7,3,1,0.0009992122650146484,1,0.0030007362365722656
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0008215904235839844
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.007508754730224609
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.007508993148803711,1,0.0018248558044433594
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.01665782928466797
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.016613245010375977
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.018286466598510742
9,2,1,0.002059459686279297,1,0.0030748844146728516
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.011463642120361328
9,5,1,0.001020193099975586,1,0.003979682922363281
9,6,1,0.00021386146545410156,1,0.005044221878051758
9,7,1,0.0009961128234863281,1,0.002971649169921875
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.016382932662963867
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.01696181297302246
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
