l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.016229629516601562,1,0.0030035972595214844
1,3,1,0.0009996891021728516,1,0.0020017623901367188
1,4,1,0.0,1,0.003000020980834961
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0067942142486572266
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.001974821090698242
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.01608753204345703
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.008009195327758789
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.008879899978637695
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.013419389724731445
3,7,1,0.0006487369537353516,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.01656794548034668
4,4,1,0.0,1,0.0029227733612060547
4,5,1,0.0,1,0.002004861831665039
4,6,1,0.0,1,0.0019948482513427734
4,7,1,0.0,1,0.0009999275207519531
4,8,1,0.0,1,0.0010046958923339844
4,9,1,0.0,1,0.0010004043579101562
4,10,1,0.0,1,0.0020012855529785156
5,1,1,0.0007908344268798828,1,0.004003763198852539
5,2,1,0.001001119613647461,1,0.0029990673065185547
5,3,1,0.0010035037994384766,1,0.0016317367553710938
5,4,1,0.0,1,0.006003618240356445
5,5,1,0.0,1,0.001997709274291992
5,6,1,0.0,1,0.001993894577026367
5,7,1,0.0,1,0.0019974708557128906
5,8,1,0.0,1,0.0030028820037841797
5,9,1,0.0,1,0.0029976367950439453
5,10,1,0.0,1,0.0036635398864746094
6,1,1,0.0,1,0.003000497817993164
6,2,1,0.0008208751678466797,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.013082504272460938
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.016645431518554688
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.01620340347290039
7,8,1,0.0,1,0.0030052661895751953
7,9,1,0.0,1,0.0019996166229248047
7,10,1,0.0,1,0.0020003318786621094
8,1,1,0.0009999275207519531,1,0.0019998550415039062
8,2,1,0.0,1,0.002000570297241211
8,3,1,0.00099945068359375,1,0.0010004043579101562
8,4,1,0.0007205009460449219,1,0.0030803680419921875
8,5,1,0.0,1,0.003001689910888672
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.01051187515258789
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.016497373580932617
9,6,1,0.0,1,0.0032892227172851562
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.015916109085083008
10,1,1,0.001004934310913086,1,0.004572391510009766
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.007121562957763672
10,4,1,0.0010113716125488281,1,0.0035142898559570312
10,5,1,0.0,1,0.0057904720306396484
10,6,1,0.0010037422180175781,1,0.003591775894165039
10,7,1,0.0,1,0.0020024776458740234
10,8,1,0.0,1,0.002000093460083008
10,9,1,0.0,1,0.0020008087158203125
10,10,1,0.0,1,0.001999378204345703
