l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0020020008087158203
1,2,0,0.0,1,0.0010187625885009766
1,3,0,0.0009844303131103516,1,0.0005235671997070312
1,4,0,0.0,1,0.0020160675048828125
1,5,0,0.0,1,0.0019969940185546875
1,6,0,0.0,1,0.002002716064453125
1,7,0,0.0,1,0.0009908676147460938
1,8,0,0.0,1,0.0026159286499023438
1,9,0,0.0,1,0.0
1,10,0,0.0,1,0.0
2,1,0,0.0,1,0.0
2,2,0,0.0,1,0.0010101795196533203
2,3,0,0.0,1,0.0009975433349609375
2,4,0,0.0010061264038085938,1,0.0009999275207519531
2,5,0,0.0,1,0.0010063648223876953
2,6,0,0.0,1,0.0010004043579101562
2,7,0,0.0,1,0.0010058879852294922
2,8,0,0.0,1,0.0009932518005371094
2,9,0,0.0,1,0.0009999275207519531
2,10,0,0.0,1,0.0009975433349609375
3,1,0,0.0,1,0.0010004043579101562
3,2,0,0.0,1,0.0015103816986083984
3,3,0,0.0,1,0.001528024673461914
3,4,0,0.0,1,0.0010361671447753906
3,5,0,0.0,1,0.0019805431365966797
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.0
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.005575418472290039
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.0
4,3,0,0.0,1,0.0
4,4,0,0.0,1,0.00502324104309082
4,5,0,0.0,1,0.0
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.002800464630126953
4,8,0,0.0,1,0.0015082359313964844
4,9,0,0.0,1,0.0
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.0
5,2,0,0.0,1,0.0
5,3,0,0.0,1,0.010136604309082031
5,4,0,0.0,1,0.0
5,5,0,0.0,1,0.0017910003662109375
5,6,0,0.0,1,0.0
5,7,0,0.0,1,0.004575014114379883
5,8,0,0.0,1,0.0
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.0
6,2,0,0.0,1,0.01014089584350586
6,3,0,0.0011262893676757812,1,0.0004911422729492188
6,4,0,0.0,1,0.0
6,5,0,0.0,1,0.0
6,6,0,0.0,1,0.008084774017333984
6,7,0,0.0,1,0.0
6,8,0,0.0,1,0.0
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.00824427604675293
7,1,0,0.0003066062927246094,1,0.0015718936920166016
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.005017518997192383
7,4,0,0.0,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.005014896392822266
7,7,0,0.0,1,0.0
7,8,0,0.0,1,0.0051615238189697266
7,9,0,0.0,1,0.0
7,10,0,0.0,1,0.0
8,1,0,0.0,1,0.0
8,2,0,0.0,1,0.005167484283447266
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.0
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.009788990020751953
9,2,0,0.0,1,0.0011448860168457031
9,3,0,0.0,1,0.0010476112365722656
9,4,0,0.0,1,0.0009970664978027344
9,5,0,0.0,1,0.0009341239929199219
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.0
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.005664825439453125
10,1,0,0.0,1,0.0
10,2,0,0.0,1,0.0
10,3,0,0.0,1,0.0
10,4,0,0.0,1,0.0
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0
10,8,0,0.0,1,0.00042939186096191406
10,9,0,0.0,1,0.0017201900482177734
10,10,0,0.0,1,0.0
