l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.017173290252685547,1,0.007001161575317383
1,2,1,0.012378454208374023,1,0.003233671188354492
1,3,1,0.01183772087097168,1,0.006999015808105469
1,4,1,0.004002094268798828,1,0.003218412399291992
1,5,1,0.0,1,0.01692366600036621
1,6,1,0.0,1,0.014181375503540039
1,7,1,0.0,1,0.03303813934326172
1,8,1,0.0,1,0.031038999557495117
1,9,1,0.003264188766479492,1,0.014593839645385742
1,10,1,0.0,1,0.025491952896118164
2,1,1,0.010625362396240234,1,0.0
2,2,1,0.0,1,0.014106035232543945
2,3,1,0.006216287612915039,1,0.0032029151916503906
2,4,1,0.009163379669189453,1,0.003518342971801758
2,5,1,0.003998994827270508,1,0.003519773483276367
2,6,1,0.00410151481628418,1,0.00658869743347168
2,7,1,0.0,1,0.00978851318359375
2,8,1,0.0,1,0.01659870147705078
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.016537189483642578
3,1,1,0.0,1,0.0
3,2,1,0.017910242080688477,1,0.004000663757324219
3,3,1,0.010804414749145508,1,0.0026869773864746094
3,4,1,0.0,1,0.016057729721069336
3,5,1,0.004002094268798828,1,0.0039980411529541016
3,6,1,0.0029997825622558594,1,0.0037975311279296875
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.015626907348632812,1,0.0015053749084472656
3,10,1,0.0,1,0.0
4,1,1,0.016398191452026367,1,0.0
4,2,1,0.0,1,0.01592540740966797
4,3,1,0.006006717681884766,1,0.0029973983764648438
4,4,1,0.0,1,0.010292291641235352
4,5,1,0.00500035285949707,1,0.0030012130737304688
4,6,1,0.002999544143676758,1,0.00391387939453125
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.016582965850830078
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.015900611877441406
5,2,1,0.0012614727020263672,1,0.0
5,3,1,0.0,1,0.016365528106689453
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.016054868698120117
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.018901824951171875
5,9,1,0.00299072265625,1,0.003782510757446289
5,10,1,0.0,1,0.007349729537963867
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.01713085174560547
6,3,1,0.0,1,0.0
6,4,1,0.016298532485961914,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.016968488693237305
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.016487836837768555
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.015008926391601562
7,2,1,0.006161689758300781,1,0.00437164306640625
7,3,1,0.0,1,0.007771730422973633
7,4,1,0.0,1,0.016004562377929688
7,5,1,0.0007851123809814453,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.01655888557434082,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.01668548583984375,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0166628360748291
8,2,1,0.0,1,0.0
8,3,1,0.015014171600341797,1,0.004658222198486328
8,4,1,0.003000974655151367,1,0.0029990673065185547
8,5,1,0.0030012130737304688,1,0.0029993057250976562
8,6,1,0.0051801204681396484,1,0.005326271057128906
8,7,1,0.0,1,0.006368160247802734
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.015873432159423828,1,0.0007903575897216797
9,1,1,0.0,1,0.0
9,2,1,0.01659107208251953,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.01639103889465332,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.018856525421142578
9,7,1,0.002001523971557617,1,0.003000497817993164
9,8,1,0.0019991397857666016,1,0.003000497817993164
9,9,1,0.00099945068359375,1,0.003191709518432617
9,10,1,0.0010008811950683594,1,0.002000093460083008
10,1,1,0.00400543212890625,1,0.006829738616943359
10,2,1,0.0007588863372802734,1,0.0
10,3,1,0.016236305236816406,1,0.0
10,4,1,0.0,1,0.014507055282592773
10,5,1,0.0021703243255615234,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.01691126823425293
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
