l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.007013559341430664,1,0.0035333633422851562
1,2,0,0.0,1,0.008035659790039062
1,3,0,0.005042076110839844,1,0.005231618881225586
1,4,0,0.00501251220703125,1,0.008565902709960938
1,5,0,0.0062160491943359375,1,0.011617660522460938
1,6,0,0.002996206283569336,1,0.01229548454284668
1,7,0,0.002113819122314453,1,0.01706671714782715
1,8,0,0.003576040267944336,1,0.01644277572631836
1,9,0,0.003531217575073242,1,0.014457941055297852
1,10,0,0.005068778991699219,1,0.019608259201049805
2,1,0,0.0072057247161865234,1,0.0035250186920166016
2,2,0,0.006051778793334961,1,0.0031681060791015625
2,3,0,0.0,1,0.0
2,4,0,0.014942407608032227,1,0.0005152225494384766
2,5,0,0.0045506954193115234,1,0.0050792694091796875
2,6,0,0.00722503662109375,1,0.0
2,7,0,0.0,1,0.008052587509155273
2,8,0,0.005080461502075195,1,0.011716604232788086
2,9,0,0.0030846595764160156,1,0.018327951431274414
2,10,0,0.0025119781494140625,1,0.022837162017822266
3,1,0,0.00457310676574707,1,0.004095554351806641
3,2,0,0.006068229675292969,1,0.0
3,3,0,0.00509333610534668,1,0.0050771236419677734
3,4,0,0.0015997886657714844,1,0.0
3,5,0,0.008069992065429688,1,0.005097150802612305
3,6,0,0.006460428237915039,1,0.002994060516357422
3,7,0,0.002989053726196289,1,0.0032219886779785156
3,8,0,0.004075527191162109,1,0.004056692123413086
3,9,0,0.003609180450439453,1,0.0030078887939453125
3,10,0,0.0019996166229248047,1,0.0026993751525878906
4,1,0,0.006086587905883789,1,0.00299835205078125
4,2,0,0.00460362434387207,1,0.0030164718627929688
4,3,0,0.0056378841400146484,1,0.0029723644256591797
4,4,0,0.0046045780181884766,1,0.0029997825622558594
4,5,0,0.0060672760009765625,1,0.0036542415618896484
4,6,0,0.004121541976928711,1,0.002570629119873047
4,7,0,0.0044748783111572266,1,0.0040094852447509766
4,8,0,0.0025835037231445312,1,0.002960205078125
4,9,0,0.0019989013671875,1,0.004189014434814453
4,10,0,0.0019981861114501953,1,0.003000974655151367
5,1,0,0.0036492347717285156,1,0.0051686763763427734
5,2,0,0.004531145095825195,1,0.0050449371337890625
5,3,0,0.0,1,0.007470130920410156
5,4,0,0.0032439231872558594,1,0.004533052444458008
5,5,0,0.004540205001831055,1,0.005411386489868164
5,6,0,0.005051136016845703,1,0.0
5,7,0,0.004531383514404297,1,0.0
5,8,0,0.0057659149169921875,1,0.0045566558837890625
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.011846303939819336
6,1,0,0.0,1,0.008052825927734375
6,2,0,0.0,1,0.01069951057434082
6,3,0,0.0,1,0.0
6,4,0,0.009325504302978516,1,0.005490541458129883
6,5,0,0.004555463790893555,1,0.0
6,6,0,0.0,1,0.0070612430572509766
6,7,0,0.003545045852661133,1,0.0045740604400634766
6,8,0,0.0,1,0.0045969486236572266
6,9,0,0.00569915771484375,1,0.0
6,10,0,0.0045623779296875,1,0.0
7,1,0,0.008622169494628906,1,0.0017271041870117188
7,2,0,0.004581451416015625,1,0.005092620849609375
7,3,0,0.0050737857818603516,1,0.001697540283203125
7,4,0,0.0,1,0.008193254470825195
7,5,0,0.0,1,0.010004758834838867
7,6,0,0.00408625602722168,1,0.0029985904693603516
7,7,0,0.0025680065155029297,1,0.003069162368774414
7,8,0,0.004987478256225586,1,0.0026602745056152344
7,9,0,0.003046751022338867,1,0.003213644027709961
7,10,0,0.0,1,0.005461692810058594
8,1,0,0.006006717681884766,1,0.004004001617431641
8,2,0,0.005397796630859375,1,0.003002166748046875
8,3,0,0.0,1,0.008557319641113281
8,4,0,0.005050182342529297,1,0.0004534721374511719
8,5,0,0.004545927047729492,1,0.00507807731628418
8,6,0,0.0,1,0.007025957107543945
8,7,0,0.0,1,0.008051156997680664
8,8,0,0.0,1,0.00507664680480957
8,9,0,0.005097389221191406,1,0.0005230903625488281
8,10,0,0.004562854766845703,1,0.0045588016510009766
9,1,0,0.005305290222167969,1,0.005051136016845703
9,2,0,0.00562596321105957,1,0.0
9,3,0,0.0050389766693115234,1,0.0030028820037841797
9,4,0,0.0046117305755615234,1,0.0029976367950439453
9,5,0,0.004949808120727539,1,0.0
9,6,0,0.008572816848754883,1,0.0
9,7,0,0.005098581314086914,1,0.005056619644165039
9,8,0,0.0,1,0.0
9,9,0,0.009988784790039062,1,0.0017180442810058594
9,10,0,0.003548860549926758,1,0.00455784797668457
10,1,0,0.0,1,0.008493661880493164
10,2,0,0.005136251449584961,1,0.0
10,3,0,0.004558086395263672,1,0.006327629089355469
10,4,0,0.0052831172943115234,1,0.003001689910888672
10,5,0,0.003007173538208008,1,0.0037474632263183594
10,6,0,0.004048824310302734,1,0.0019936561584472656
10,7,0,0.0036339759826660156,1,0.0030279159545898438
10,8,0,0.0029511451721191406,1,0.003756999969482422
10,9,0,0.0,1,0.004511833190917969
10,10,0,0.0,1,0.005076169967651367
