l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.012129783630371094,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.019526004791259766
1,4,1,0.0019991397857666016,1,0.004999637603759766
1,5,1,0.0010044574737548828,1,0.005015850067138672
1,6,1,0.0,1,0.009011030197143555
1,7,1,0.0,1,0.00744175910949707
1,8,1,0.0,1,0.023062467575073242
1,9,1,0.0,1,0.01045370101928711
1,10,1,0.0,1,0.018166780471801758
2,1,1,0.013431787490844727,1,0.004856109619140625
2,2,1,0.004999876022338867,1,0.004999876022338867
2,3,1,0.0033903121948242188,1,0.0
2,4,1,0.0,1,0.016687870025634766
2,5,1,0.0,1,0.010714054107666016
2,6,1,0.004383087158203125,1,0.0
2,7,1,0.0,1,0.02043318748474121
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.015637874603271484
2,10,1,0.01561117172241211,1,0.0
3,1,1,0.017316579818725586,1,0.0
3,2,1,0.0,1,0.016674518585205078
3,3,1,0.018124103546142578,1,0.018064498901367188
3,4,1,0.003999233245849609,1,0.005000114440917969
3,5,1,0.0060007572174072266,1,0.005677223205566406
3,6,1,0.0,1,0.011488676071166992
3,7,1,0.0,1,0.015681743621826172
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.013754844665527344
3,10,1,0.0,1,0.0
4,1,1,0.015006065368652344,1,0.001659393310546875
4,2,1,0.0,1,0.01664566993713379
4,3,1,0.0,1,0.0
4,4,1,0.015009641647338867,1,0.004586458206176758
4,5,1,0.00400090217590332,1,0.006197690963745117
4,6,1,0.0029888153076171875,1,0.0040018558502197266
4,7,1,0.001999378204345703,1,0.0030007362365722656
4,8,1,0.0009999275207519531,1,0.0030002593994140625
4,9,1,0.0,1,0.0036106109619140625
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.01600170135498047
5,2,1,0.0,1,0.0
5,3,1,0.01687002182006836,1,0.0
5,4,1,0.0,1,0.01683187484741211
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.019630908966064453
5,7,1,0.0029993057250976562,1,0.00438690185546875
5,8,1,0.0,1,0.009654521942138672
5,9,1,0.0010013580322265625,1,0.003000497817993164
5,10,1,0.0,1,0.003998994827270508
6,1,1,0.004145383834838867,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.015007734298706055,1,0.0014889240264892578
6,4,1,0.0,1,0.0
6,5,1,0.01656937599182129,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.015007734298706055
6,8,1,0.0006964206695556641,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.015006780624389648,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.015628337860107422,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.015623331069946289
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.015623807907104492,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.015623331069946289,1,0.0
8,2,1,0.012008190155029297,1,0.004008054733276367
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.015628337860107422
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.015623092651367188
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.015623807907104492
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.015623807907104492
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.015622854232788086
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.015623807907104492
9,5,1,0.0,1,0.0
9,6,1,0.01108551025390625,1,0.0
9,7,1,0.0,1,0.01861405372619629
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0009999275207519531,1,0.0005970001220703125
10,1,1,0.0,1,0.015937328338623047
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.015007257461547852
10,4,1,0.0008723735809326172,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.016341686248779297
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0162045955657959
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
