l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.004609107971191406,1,0.004999637603759766
1,2,0,0.003545045852661133,1,0.004998922348022461
1,3,0,0.004151105880737305,1,0.006479501724243164
1,4,0,0.002582550048828125,1,0.009801149368286133
1,5,0,0.0025479793548583984,1,0.0041065216064453125
1,6,0,0.005782365798950195,1,0.004834651947021484
1,7,0,0.0019998550415039062,1,0.006515979766845703
1,8,0,0.002006053924560547,1,0.008563756942749023
1,9,0,0.0010006427764892578,1,0.008662939071655273
1,10,0,0.002003908157348633,1,0.00999140739440918
2,1,0,0.005669832229614258,1,0.0030002593994140625
2,2,0,0.003615856170654297,1,0.0031037330627441406
2,3,0,0.0052165985107421875,1,0.003999233245849609
2,4,0,0.001999378204345703,1,0.003851175308227539
2,5,0,0.0030024051666259766,1,0.0039997100830078125
2,6,0,0.0025441646575927734,1,0.003002643585205078
2,7,0,0.0019998550415039062,1,0.004001617431640625
2,8,0,0.0029599666595458984,1,0.0030455589294433594
2,9,0,0.001999378204345703,1,0.0025289058685302734
2,10,0,0.000980377197265625,1,0.007227420806884766
3,1,0,0.004059791564941406,1,0.0029997825622558594
3,2,0,0.0033254623413085938,1,0.004563808441162109
3,3,0,0.0029959678649902344,1,0.0025429725646972656
3,4,0,0.0029976367950439453,1,0.0030002593994140625
3,5,0,0.0035932064056396484,1,0.00402379035949707
3,6,0,0.002000570297241211,1,0.0035178661346435547
3,7,0,0.0020096302032470703,1,0.004019260406494141
3,8,0,0.0019812583923339844,1,0.0035779476165771484
3,9,0,0.0010077953338623047,1,0.004000425338745117
3,10,0,0.0010001659393310547,1,0.002518177032470703
4,1,0,0.00710606575012207,1,0.0035295486450195312
4,2,0,0.004039287567138672,1,0.005539894104003906
4,3,0,0.00402069091796875,1,0.0035195350646972656
4,4,0,0.003030061721801758,1,0.003997802734375
4,5,0,0.0025663375854492188,1,0.0029993057250976562
4,6,0,0.002006053924560547,1,0.002994060516357422
4,7,0,0.0025267601013183594,1,0.003042936325073242
4,8,0,0.0019996166229248047,1,0.003000497817993164
4,9,0,0.001157999038696289,1,0.004006385803222656
4,10,0,0.0010008811950683594,1,0.004175424575805664
5,1,0,0.007387399673461914,1,0.003632068634033203
5,2,0,0.003094911575317383,1,0.005994319915771484
5,3,0,0.002964019775390625,1,0.0038008689880371094
5,4,0,0.0030524730682373047,1,0.004805564880371094
5,5,0,0.0019888877868652344,1,0.0035452842712402344
5,6,0,0.002002239227294922,1,0.004006862640380859
5,7,0,0.003596782684326172,1,0.004385948181152344
5,8,0,0.0019998550415039062,1,0.003541231155395508
5,9,0,0.0020084381103515625,1,0.004300355911254883
5,10,0,0.0009846687316894531,1,0.004092693328857422
6,1,0,0.004006385803222656,1,0.0025916099548339844
6,2,0,0.004266023635864258,1,0.002991914749145508
6,3,0,0.005522727966308594,1,0.005385875701904297
6,4,0,0.004163980484008789,1,0.004000186920166016
6,5,0,0.004019260406494141,1,0.005990266799926758
6,6,0,0.004008769989013672,1,0.005997419357299805
6,7,0,0.005582332611083984,1,0.008514881134033203
6,8,0,0.004000425338745117,1,0.00864720344543457
6,9,0,0.003597259521484375,1,0.006250619888305664
6,10,0,0.004001140594482422,1,0.007520198822021484
7,1,0,0.00789785385131836,1,0.006520271301269531
7,2,0,0.0060083866119384766,1,0.009449005126953125
7,3,0,0.0047376155853271484,1,0.008813858032226562
7,4,0,0.004156589508056641,1,0.00398564338684082
7,5,0,0.0035691261291503906,1,0.005002260208129883
7,6,0,0.0020003318786621094,1,0.0045545101165771484
7,7,0,0.003000020980834961,1,0.0055582523345947266
7,8,0,0.002887725830078125,1,0.0039958953857421875
7,9,0,0.0020275115966796875,1,0.005015850067138672
7,10,0,0.001987934112548828,1,0.0045146942138671875
8,1,0,0.005000114440917969,1,0.010565519332885742
8,2,0,0.005162715911865234,1,0.006551265716552734
8,3,0,0.004005908966064453,1,0.004507303237915039
8,4,0,0.00635528564453125,1,0.004591226577758789
8,5,0,0.003002643585205078,1,0.005501270294189453
8,6,0,0.006518363952636719,1,0.004575490951538086
8,7,0,0.002514362335205078,1,0.0041124820709228516
8,8,0,0.004570960998535156,1,0.003539562225341797
8,9,0,0.0026397705078125,1,0.0036978721618652344
8,10,0,0.0019981861114501953,1,0.004000425338745117
9,1,0,0.004555940628051758,1,0.0040018558502197266
9,2,0,0.004260063171386719,1,0.004036664962768555
9,3,0,0.002999544143676758,1,0.004538536071777344
9,4,0,0.003000497817993164,1,0.0057544708251953125
9,5,0,0.0030145645141601562,1,0.004827976226806641
9,6,0,0.003221750259399414,1,0.0070149898529052734
9,7,0,0.002990245819091797,1,0.0033125877380371094
9,8,0,0.0012526512145996094,1,0.005940914154052734
9,9,0,0.002995014190673828,1,0.005556344985961914
9,10,0,0.002999544143676758,1,0.004507541656494141
10,1,0,0.004560232162475586,1,0.0039997100830078125
10,2,0,0.0045163631439208984,1,0.005027055740356445
10,3,0,0.006330251693725586,1,0.003514528274536133
10,4,0,0.004236459732055664,1,0.003990888595581055
10,5,0,0.003556966781616211,1,0.0040018558502197266
10,6,0,0.0030024051666259766,1,0.004262208938598633
10,7,0,0.003005504608154297,1,0.003020763397216797
10,8,0,0.002572298049926758,1,0.005003690719604492
10,9,0,0.0020024776458740234,1,0.004560947418212891
10,10,0,0.0019989013671875,1,0.0030002593994140625
