l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01507258415222168,1,0.001382589340209961
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.016891002655029297,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.016611099243164062
1,7,1,0.0,1,0.01938605308532715
1,8,1,0.002999544143676758,1,0.0106658935546875
1,9,1,0.0,1,0.016272544860839844
1,10,1,0.0,1,0.0
2,1,1,0.01663494110107422,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.016939640045166016
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.016399621963500977,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.01938939094543457
2,10,1,0.0010006427764892578,1,0.005999088287353516
3,1,1,0.003006458282470703,1,0.0031766891479492188
3,2,1,0.006005287170410156,1,0.002234935760498047
3,3,1,0.0,1,0.008832454681396484
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.016927719116210938
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.018129587173461914
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.01864457130432129,1,0.0020012855529785156
4,4,1,0.0,1,0.0
4,5,1,0.014830589294433594,1,0.004999399185180664
4,6,1,0.004113912582397461,1,0.0038597583770751953
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.01670980453491211
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.016674280166625977,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.015508651733398438,1,0.0009791851043701172
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.016768217086791992
6,1,1,0.0019779205322265625,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.015437126159667969,1,0.003000020980834961
6,4,1,0.001999378204345703,1,0.0030002593994140625
6,5,1,0.0019996166229248047,1,0.002001047134399414
6,6,1,0.0010004043579101562,1,0.003340482711791992
6,7,1,0.0019996166229248047,1,0.0018200874328613281
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.011313199996948242
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.017024755477905273
7,3,1,0.0,1,0.0
7,4,1,0.01659417152404785,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.016030550003051758
7,7,1,0.0005826950073242188,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.01631307601928711
8,1,1,0.0040051937103271484,1,0.0019996166229248047
8,2,1,0.003000497817993164,1,0.0019998550415039062
8,3,1,0.0020003318786621094,1,0.0037915706634521484
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.014016389846801758
8,7,1,0.002150297164916992,1,0.004007816314697266
8,8,1,0.001997232437133789,1,0.0015652179718017578
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.008546829223632812
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.01675558090209961
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.016945600509643555
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.015516042709350586
9,9,1,0.001004934310913086,1,0.0030002593994140625
9,10,1,0.0009999275207519531,1,0.0029997825622558594
10,1,1,0.004000425338745117,1,0.0029993057250976562
10,2,1,0.0022270679473876953,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.015727758407592773
10,5,1,0.0030052661895751953,1,0.0030007362365722656
10,6,1,0.0020012855529785156,1,0.0013606548309326172
10,7,1,0.0,1,0.007502555847167969
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.016252517700195312
