l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.010467529296875,1,0.007512092590332031
1,2,0,0.012943744659423828,1,0.011591672897338867
1,3,0,0.010015726089477539,1,0.00783848762512207
1,4,0,0.013530254364013672,1,0.012558698654174805
1,5,0,0.013648748397827148,1,0.01379704475402832
1,6,0,0.022655963897705078,1,0.009148597717285156
1,7,0,0.006033182144165039,1,0.011564254760742188
1,8,0,0.005570650100708008,1,0.014023780822753906
1,9,0,0.00656890869140625,1,0.014984369277954102
1,10,0,0.006902933120727539,1,0.015373706817626953
2,1,0,0.008107900619506836,1,0.008227109909057617
2,2,0,0.009042501449584961,1,0.004767417907714844
2,3,0,0.0075075626373291016,1,0.005233287811279297
2,4,0,0.008997917175292969,1,0.005517482757568359
2,5,0,0.00600743293762207,1,0.006974220275878906
2,6,0,0.006608486175537109,1,0.007681608200073242
2,7,0,0.008426427841186523,1,0.004518985748291016
2,8,0,0.0042111873626708984,1,0.005009651184082031
2,9,0,0.010076045989990234,1,0.006096363067626953
2,10,0,0.006525516510009766,1,0.0073854923248291016
3,1,0,0.0050237178802490234,1,0.007719755172729492
3,2,0,0.0075168609619140625,1,0.005009889602661133
3,3,0,0.005041360855102539,1,0.005043745040893555
3,4,0,0.008602619171142578,1,0.0012335777282714844
3,5,0,0.010133981704711914,1,0.004597902297973633
3,6,0,0.0046253204345703125,1,0.0056040287017822266
3,7,0,0.005030155181884766,1,0.004927396774291992
3,8,0,0.006171703338623047,1,0.005016326904296875
3,9,0,0.006128549575805664,1,0.00464177131652832
3,10,0,0.003985166549682617,1,0.004106998443603516
4,1,0,0.0075969696044921875,1,0.004510402679443359
4,2,0,0.008064031600952148,1,0.0
4,3,0,0.00458073616027832,1,0.00539851188659668
4,4,0,0.0045604705810546875,1,0.005010128021240234
4,5,0,0.007241725921630859,1,0.0
4,6,0,0.008070707321166992,1,0.009615182876586914
4,7,0,0.006540775299072266,1,0.0036149024963378906
4,8,0,0.007848024368286133,1,0.004509449005126953
4,9,0,0.005097866058349609,1,0.005873203277587891
4,10,0,0.003996849060058594,1,0.004578351974487305
5,1,0,0.008788108825683594,1,0.0
5,2,0,0.014526605606079102,1,0.0051729679107666016
5,3,0,0.00457000732421875,1,0.00689697265625
5,4,0,0.008161783218383789,1,0.005062580108642578
5,5,0,0.0069963932037353516,1,0.004587650299072266
5,6,0,0.0035169124603271484,1,0.005002737045288086
5,7,0,0.0050313472747802734,1,0.0050776004791259766
5,8,0,0.008567571640014648,1,0.003999233245849609
5,9,0,0.006558418273925781,1,0.004748344421386719
5,10,0,0.01012730598449707,1,0.003672361373901367
6,1,0,0.005189418792724609,1,0.005068540573120117
6,2,0,0.006974220275878906,1,0.0
6,3,0,0.008162975311279297,1,0.008512496948242188
6,4,0,0.006211519241333008,1,0.002171754837036133
6,5,0,0.008755922317504883,1,0.004391670227050781
6,6,0,0.005065202713012695,1,0.004686117172241211
6,7,0,0.0072786808013916016,1,0.0035042762756347656
6,8,0,0.0050048828125,1,0.006539344787597656
6,9,0,0.005000114440917969,1,0.002709627151489258
6,10,0,0.005705833435058594,1,0.0046443939208984375
7,1,0,0.0045583248138427734,1,0.007183074951171875
7,2,0,0.008083105087280273,1,0.005011320114135742
7,3,0,0.0054700374603271484,1,0.0067212581634521484
7,4,0,0.002683401107788086,1,0.007746696472167969
7,5,0,0.002435445785522461,1,0.0050814151763916016
7,6,0,0.009717941284179688,1,0.004000186920166016
7,7,0,0.0053348541259765625,1,0.0058746337890625
7,8,0,0.004628181457519531,1,0.005119800567626953
7,9,0,0.005473613739013672,1,0.004510641098022461
7,10,0,0.0,1,0.010057926177978516
8,1,0,0.005981922149658203,1,0.0026197433471679688
8,2,0,0.01008915901184082,1,0.004828691482543945
8,3,0,0.005093097686767578,1,0.005572319030761719
8,4,0,0.00955820083618164,1,0.008229970932006836
8,5,0,0.006446123123168945,1,0.0050237178802490234
8,6,0,0.005963325500488281,1,0.005013465881347656
8,7,0,0.004530906677246094,1,0.0051116943359375
8,8,0,0.005545377731323242,1,0.004006862640380859
8,9,0,0.004141330718994141,1,0.005580902099609375
8,10,0,0.003999471664428711,1,0.0035173892974853516
9,1,0,0.01059103012084961,1,0.0036263465881347656
9,2,0,0.0066432952880859375,1,0.005999565124511719
9,3,0,0.0026178359985351562,1,0.0070803165435791016
9,4,0,0.005997419357299805,1,0.004107475280761719
9,5,0,0.0050237178802490234,1,0.00522923469543457
9,6,0,0.005025148391723633,1,0.004604816436767578
9,7,0,0.005449056625366211,1,0.004610300064086914
9,8,0,0.0050241947174072266,1,0.007171154022216797
9,9,0,0.0,1,0.008094310760498047
9,10,0,0.00502324104309082,1,0.004937887191772461
10,1,0,0.007526874542236328,1,0.0025789737701416016
10,2,0,0.006109714508056641,1,0.005010843276977539
10,3,0,0.007910728454589844,1,0.003998756408691406
10,4,0,0.005510091781616211,1,0.003999948501586914
10,5,0,0.005493640899658203,1,0.0
10,6,0,0.008087396621704102,1,0.008506059646606445
10,7,0,0.005767345428466797,1,0.0040111541748046875
10,8,0,0.0038340091705322266,1,0.0
10,9,0,0.008077144622802734,1,0.005011081695556641
10,10,0,0.004760265350341797,1,0.005104541778564453
