l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01578044891357422,1,0.002271890640258789
1,2,1,0.0,1,0.017229318618774414
1,3,1,0.007004499435424805,1,0.006877422332763672
1,4,1,0.0,1,0.016586780548095703
1,5,1,0.015025615692138672,1,0.0074617862701416016
1,6,1,0.010848760604858398,1,0.016563892364501953
1,7,1,0.016438007354736328,1,0.017062902450561523
1,8,1,0.0,1,0.017497777938842773
1,9,1,0.0,1,0.039672136306762695
1,10,1,0.011851310729980469,1,0.052886962890625
2,1,1,0.025387048721313477,1,0.007042646408081055
2,2,1,0.01154947280883789,1,0.0005190372467041016
2,3,1,0.0,1,0.02063727378845215
2,4,1,0.006999969482421875,1,0.005377292633056641
2,5,1,0.0009291172027587891,1,0.013026714324951172
2,6,1,0.003462076187133789,1,0.0
2,7,1,0.0164644718170166,1,0.0
2,8,1,0.017994403839111328,1,0.006928920745849609
2,9,1,0.010036230087280273,1,0.018911361694335938
2,10,1,0.003997802734375,1,0.025400400161743164
3,1,1,0.016892194747924805,1,0.0
3,2,1,0.01597452163696289,1,0.0009932518005371094
3,3,1,0.0145263671875,1,0.005109071731567383
3,4,1,0.0036427974700927734,1,0.010335206985473633
3,5,1,0.007999420166015625,1,0.004000186920166016
3,6,1,0.004178047180175781,1,0.007879018783569336
3,7,1,0.008293628692626953,1,0.0
3,8,1,0.0,1,0.017012596130371094
3,9,1,0.0,1,0.016514062881469727
3,10,1,0.0,1,0.01708221435546875
4,1,1,0.015964508056640625,1,0.003999471664428711
4,2,1,0.008999824523925781,1,0.004504680633544922
4,3,1,0.0,1,0.0
4,4,1,0.015033483505249023,1,0.0
4,5,1,0.016719818115234375,1,0.0
4,6,1,0.0,1,0.01793670654296875
4,7,1,0.0,1,0.015683650970458984
4,8,1,0.0,1,0.0
4,9,1,0.01695537567138672,1,0.003984212875366211
4,10,1,0.0024025440216064453,1,0.0
5,1,1,0.008551836013793945,1,0.01694464683532715
5,2,1,0.0,1,0.016730785369873047
5,3,1,0.0,1,0.0
5,4,1,0.0164797306060791,1,0.0
5,5,1,0.0,1,0.016761064529418945
5,6,1,0.0,1,0.0
5,7,1,0.021973371505737305,1,0.0028014183044433594
5,8,1,0.008423566818237305,1,0.0025272369384765625
5,9,1,0.0,1,0.0
5,10,1,0.01426243782043457,1,0.0
6,1,1,0.0,1,0.0165102481842041
6,2,1,0.0,1,0.0
6,3,1,0.01697230339050293,1,0.0
6,4,1,0.016449451446533203,1,0.0
6,5,1,0.0,1,0.01902151107788086
6,6,1,0.005770444869995117,1,0.00802159309387207
6,7,1,0.002118349075317383,1,0.014622926712036133
6,8,1,0.020214080810546875,1,0.0
6,9,1,0.018409252166748047,1,0.0
6,10,1,0.012074470520019531,1,0.0
7,1,1,0.0276792049407959,1,0.00628972053527832
7,2,1,0.015474319458007812,1,0.0
7,3,1,0.01680898666381836,1,0.0
7,4,1,0.05243349075317383,1,0.015284538269042969
7,5,1,0.04834389686584473,1,0.00269317626953125
7,6,1,0.016823768615722656,1,0.020700931549072266
7,7,1,0.035489797592163086,1,0.032692909240722656
7,8,1,0.014218807220458984,1,0.013666629791259766
7,9,1,0.039489030838012695,1,0.007505893707275391
7,10,1,0.0,1,0.017323017120361328
8,1,1,0.040523529052734375,1,0.026355743408203125
8,2,1,0.019728899002075195,1,0.0
8,3,1,0.02935171127319336,1,0.0
8,4,1,0.03343653678894043,1,0.017093420028686523
8,5,1,0.0336298942565918,1,0.0
8,6,1,0.03345847129821777,1,0.0
8,7,1,0.01627659797668457,1,0.003995418548583984
8,8,1,0.006039857864379883,1,0.005005598068237305
8,9,1,0.0007195472717285156,1,0.0
8,10,1,0.0,1,0.02097153663635254
9,1,1,0.012183427810668945,1,0.01727914810180664
9,2,1,0.01682448387145996,1,0.005993366241455078
9,3,1,0.01057291030883789,1,0.0
9,4,1,0.016299724578857422,1,0.0
9,5,1,0.01641559600830078,1,0.0
9,6,1,0.025456666946411133,1,0.008640050888061523
9,7,1,0.0,1,0.0
9,8,1,0.02709174156188965,1,0.0049092769622802734
9,9,1,0.0025148391723632812,1,0.0
9,10,1,0.014703512191772461,1,0.0
10,1,1,0.01677680015563965,1,0.0
10,2,1,0.02487635612487793,1,0.008265018463134766
10,3,1,0.0,1,0.0
10,4,1,0.022925376892089844,1,0.004004001617431641
10,5,1,0.005711793899536133,1,0.0
10,6,1,0.0,1,0.016681432723999023
10,7,1,0.0,1,0.0
10,8,1,0.01779007911682129,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.015832185745239258,1,0.0
