l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.016714096069335938,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.016373395919799805
1,5,1,0.0,1,0.0
1,6,1,0.017342090606689453,1,0.0
1,7,1,0.0,1,0.021517276763916016
1,8,1,0.0,1,0.011324644088745117
1,9,1,0.0,1,0.00999593734741211
1,10,1,0.0,1,0.003743886947631836
2,1,1,0.0,1,0.0
2,2,1,0.01651287078857422,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.016987085342407227
2,8,1,0.0,1,0.016185283660888672
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.017241954803466797
3,1,1,0.0,1,0.0
3,2,1,0.015015840530395508,1,0.003066539764404297
3,3,1,0.0030002593994140625,1,0.0029964447021484375
3,4,1,0.0010013580322265625,1,0.0
3,5,1,0.0,1,0.006643533706665039
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.017723798751831055,1,0.00019097328186035156
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.016141653060913086
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.015984058380126953
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.003530740737915039
4,10,1,0.0,1,0.0
5,1,1,0.006031990051269531,1,0.0
5,2,1,0.0,1,0.005523681640625
5,3,1,0.008095026016235352,1,0.0028328895568847656
5,4,1,0.0,1,0.008297204971313477
5,5,1,0.002997159957885742,1,0.0019991397857666016
5,6,1,0.001024484634399414,1,0.0032820701599121094
5,7,1,0.0010008811950683594,1,0.002334117889404297
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.016756296157836914
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.016236543655395508
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.016989469528198242,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.01659369468688965,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.01737356185913086
8,1,1,0.003003835678100586,1,0.0009999275207519531
8,2,1,0.001997232437133789,1,0.0010020732879638672
8,3,1,0.0019996166229248047,1,0.001995563507080078
8,4,1,0.002626657485961914,1,0.004006862640380859
8,5,1,0.0030274391174316406,1,0.001975536346435547
8,6,1,0.0016117095947265625,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0008685588836669922
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.019667863845825195,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.013913869857788086
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.016689300537109375,1,0.0017240047454833984
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0167539119720459,1,0.0019986629486083984
10,5,1,0.0010023117065429688,1,0.001996278762817383
10,6,1,0.0010001659393310547,1,0.0010001659393310547
10,7,1,0.0,1,0.002008199691772461
10,8,1,0.0,1,0.002997159957885742
10,9,1,0.0,1,0.0010211467742919922
10,10,1,0.0,1,0.0019807815551757812
