l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0
1,2,0,0.0011518001556396484,1,0.0
1,3,0,0.0,1,0.0
1,4,0,0.0,1,0.0
1,5,0,0.0,1,0.0
1,6,0,0.0,1,0.016490936279296875
1,7,0,0.0,1,0.0
1,8,0,0.0,1,0.012596845626831055
1,9,0,0.0,1,0.004044532775878906
1,10,0,0.0,1,0.0
2,1,0,0.0,1,0.0
2,2,0,0.0,1,0.0
2,3,0,0.0,1,0.01764988899230957
2,4,0,0.0009996891021728516,1,0.002003908157348633
2,5,0,0.0,1,0.002001047134399414
2,6,0,0.0009932518005371094,1,0.0020017623901367188
2,7,0,0.0010247230529785156,1,0.0029802322387695312
2,8,0,0.0,1,0.004296302795410156
2,9,0,0.0,1,0.0018651485443115234
2,10,0,0.0,1,0.0
3,1,0,0.0,1,0.0
3,2,0,0.0,1,0.013218164443969727
3,3,0,0.0018813610076904297,1,0.0
3,4,0,0.0,1,0.0
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.014818668365478516
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.0
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.016124486923217773
4,3,0,0.0006096363067626953,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.0
4,6,0,0.0,1,0.01255941390991211
4,7,0,0.0,1,0.002747774124145508
4,8,0,0.001003265380859375,1,0.0030024051666259766
4,9,0,0.0,1,0.0029954910278320312
4,10,0,0.0,1,0.0019998550415039062
5,1,0,0.0009996891021728516,1,0.002000093460083008
5,2,0,0.0010001659393310547,1,0.0019998550415039062
5,3,0,0.0010001659393310547,1,0.0020003318786621094
5,4,0,0.0009996891021728516,1,0.0009996891021728516
5,5,0,0.0,1,0.0019998550415039062
5,6,0,0.0010001659393310547,1,0.0010001659393310547
5,7,0,0.0,1,0.0019998550415039062
5,8,0,0.0,1,0.0019998550415039062
5,9,0,0.0010004043579101562,1,0.002000093460083008
5,10,0,0.0,1,0.0030002593994140625
6,1,0,0.0009996891021728516,1,0.0019998550415039062
6,2,0,0.0010809898376464844,1,0.0020415782928466797
6,3,0,0.0010006427764892578,1,0.0019998550415039062
6,4,0,0.0,1,0.0029973983764648438
6,5,0,0.0,1,0.003001689910888672
6,6,0,0.0009999275207519531,1,0.0040018558502197266
6,7,0,0.0,1,0.0029985904693603516
6,8,0,0.0,1,0.0030007362365722656
6,9,0,0.0,1,0.0030765533447265625
6,10,0,0.0,1,0.0039708614349365234
7,1,0,0.0010221004486083984,1,0.002269744873046875
7,2,0,0.0010006427764892578,1,0.0020210742950439453
7,3,0,0.0,1,0.0029883384704589844
7,4,0,0.0009484291076660156,1,0.0010612010955810547
7,5,0,0.0,1,0.003983259201049805
7,6,0,0.0009834766387939453,1,0.0020110607147216797
7,7,0,0.0,1,0.001996755599975586
7,8,0,0.0009932518005371094,1,0.001954793930053711
7,9,0,0.0,1,0.0019998550415039062
7,10,0,0.0,1,0.002206087112426758
8,1,0,0.0009999275207519531,1,0.003006458282470703
8,2,0,0.0,1,0.0
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.015050172805786133
8,7,0,0.0,1,0.0029702186584472656
8,8,0,0.0,1,0.002000093460083008
8,9,0,0.0010001659393310547,1,0.0019996166229248047
8,10,0,0.0,1,0.002000093460083008
9,1,0,0.0009999275207519531,1,0.0019998550415039062
9,2,0,0.0010004043579101562,1,0.0020902156829833984
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.0
9,5,0,0.0,1,0.0
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.01590251922607422
9,8,0,0.0,1,0.0029211044311523438
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.0
10,1,0,0.0,1,0.0
10,2,0,0.0,1,0.0
10,3,0,0.0,1,0.014197826385498047
10,4,0,0.0,1,0.004812479019165039
10,5,0,0.00025010108947753906,1,0.0
10,6,0,0.0,1,0.0
10,7,0,0.0,1,0.0
10,8,0,0.0,1,0.011000633239746094
10,9,0,0.0010037422180175781,1,0.0036776065826416016
10,10,0,0.000997781753540039,1,0.0039958953857421875
