l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.015007972717285156,1,0.003975391387939453
1,2,1,0.004998445510864258,1,0.0029993057250976562
1,3,1,0.005455493927001953,1,0.003732919692993164
1,4,1,0.0,1,0.016850709915161133
1,5,1,0.001094818115234375,1,0.01283884048461914
1,6,1,0.0,1,0.017507314682006836
1,7,1,0.014041423797607422,1,0.023467063903808594
1,8,1,0.003000020980834961,1,0.007223367691040039
1,9,1,0.0,1,0.03303790092468262
1,10,1,0.0,1,0.017354488372802734
2,1,1,0.0,1,0.016068458557128906
2,2,1,0.0,1,0.014016389846801758
2,3,1,0.007199764251708984,1,0.004004001617431641
2,4,1,0.003999948501586914,1,0.0041255950927734375
2,5,1,0.0,1,0.016051292419433594
2,6,1,0.0,1,0.013972759246826172
2,7,1,0.007917404174804688,1,0.0040013790130615234
2,8,1,0.007281303405761719,1,0.0
2,9,1,0.016971588134765625,1,0.024242639541625977
2,10,1,0.0030007362365722656,1,0.02106451988220215
3,1,1,0.0014979839324951172,1,0.015944719314575195
3,2,1,0.009969472885131836,1,0.006358146667480469
3,3,1,0.0,1,0.0
3,4,1,0.023657798767089844,1,0.00033283233642578125
3,5,1,0.01506495475769043,1,0.0059814453125
3,6,1,0.00504302978515625,1,0.0035135746002197266
3,7,1,0.0,1,0.0
3,8,1,0.0013136863708496094,1,0.0
3,9,1,0.0,1,0.016628026962280273
3,10,1,0.0,1,0.0
4,1,1,0.022878646850585938,1,0.001239776611328125
4,2,1,0.009031295776367188,1,0.0
4,3,1,0.0,1,0.02055072784423828
4,4,1,0.009000062942504883,1,0.003876209259033203
4,5,1,0.0,1,0.016391754150390625
4,6,1,0.0,1,0.0
4,7,1,0.016723155975341797,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.018296241760253906,1,0.006552696228027344
4,10,1,0.0,1,0.008440256118774414
5,1,1,0.0,1,0.018698930740356445
5,2,1,0.005992412567138672,1,0.00400543212890625
5,3,1,0.006573915481567383,1,0.0
5,4,1,0.0,1,0.014773368835449219
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.01665663719177246
5,7,1,0.0,1,0.0
5,8,1,0.017026185989379883,1,0.0
5,9,1,0.0,1,0.01938462257385254
5,10,1,0.005003213882446289,1,0.0007021427154541016
6,1,1,0.012987136840820312,1,0.005008220672607422
6,2,1,0.006803750991821289,1,0.0
6,3,1,0.015006780624389648,1,0.0013885498046875
6,4,1,0.0,1,0.0
6,5,1,0.01727437973022461,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.019918441772460938,1,0.0
6,8,1,0.016476154327392578,1,0.005659818649291992
6,9,1,0.0,1,0.00926971435546875
6,10,1,0.0019998550415039062,1,0.0039997100830078125
7,1,1,0.00599980354309082,1,0.0022945404052734375
7,2,1,0.0,1,0.016110897064208984
7,3,1,0.0,1,0.0
7,4,1,0.0171964168548584,1,0.0
7,5,1,0.0,1,0.021014690399169922
7,6,1,0.0060253143310546875,1,0.006494760513305664
7,7,1,0.004991769790649414,1,0.0012865066528320312
7,8,1,0.009603023529052734,1,0.004006624221801758
7,9,1,0.004003286361694336,1,0.003995418548583984
7,10,1,0.002002239227294922,1,0.0032100677490234375
8,1,1,0.0,1,0.0
8,2,1,0.017834186553955078,1,0.0
8,3,1,0.0,1,0.015393733978271484
8,4,1,0.0,1,0.0
8,5,1,0.015067577362060547,1,0.0013327598571777344
8,6,1,0.0,1,0.01675724983215332
8,7,1,0.0,1,0.0
8,8,1,0.01947307586669922,1,0.004364490509033203
8,9,1,0.0,1,0.009453296661376953
8,10,1,0.012554168701171875,1,0.004135608673095703
9,1,1,0.0,1,0.016743183135986328
9,2,1,0.0,1,0.01653456687927246
9,3,1,0.0,1,0.01653313636779785
9,4,1,0.0,1,0.021210432052612305
9,5,1,0.004316806793212891,1,0.007867813110351562
9,6,1,0.0,1,0.01708221435546875
9,7,1,0.0,1,0.0
9,8,1,0.01633143424987793,1,0.0
9,9,1,0.0,1,0.015006542205810547
9,10,1,0.0021448135375976562,1,0.0
10,1,1,0.0,1,0.016231060028076172
10,2,1,0.0,1,0.01840376853942871
10,3,1,0.009000062942504883,1,0.004006385803222656
10,4,1,0.006365060806274414,1,0.003631114959716797
10,5,1,0.008684396743774414,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.01680445671081543,1,0.0
10,8,1,0.0,1,0.016251325607299805
10,9,1,0.0,1,0.0
10,10,1,0.016797304153442383,1,0.0016765594482421875
