l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,1.4200670719146729,1,0.016270875930786133
1,2,0,1.4533894062042236,1,0.017141103744506836
1,3,0,1.3994662761688232,1,0.030076026916503906
1,4,0,1.4833800792694092,1,0.05366802215576172
1,5,0,1.4462263584136963,1,0.03702282905578613
1,6,0,1.428253412246704,1,0.051279306411743164
1,7,0,1.3667173385620117,1,0.11666154861450195
1,8,0,1.3834991455078125,1,0.1166231632232666
1,9,0,1.3832707405090332,1,0.11660599708557129
1,10,0,1.4166479110717773,1,0.15007758140563965
2,1,0,1.5858004093170166,1,0.028092145919799805
2,2,0,1.4558582305908203,1,0.02901148796081543
2,3,0,1.3844914436340332,1,0.03339099884033203
2,4,0,1.3666410446166992,1,0.03333139419555664
2,5,0,1.4668595790863037,1,0.03313612937927246
2,6,0,1.4553356170654297,1,0.0281527042388916
2,7,0,1.528181552886963,1,0.031864166259765625
2,8,0,1.3903651237487793,1,0.037001848220825195
2,9,0,1.4456665515899658,1,0.036397695541381836
2,10,0,1.313584327697754,1,0.031188488006591797
3,1,0,1.4188275337219238,1,0.01685333251953125
3,2,0,1.4024100303649902,1,0.03500652313232422
3,3,0,1.3890867233276367,1,0.023343563079833984
3,4,0,1.369786024093628,1,0.03833150863647461
3,5,0,1.4079346656799316,1,0.033173561096191406
3,6,0,1.3418564796447754,1,0.024775028228759766
3,7,0,1.3834350109100342,1,0.03320574760437012
3,8,0,1.440300703048706,1,0.031264543533325195
3,9,0,1.3729443550109863,1,0.022066593170166016
3,10,0,1.3250138759613037,1,0.028381824493408203
4,1,0,1.3968594074249268,1,0.01737809181213379
4,2,0,1.4336256980895996,1,0.016757965087890625
4,3,0,1.3876941204071045,1,0.03197813034057617
4,4,0,1.3801655769348145,1,0.018997669219970703
4,5,0,1.3644683361053467,1,0.03654360771179199
4,6,0,1.3981237411499023,1,0.027222394943237305
4,7,0,1.3380730152130127,1,0.033145904541015625
4,8,0,1.4003145694732666,1,0.04346060752868652
4,9,0,1.6728434562683105,1,0.03331589698791504
4,10,0,1.436370611190796,1,0.031041383743286133
5,1,0,1.5073683261871338,1,0.02946019172668457
5,2,0,1.4565017223358154,1,0.03253030776977539
5,3,0,1.5735464096069336,1,0.03148913383483887
5,4,0,1.6096763610839844,1,0.031255245208740234
5,5,0,1.4934887886047363,1,0.033683061599731445
5,6,0,1.579599380493164,1,0.022112607955932617
5,7,0,1.4140596389770508,1,0.01688385009765625
5,8,0,1.3508331775665283,1,0.049336910247802734
5,9,0,1.3825476169586182,1,0.028146028518676758
5,10,0,1.4455575942993164,1,0.029980182647705078
6,1,0,1.4663517475128174,1,0.029044151306152344
6,2,0,1.5022401809692383,1,0.0441439151763916
6,3,0,1.6256766319274902,1,0.03020024299621582
6,4,0,1.4761266708374023,1,0.03244781494140625
6,5,0,1.4623756408691406,1,0.032212018966674805
6,6,0,1.4508922100067139,1,0.028548240661621094
6,7,0,1.4530603885650635,1,0.030593156814575195
6,8,0,1.4156370162963867,1,0.028998851776123047
6,9,0,1.5317776203155518,1,0.030106067657470703
6,10,0,1.41066575050354,1,0.027994155883789062
7,1,0,1.4575059413909912,1,0.03699183464050293
7,2,0,1.6432735919952393,1,0.034018754959106445
7,3,0,1.5634875297546387,1,0.036411285400390625
7,4,0,1.6960713863372803,1,0.04997754096984863
7,5,0,1.5418872833251953,1,0.02944779396057129
7,6,0,1.4153926372528076,1,0.03317737579345703
7,7,0,1.4361987113952637,1,0.027280807495117188
7,8,0,1.4434592723846436,1,0.02871847152709961
7,9,0,1.4378926753997803,1,0.03609132766723633
7,10,0,1.4077386856079102,1,0.029999971389770508
8,1,0,1.8193895816802979,1,0.04043698310852051
8,2,0,2.0492658615112305,1,0.04388999938964844
8,3,0,1.7301952838897705,1,0.035150766372680664
8,4,0,1.6813101768493652,1,0.03304910659790039
8,5,0,1.7629046440124512,1,0.04416656494140625
8,6,0,1.834930419921875,1,0.03705596923828125
8,7,0,1.7045176029205322,1,0.03368782997131348
8,8,0,1.582871913909912,1,0.05282282829284668
8,9,0,1.5162038803100586,1,0.0293734073638916
8,10,0,1.3536417484283447,1,0.01850128173828125
9,1,0,1.4092659950256348,1,0.032317399978637695
9,2,0,1.4537291526794434,1,0.01680755615234375
9,3,0,1.5073208808898926,1,0.030091524124145508
9,4,0,1.5289623737335205,1,0.03361988067626953
9,5,0,1.4689466953277588,1,0.03394150733947754
9,6,0,1.4469571113586426,1,0.01646709442138672
9,7,0,1.475921392440796,1,0.02977728843688965
9,8,0,1.3769607543945312,1,0.021252155303955078
9,9,0,1.3508925437927246,1,0.016333818435668945
9,10,0,1.3704802989959717,1,0.015064239501953125
10,1,0,1.4812040328979492,1,0.04543733596801758
10,2,0,1.4707329273223877,1,0.03011631965637207
10,3,0,1.4527528285980225,1,0.0372462272644043
10,4,0,1.3960084915161133,1,0.04503035545349121
10,5,0,1.5385487079620361,1,0.03322458267211914
10,6,0,1.6503417491912842,1,0.02211284637451172
10,7,0,1.3647308349609375,1,0.02537059783935547
10,8,0,1.3710622787475586,1,0.029864072799682617
10,9,0,1.3530473709106445,1,0.04074859619140625
10,10,0,1.3743889331817627,1,0.018246173858642578
