l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.014757156372070312,1,0.0
1,2,1,0.023638010025024414,1,0.009844064712524414
1,3,1,0.0,1,0.016724348068237305
1,4,1,0.016588449478149414,1,0.016648292541503906
1,5,1,0.0,1,0.03917884826660156
1,6,1,0.0060389041900634766,1,0.020366191864013672
1,7,1,0.0,1,0.016735076904296875
1,8,1,0.0,1,0.03491997718811035
1,9,1,0.0039014816284179688,1,0.021905183792114258
1,10,1,0.0010230541229248047,1,0.020722150802612305
2,1,1,0.01673436164855957,1,0.0
2,2,1,0.021923065185546875,1,0.0011467933654785156
2,3,1,0.015531539916992188,1,0.00577855110168457
2,4,1,0.010302305221557617,1,0.006998300552368164
2,5,1,0.003921031951904297,1,0.011531591415405273
2,6,1,0.0049762725830078125,1,0.0
2,7,1,0.016609907150268555,1,0.016158103942871094
2,8,1,0.0,1,0.018333911895751953
2,9,1,0.0027294158935546875,1,0.01513361930847168
2,10,1,0.0010001659393310547,1,0.011835098266601562
3,1,1,0.01659989356994629,1,0.0
3,2,1,0.01682114601135254,1,0.0
3,3,1,0.016568422317504883,1,0.0
3,4,1,0.0161745548248291,1,0.0006666183471679688
3,5,1,0.0,1,0.015010595321655273
3,6,1,0.008187532424926758,1,0.0
3,7,1,0.009037256240844727,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.016251802444458008
3,10,1,0.0,1,0.0
4,1,1,0.016809463500976562,1,0.0
4,2,1,0.016922473907470703,1,0.0
4,3,1,0.00582575798034668,1,0.0
4,4,1,0.016263723373413086,1,0.0030035972595214844
4,5,1,0.002880573272705078,1,0.0
4,6,1,0.011183738708496094,1,0.0
4,7,1,0.0,1,0.01672983169555664
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.032552480697631836,1,0.0
5,2,1,0.016833066940307617,1,0.0
5,3,1,0.018385648727416992,1,0.0019965171813964844
5,4,1,0.005994319915771484,1,0.0020058155059814453
5,5,1,0.010290861129760742,1,0.0013186931610107422
5,6,1,0.008899688720703125,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.016956806182861328,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.01501154899597168
6,1,1,0.001295328140258789,1,0.016739845275878906
6,2,1,0.0,1,0.016335725784301758
6,3,1,0.014085531234741211,1,0.0034456253051757812
6,4,1,0.00676274299621582,1,0.009216070175170898
6,5,1,0.0,1,0.0
6,6,1,0.01685309410095215,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.015976428985595703
6,9,1,0.0006158351898193359,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.023190975189208984,1,0.0
7,2,1,0.017887353897094727,1,0.002995729446411133
7,3,1,0.01146388053894043,1,0.0
7,4,1,0.011147022247314453,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.016756296157836914,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.016463756561279297,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.03415203094482422,1,0.002022266387939453
8,2,1,0.011013031005859375,1,0.0020170211791992188
8,3,1,0.0,1,0.0
8,4,1,0.0241546630859375,1,0.0
8,5,1,0.00902414321899414,1,0.0
8,6,1,0.0,1,0.016791582107543945
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.016686677932739258,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.025443315505981445,1,0.0030095577239990234
9,2,1,0.005112886428833008,1,0.0
9,3,1,0.02392888069152832,1,0.0
9,4,1,0.009182214736938477,1,0.0
9,5,1,0.0,1,0.016606807708740234
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.01656937599182129
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.016454219818115234
10,1,1,0.017233610153198242,1,0.0
10,2,1,0.017933368682861328,1,0.002996206283569336
10,3,1,0.0006811618804931641,1,0.011316299438476562
10,4,1,0.0,1,0.0
10,5,1,0.016741514205932617,1,0.0
10,6,1,0.0,1,0.016785383224487305
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.017296552658081055
10,9,1,0.0020008087158203125,1,0.0029981136322021484
10,10,1,0.0009999275207519531,1,0.002000093460083008
