l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.013882637023925781,1,0.0
1,2,1,0.023408889770507812,1,0.009915351867675781
1,3,1,0.00900578498840332,1,0.006956815719604492
1,4,1,0.01501011848449707,1,0.001720428466796875
1,5,1,0.01587843894958496,1,0.008534431457519531
1,6,1,0.008650779724121094,1,0.0
1,7,1,0.016577959060668945,1,0.0
1,8,1,0.022742271423339844,1,0.011391878128051758
1,9,1,0.014541387557983398,1,0.01830148696899414
1,10,1,0.0,1,0.03322267532348633
2,1,1,0.016405820846557617,1,0.0060520172119140625
2,2,1,0.009998321533203125,1,0.0010328292846679688
2,3,1,0.016757488250732422,1,0.007013082504272461
2,4,1,0.014963865280151367,1,0.009806394577026367
2,5,1,0.007695436477661133,1,0.010535955429077148
2,6,1,0.018088340759277344,1,0.005000591278076172
2,7,1,0.007999420166015625,1,0.0018584728240966797
2,8,1,0.0,1,0.016596317291259766
2,9,1,0.0,1,0.017130136489868164
2,10,1,0.0,1,0.0
3,1,1,0.032689809799194336,1,0.0005345344543457031
3,2,1,0.01824474334716797,1,0.004999876022338867
3,3,1,0.010001182556152344,1,0.0
3,4,1,0.016503572463989258,1,0.00801229476928711
3,5,1,0.008676290512084961,1,0.0
3,6,1,0.01681375503540039,1,0.0
3,7,1,0.019971132278442383,1,0.0021085739135742188
3,8,1,0.012195348739624023,1,0.004997968673706055
3,9,1,0.004999399185180664,1,0.0046977996826171875
3,10,1,0.0,1,0.0
4,1,1,0.016423463821411133,1,0.0
4,2,1,0.016710281372070312,1,0.0
4,3,1,0.01685953140258789,1,0.0
4,4,1,0.017067432403564453,1,0.0
4,5,1,0.022346019744873047,1,0.0
4,6,1,0.01056361198425293,1,0.0
4,7,1,0.016614437103271484,1,0.0
4,8,1,0.01656818389892578,1,0.0
4,9,1,0.0,1,0.016774415969848633
4,10,1,0.0,1,0.015568733215332031
5,1,1,0.0008862018585205078,1,0.01717996597290039
5,2,1,0.016138553619384766,1,0.0042645931243896484
5,3,1,0.011197566986083984,1,0.0
5,4,1,0.015012979507446289,1,0.001664876937866211
5,5,1,0.0,1,0.01629185676574707
5,6,1,0.0,1,0.0
5,7,1,0.016847610473632812,1,0.0
5,8,1,0.024515151977539062,1,0.004998683929443359
5,9,1,0.00628352165222168,1,0.0015721321105957031
5,10,1,0.0,1,0.011653900146484375
6,1,1,0.0,1,0.01661825180053711
6,2,1,0.0,1,0.016501665115356445
6,3,1,0.0,1,0.0
6,4,1,0.01676464080810547,1,0.0
6,5,1,0.020444393157958984,1,0.005988359451293945
6,6,1,0.007413148880004883,1,0.0044422149658203125
6,7,1,0.011897802352905273,1,0.0
6,8,1,0.015035629272460938,1,0.0018923282623291016
6,9,1,0.0,1,0.01641082763671875
6,10,1,0.0,1,0.0
7,1,1,0.016568422317504883,1,0.0
7,2,1,0.021311044692993164,1,0.005000114440917969
7,3,1,0.006177186965942383,1,0.0
7,4,1,0.020041227340698242,1,0.002166271209716797
7,5,1,0.010817289352416992,1,0.0
7,6,1,0.01678323745727539,1,0.0
7,7,1,0.0,1,0.016684770584106445
7,8,1,0.0,1,0.016072988510131836
7,9,1,0.006041288375854492,1,0.004999876022338867
7,10,1,0.0053637027740478516,1,0.0006690025329589844
8,1,1,0.0,1,0.022284507751464844
8,2,1,0.010989189147949219,1,0.0
8,3,1,0.0,1,0.016727685928344727
8,4,1,0.011023998260498047,1,0.005582571029663086
8,5,1,0.0,1,0.016329288482666016
8,6,1,0.008087873458862305,1,0.004987001419067383
8,7,1,0.003922700881958008,1,0.0
8,8,1,0.0,1,0.016893625259399414
8,9,1,0.0,1,0.01682591438293457
8,10,1,0.005257844924926758,1,0.0
9,1,1,0.01097869873046875,1,0.0
9,2,1,0.016884565353393555,1,0.017358779907226562
9,3,1,0.012001276016235352,1,0.0029120445251464844
9,4,1,0.01649332046508789,1,0.0
9,5,1,0.019302845001220703,1,0.003045797348022461
9,6,1,0.011090993881225586,1,0.0
9,7,1,0.0,1,0.016783714294433594
9,8,1,0.0,1,0.0
9,9,1,0.006443500518798828,1,0.004999876022338867
9,10,1,0.006209373474121094,1,0.000705718994140625
10,1,1,0.015022516250610352,1,0.0013701915740966797
10,2,1,0.0,1,0.019315242767333984
10,3,1,0.002264261245727539,1,0.011788129806518555
10,4,1,0.0,1,0.0
10,5,1,0.0166170597076416,1,0.0
10,6,1,0.019458770751953125,1,0.004996538162231445
10,7,1,0.0070302486419677734,1,0.00235748291015625
10,8,1,0.0,1,0.01638007164001465
10,9,1,0.0,1,0.0
10,10,1,0.016722917556762695,1,0.0
