l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.015011072158813477
1,4,1,0.0015423297882080078,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.016665220260620117
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.016869068145751953
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.01658010482788086
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.016968250274658203
2,6,1,0.0010080337524414062,1,0.0035562515258789062
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.010727405548095703
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.016622304916381836
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.016684770584106445
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.016109704971313477
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.016587495803833008
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.017221450805664062
4,7,1,0.0010013580322265625,1,0.003723621368408203
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.011342763900756836
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.01501917839050293
5,4,1,0.0017786026000976562,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.01606273651123047,1,0.0008268356323242188
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.01571512222290039
6,2,1,0.0006396770477294922,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.016490697860717773
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.017722129821777344
6,10,1,0.0011131763458251953,1,0.002641439437866211
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.013549327850341797
7,3,1,0.002022266387939453,1,0.003986358642578125
7,4,1,0.001992940902709961,1,0.002998828887939453
7,5,1,0.001001119613647461,1,0.003139019012451172
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.01660752296447754
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.016629457473754883
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.016837358474731445
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.016258955001831055
9,2,1,0.0010483264923095703,1,0.0029997825622558594
9,3,1,0.0010123252868652344,1,0.0029883384704589844
9,4,1,0.0009908676147460938,1,0.0030090808868408203
9,5,1,0.001001119613647461,1,0.003280162811279297
9,6,1,0.0010235309600830078,1,0.004978179931640625
9,7,1,0.0010216236114501953,1,0.005556344985961914
9,8,1,0.0,1,0.0041310787200927734
9,9,1,0.0005464553833007812,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.016139507293701172
10,3,1,0.000518798828125,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.016553640365600586
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
