l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.00205230712890625,1,0.002999544143676758
1,2,0,0.0019998550415039062,1,0.0029993057250976562
1,3,0,0.003002166748046875,1,0.0038645267486572266
1,4,0,0.001996755599975586,1,0.0029997825622558594
1,5,0,0.0010006427764892578,1,0.005169868469238281
1,6,0,0.0009980201721191406,1,0.003735780715942383
1,7,0,0.0010004043579101562,1,0.003999948501586914
1,8,0,0.0010006427764892578,1,0.007060527801513672
1,9,0,0.001001596450805664,1,0.006000041961669922
1,10,0,0.0009999275207519531,1,0.00907444953918457
2,1,0,0.001999378204345703,1,0.0020003318786621094
2,2,0,0.0019996166229248047,1,0.0029997825622558594
2,3,0,0.0021827220916748047,1,0.0017435550689697266
2,4,0,0.000997304916381836,1,0.003000020980834961
2,5,0,0.0010008811950683594,1,0.0019991397857666016
2,6,0,0.0010001659393310547,1,0.002994537353515625
2,7,0,0.002003908157348633,1,0.002001523971557617
2,8,0,0.0009975433349609375,1,0.002999544143676758
2,9,0,0.0010001659393310547,1,0.002000570297241211
2,10,0,0.0009999275207519531,1,0.0029363632202148438
3,1,0,0.003065347671508789,1,0.0029854774475097656
3,2,0,0.0019991397857666016,1,0.00299835205078125
3,3,0,0.0020012855529785156,1,0.001999378204345703
3,4,0,0.0024399757385253906,1,0.0028238296508789062
3,5,0,0.0019996166229248047,1,0.0029985904693603516
3,6,0,0.0010008811950683594,1,0.0019991397857666016
3,7,0,0.0010001659393310547,1,0.002704143524169922
3,8,0,0.001992464065551758,1,0.003803730010986328
3,9,0,0.0010008811950683594,1,0.001999378204345703
3,10,0,0.0,1,0.0029993057250976562
4,1,0,0.0023038387298583984,1,0.003002643585205078
4,2,0,0.002336740493774414,1,0.0029985904693603516
4,3,0,0.0019989013671875,1,0.0019991397857666016
4,4,0,0.002000093460083008,1,0.0016527175903320312
4,5,0,0.0009975433349609375,1,0.0037865638732910156
4,6,0,0.0019965171813964844,1,0.001999378204345703
4,7,0,0.0010004043579101562,1,0.0030002593994140625
4,8,0,0.00099945068359375,1,0.002295255661010742
4,9,0,0.0010008811950683594,1,0.004999399185180664
4,10,0,0.0010020732879638672,1,0.0029990673065185547
5,1,0,0.002001523971557617,1,0.0029976367950439453
5,2,0,0.0019991397857666016,1,0.006256818771362305
5,3,0,0.0020003318786621094,1,0.003002166748046875
5,4,0,0.001672983169555664,1,0.0030248165130615234
5,5,0,0.0018808841705322266,1,0.004006147384643555
5,6,0,0.0019936561584472656,1,0.0020058155059814453
5,7,0,0.0010004043579101562,1,0.003264904022216797
5,8,0,0.0010004043579101562,1,0.0038018226623535156
5,9,0,0.0020160675048828125,1,0.002996683120727539
5,10,0,0.0,1,0.002997875213623047
6,1,0,0.003239154815673828,1,0.002724885940551758
6,2,0,0.0033426284790039062,1,0.004006385803222656
6,3,0,0.0019998550415039062,1,0.0027909278869628906
6,4,0,0.001996278762817383,1,0.002865314483642578
6,5,0,0.0033066272735595703,1,0.0050051212310791016
6,6,0,0.0029172897338867188,1,0.005719661712646484
6,7,0,0.003261089324951172,1,0.002960205078125
6,8,0,0.0010008811950683594,1,0.0029265880584716797
6,9,0,0.0018563270568847656,1,0.0030074119567871094
6,10,0,0.0010001659393310547,1,0.0038971900939941406
7,1,0,0.0029993057250976562,1,0.0020046234130859375
7,2,0,0.0019958019256591797,1,0.002004384994506836
7,3,0,0.001999378204345703,1,0.004996299743652344
7,4,0,0.002000093460083008,1,0.0032422542572021484
7,5,0,0.0017766952514648438,1,0.002003192901611328
7,6,0,0.0009996891021728516,1,0.003116607666015625
7,7,0,0.002007007598876953,1,0.003097057342529297
7,8,0,0.0010008811950683594,1,0.003887176513671875
7,9,0,0.0010006427764892578,1,0.001999378204345703
7,10,0,0.0,1,0.004807472229003906
8,1,0,0.004628896713256836,1,0.0047032833099365234
8,2,0,0.004006147384643555,1,0.005991220474243164
8,3,0,0.0034677982330322266,1,0.0030052661895751953
8,4,0,0.0025262832641601562,1,0.003770112991333008
8,5,0,0.001737356185913086,1,0.003035306930541992
8,6,0,0.0007913112640380859,1,0.0030503273010253906
8,7,0,0.0010004043579101562,1,0.002999544143676758
8,8,0,0.0010004043579101562,1,0.004227399826049805
8,9,0,0.0010368824005126953,1,0.003000497817993164
8,10,0,0.0009987354278564453,1,0.003000974655151367
9,1,0,0.001999378204345703,1,0.003000497817993164
9,2,0,0.0029990673065185547,1,0.004999637603759766
9,3,0,0.0019996166229248047,1,0.0020003318786621094
9,4,0,0.0019996166229248047,1,0.003000497817993164
9,5,0,0.004167079925537109,1,0.0026922225952148438
9,6,0,0.00099945068359375,1,0.003000020980834961
9,7,0,0.0009999275207519531,1,0.0029997825622558594
9,8,0,0.0009968280792236328,1,0.004502773284912109
9,9,0,0.0,1,0.003054380416870117
9,10,0,0.0010004043579101562,1,0.0019996166229248047
10,1,0,0.0020003318786621094,1,0.0019996166229248047
10,2,0,0.003142118453979492,1,0.0028738975524902344
10,3,0,0.001997709274291992,1,0.001999378204345703
10,4,0,0.002000093460083008,1,0.0019998550415039062
10,5,0,0.002000093460083008,1,0.0029985904693603516
10,6,0,0.0019998550415039062,1,0.002003908157348633
10,7,0,0.0009984970092773438,1,0.001999378204345703
10,8,0,0.0010001659393310547,1,0.0019998550415039062
10,9,0,0.0009999275207519531,1,0.0039958953857421875
10,10,0,0.0010128021240234375,1,0.0019876956939697266
