l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.014602184295654297,1,0.0
1,2,1,0.0,1,0.015522241592407227
1,3,1,0.0037603378295898438,1,0.002948284149169922
1,4,1,0.0,1,0.014059782028198242
1,5,1,0.0020058155059814453,1,0.007999658584594727
1,6,1,0.002000093460083008,1,0.005002021789550781
1,7,1,0.0,1,0.013639450073242188
1,8,1,0.0,1,0.016701698303222656
1,9,1,0.0,1,0.01641559600830078
1,10,1,0.0,1,0.02439141273498535
2,1,1,0.0,1,0.0117340087890625
2,2,1,0.0030050277709960938,1,0.0050013065338134766
2,3,1,0.00299835205078125,1,0.002918243408203125
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.016511201858520508
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.016826868057250977
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.016801834106445312
2,10,1,0.0,1,0.0
3,1,1,0.01651740074157715,1,0.0
3,2,1,0.0,1,0.019196033477783203
3,3,1,0.003002166748046875,1,0.0019378662109375
3,4,1,0.008108377456665039,1,0.0
3,5,1,0.0,1,0.01680922508239746
3,6,1,0.0,1,0.009009838104248047
3,7,1,0.007655143737792969,1,0.004610776901245117
3,8,1,0.0,1,0.014630556106567383
3,9,1,0.0029897689819335938,1,0.009000539779663086
3,10,1,0.0025076866149902344,1,0.0
4,1,1,0.0,1,0.018578767776489258
4,2,1,0.004596233367919922,1,0.0
4,3,1,0.010265827178955078,1,0.0
4,4,1,0.0,1,0.01619124412536621
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.01663804054260254
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.015029668807983398
4,9,1,0.0006182193756103516,1,0.0
4,10,1,0.0,1,0.018241167068481445
5,1,1,0.0,1,0.0
5,2,1,0.017426490783691406,1,0.006531476974487305
5,3,1,0.007754325866699219,1,0.0
5,4,1,0.0,1,0.01680588722229004
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.015009880065917969
5,7,1,0.0015172958374023438,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.018653392791748047
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.014616966247558594
6,2,1,0.0,1,0.016179323196411133
6,3,1,0.0040056705474853516,1,0.004358053207397461
6,4,1,0.0,1,0.008941650390625
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.01795339584350586
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.01519465446472168
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.01661062240600586,1,0.0
7,2,1,0.0,1,0.0156404972076416
7,3,1,0.0011286735534667969,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.01562809944152832,1,0.0
7,6,1,0.0,1,0.016611576080322266
7,7,1,0.0030095577239990234,1,0.003673076629638672
7,8,1,0.0,1,0.0
7,9,1,0.010417699813842773,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.015529394149780273,1,0.0012083053588867188
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.01652836799621582
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.016738414764404297
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.016524791717529297
8,8,1,0.0019986629486083984,1,0.008997440338134766
8,9,1,0.004605293273925781,1,0.008022308349609375
8,10,1,0.0044345855712890625,1,0.005002737045288086
9,1,1,0.01721668243408203,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0016791820526123047,1,0.0
9,4,1,0.0,1,0.015991687774658203
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0164334774017334
9,7,1,0.003050565719604492,1,0.004997968673706055
9,8,1,0.001999378204345703,1,0.007552385330200195
9,9,1,0.004000186920166016,1,0.003530740737915039
9,10,1,0.0,1,0.007613182067871094
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.016541242599487305
10,3,1,0.0,1,0.0
10,4,1,0.015037775039672852,1,0.0016505718231201172
10,5,1,0.0,1,0.0
10,6,1,0.01563286781311035,1,0.0009698867797851562
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.017387866973876953
10,9,1,0.0019888877868652344,1,0.003999471664428711
10,10,1,0.002003908157348633,1,0.004988193511962891
