l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0010137557983398438,1,0.0020165443420410156
1,2,1,0.0,1,0.0020020008087158203
1,3,1,0.0003046989440917969,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.014253854751586914
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.013658523559570312
2,1,1,0.0005211830139160156,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.014065742492675781
2,8,1,0.0,1,0.0015616416931152344
2,9,1,0.0,1,0.0003902912139892578
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.016797542572021484
3,8,1,0.0,1,0.0030448436737060547
3,9,1,0.0,1,0.0019958019256591797
3,10,1,0.0,1,0.0020058155059814453
4,1,1,0.0020380020141601562,1,0.002012491226196289
4,2,1,0.0010023117065429688,1,0.001984834671020508
4,3,1,0.0010051727294921875,1,0.0015778541564941406
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0035414695739746094
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0124969482421875
5,3,1,0.0010104179382324219,1,0.001996755599975586
5,4,1,0.0,1,0.0010061264038085938
5,5,1,0.000993967056274414,1,0.0014684200286865234
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.010805130004882812
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.01501011848449707
7,1,1,0.0,1,0.001653432846069336
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.017056941986083984
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.016013383865356445
8,9,1,0.0,1,0.0010738372802734375
8,10,1,0.0,1,0.001001596450805664
9,1,1,0.0010061264038085938,1,0.0009918212890625
9,2,1,0.0,1,0.0009837150573730469
9,3,1,0.0010020732879638672,1,0.0010018348693847656
9,4,1,0.0,1,0.0019979476928710938
9,5,1,0.0,1,0.0010023117065429688
9,6,1,0.0,1,0.0019998550415039062
9,7,1,0.0,1,0.000997304916381836
9,8,1,0.0,1,0.0023393630981445312
9,9,1,0.0,1,0.0005960464477539062
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.015056610107421875
10,8,1,0.0,1,0.0014986991882324219
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
