l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.01663970947265625
1,7,1,0.0,1,0.0030410289764404297
1,8,1,0.0,1,0.001999378204345703
1,9,1,0.0,1,0.002000570297241211
1,10,1,0.0,1,0.0029990673065185547
2,1,1,0.0,1,0.0010051727294921875
2,2,1,0.0009951591491699219,1,0.0010004043579101562
2,3,1,0.0,1,0.0010004043579101562
2,4,1,0.0,1,0.0009999275207519531
2,5,1,0.0,1,0.002229928970336914
2,6,1,0.0,1,0.0009980201721191406
2,7,1,0.0,1,0.0019996166229248047
2,8,1,0.0,1,0.0010001659393310547
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.01167154312133789
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.015006303787231445
4,8,1,0.0,1,0.0011060237884521484
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.015012025833129883
6,2,1,0.0,1,0.0014908313751220703
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.015511035919189453
7,5,1,0.0,1,0.0011310577392578125
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.016383886337280273
8,9,1,0.0,1,0.0010483264923095703
8,10,1,0.0,1,0.00099945068359375
9,1,1,0.0009999275207519531,1,0.0009999275207519531
9,2,1,0.0,1,0.0009999275207519531
9,3,1,0.0,1,0.0009999275207519531
9,4,1,0.0,1,0.0009999275207519531
9,5,1,0.0,1,0.0010004043579101562
9,6,1,0.0,1,0.0009999275207519531
9,7,1,0.0,1,0.0009999275207519531
9,8,1,0.0,1,0.0009996891021728516
9,9,1,0.0,1,0.0009999275207519531
9,10,1,0.0,1,0.0009999275207519531
10,1,1,0.0,1,0.0009999275207519531
10,2,1,0.0010004043579101562,1,0.0009915828704833984
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
