l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.013494253158569336,1,0.0020110607147216797
1,2,1,0.001988649368286133,1,0.0029997825622558594
1,3,1,0.0019996166229248047,1,0.003013134002685547
1,4,1,0.0019283294677734375,1,0.00067901611328125
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.01641988754272461
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0167844295501709
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.01711249351501465,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.01622939109802246
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.01501154899597168
3,2,1,0.002139568328857422,1,0.0019996166229248047
3,3,1,0.002000093460083008,1,0.0009336471557617188
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.011192083358764648
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.016772985458374023
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0156404972076416
4,5,1,0.0010707378387451172,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.016067028045654297
5,1,1,0.002496957778930664,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.014085769653320312
5,5,1,0.0007343292236328125,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.015030384063720703
6,1,1,0.003004312515258789,1,0.0030007362365722656
6,2,1,0.0019991397857666016,1,0.0028791427612304688
6,3,1,0.0,1,0.0064983367919921875
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.01668238639831543
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.018940448760986328
7,3,1,0.0017783641815185547,1,0.0007245540618896484
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.011211156845092773,1,0.0030319690704345703
7,7,1,0.0009865760803222656,1,0.0038797855377197266
7,8,1,0.0009963512420654297,1,0.001998424530029297
7,9,1,0.0,1,0.001999378204345703
7,10,1,0.0,1,0.002990245819091797
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.01747441291809082
8,4,1,0.0019936561584472656,1,0.0030045509338378906
8,5,1,0.0010001659393310547,1,0.001999378204345703
8,6,1,0.0009999275207519531,1,0.002005338668823242
8,7,1,0.0009996891021728516,1,0.002454519271850586
8,8,1,0.0,1,0.0020062923431396484
8,9,1,0.0,1,0.0020008087158203125
8,10,1,0.0,1,0.002000093460083008
9,1,1,0.0011391639709472656,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.009532928466796875,1,0.0005834102630615234
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.01647186279296875
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0169217586517334
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
