l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0004639625549316406,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.016803741455078125,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.016663789749145508
1,6,1,0.0,1,0.01611495018005371
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.022968530654907227
1,9,1,0.0010006427764892578,1,0.008745431900024414
1,10,1,0.0,1,0.01570606231689453
2,1,1,0.004003763198852539,1,0.002125978469848633
2,2,1,0.0,1,0.0
2,3,1,0.011136054992675781,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.016725778579711914
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.01678943634033203
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.02317643165588379
2,10,1,0.0009925365447998047,1,0.00906825065612793
3,1,1,0.007740020751953125,1,0.009282112121582031
3,2,1,0.002977609634399414,1,0.002912759780883789
3,3,1,0.0,1,0.0
3,4,1,0.010373592376708984,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.015513181686401367
3,7,1,0.0005288124084472656,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.016170501708984375
3,10,1,0.0005800724029541016,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.015506267547607422,1,0.004611968994140625
4,3,1,0.0019996166229248047,1,0.003999948501586914
4,4,1,0.003000020980834961,1,0.0030012130737304688
4,5,1,0.0054891109466552734,1,0.004023313522338867
4,6,1,0.0,1,0.0
4,7,1,0.010025262832641602,1,0.005508899688720703
4,8,1,0.006037235260009766,1,0.003598928451538086
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.016607999801635742,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.016012907028198242,1,0.0007219314575195312
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.016319751739501953
5,6,1,0.0040111541748046875,1,0.005012035369873047
5,7,1,0.0019881725311279297,1,0.0030069351196289062
5,8,1,0.0023071765899658203,1,0.0005991458892822266
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.01650524139404297,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.016206741333007812,1,0.00621485710144043
6,4,1,0.0,1,0.011054515838623047
6,5,1,0.0035097599029541016,1,0.0
6,6,1,0.013237714767456055,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.015975236892700195
6,9,1,0.001049041748046875,1,0.0030007362365722656
6,10,1,0.0010008811950683594,1,0.0029990673065185547
7,1,1,0.0029997825622558594,1,0.003000020980834961
7,2,1,0.003041505813598633,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.016655445098876953
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.01599574089050293
7,7,1,0.0020029544830322266,1,0.004000425338745117
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.010686397552490234
7,10,1,0.0006525516510009766,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.015022993087768555,1,0.0016045570373535156
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.01846170425415039
8,5,1,0.003002166748046875,1,0.003000497817993164
8,6,1,0.002997159957885742,1,0.005314826965332031
8,7,1,0.003000497817993164,1,0.003002166748046875
8,8,1,0.0010004043579101562,1,0.0039997100830078125
8,9,1,0.0018711090087890625,1,0.002774477005004883
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.017652511596679688,1,0.003982067108154297
9,3,1,0.0031270980834960938,1,0.0
9,4,1,0.007557868957519531,1,0.0011687278747558594
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.016539573669433594,1,0.0003616809844970703
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.019265413284301758
10,1,1,0.003999233245849609,1,0.002999544143676758
10,2,1,0.003000497817993164,1,0.003201723098754883
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.016680240631103516,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.01679229736328125,1,0.0
10,9,1,0.005011796951293945,1,0.0
10,10,1,0.0,1,0.0
