l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016542911529541016
1,2,1,0.00400233268737793,1,0.003999233245849609
1,3,1,0.003002166748046875,1,0.0039975643157958984
1,4,1,0.002089977264404297,1,0.0
1,5,1,0.0,1,0.01631331443786621
1,6,1,0.0,1,0.0
1,7,1,0.01616692543029785,1,0.0007190704345703125
1,8,1,0.0,1,0.021008014678955078
1,9,1,0.0,1,0.011363744735717773
1,10,1,0.0,1,0.017392635345458984
2,1,1,0.004009246826171875,1,0.003989458084106445
2,2,1,0.0029997825622558594,1,0.0043811798095703125
2,3,1,0.0006704330444335938,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.01665520668029785,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.016691923141479492
2,8,1,0.0,1,0.006022453308105469
2,9,1,0.0,1,0.01807236671447754
2,10,1,0.0009992122650146484,1,0.0070896148681640625
3,1,1,0.0,1,0.0
3,2,1,0.01651144027709961,1,0.003001689910888672
3,3,1,0.003000020980834961,1,0.0030050277709960938
3,4,1,0.0029993057250976562,1,0.004124879837036133
3,5,1,0.0,1,0.007010698318481445
3,6,1,0.0,1,0.0
3,7,1,0.009455204010009766,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.016657590866088867
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.017006397247314453
4,2,1,0.003887653350830078,1,0.0
4,3,1,0.0,1,0.011257410049438477
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.01562643051147461
4,6,1,0.002940654754638672,1,0.003998279571533203
4,7,1,0.002001047134399414,1,0.002999544143676758
4,8,1,0.002000093460083008,1,0.006331443786621094
4,9,1,0.0019431114196777344,1,0.0005135536193847656
4,10,1,0.0,1,0.0
5,1,1,0.011362791061401367,1,0.004006624221801758
5,2,1,0.005358457565307617,1,0.003999948501586914
5,3,1,0.003452777862548828,1,0.0002739429473876953
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.016762256622314453
5,6,1,0.0,1,0.0
5,7,1,0.015626192092895508,1,0.005366086959838867
5,8,1,0.0029969215393066406,1,0.0
5,9,1,0.0,1,0.01209402084350586
5,10,1,0.0019996166229248047,1,0.002999544143676758
6,1,1,0.004000663757324219,1,0.0030002593994140625
6,2,1,0.0019588470458984375,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.016670942306518555,1,0.0
6,5,1,0.0,1,0.010510921478271484
6,6,1,0.0,1,0.006331443786621094
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.016408205032348633
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0160064697265625
7,2,1,0.004005908966064453,1,0.0019996166229248047
7,3,1,0.0,1,0.0
7,4,1,0.012072086334228516,1,0.003988981246948242
7,5,1,0.0029997825622558594,1,0.0029997825622558594
7,6,1,0.0030002593994140625,1,0.002966642379760742
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.016565799713134766
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.015013694763183594
8,2,1,0.0016889572143554688,1,0.0
8,3,1,0.0,1,0.019018173217773438
8,4,1,0.0020797252655029297,1,0.0
8,5,1,0.011883735656738281,1,0.034555912017822266
8,6,1,0.0,1,0.0
8,7,1,0.016516923904418945,1,0.0
8,8,1,0.0,1,0.01700425148010254
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.015707731246948242
9,1,1,0.003535032272338867,1,0.0
9,2,1,0.012026548385620117,1,0.0021533966064453125
9,3,1,0.0,1,0.0
9,4,1,0.01491546630859375,1,0.0050048828125
9,5,1,0.0021431446075439453,1,0.0
9,6,1,0.0,1,0.011067628860473633
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016280412673950195
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.01719069480895996,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.01565408706665039,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.017249345779418945,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.020509958267211914
10,8,1,0.0029990673065185547,1,0.005000114440917969
10,9,1,0.002000093460083008,1,0.004652738571166992
10,10,1,0.0019991397857666016,1,0.0015323162078857422
