l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.015009880065917969
1,2,1,0.00024318695068359375,1,0.0010426044464111328
1,3,1,0.0,1,0.0009992122650146484
1,4,1,0.0,1,0.0009980201721191406
1,5,1,0.0,1,0.0010023117065429688
1,6,1,0.0,1,0.0010027885437011719
1,7,1,0.0,1,0.0010006427764892578
1,8,1,0.0,1,0.0009961128234863281
1,9,1,0.0,1,0.0010194778442382812
1,10,1,0.0,1,0.0009891986846923828
2,1,1,0.0,1,0.0010004043579101562
2,2,1,0.0,1,0.0009887218475341797
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0010118484497070312
2,5,1,0.0,1,0.0009889602661132812
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.00099945068359375
2,8,1,0.0,1,0.0010001659393310547
2,9,1,0.0,1,0.0009992122650146484
2,10,1,0.0,1,0.0005199909210205078
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.015010595321655273
4,10,1,0.0,1,0.00047206878662109375
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.015623092651367188
6,7,1,0.0,1,0.0010442733764648438
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.015011310577392578
8,4,1,0.0,1,0.0010123252868652344
8,5,1,0.0,1,0.0010085105895996094
8,6,1,0.0,1,0.0009999275207519531
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.001007080078125
8,10,1,0.0,1,0.0009918212890625
9,1,1,0.0,1,0.0009999275207519531
9,2,1,0.0,1,0.0010006427764892578
9,3,1,0.0,1,0.0009999275207519531
9,4,1,0.0,1,0.001001596450805664
9,5,1,0.0,1,0.0007202625274658203
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.005874156951904297
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
